trial,pattern,x,y,confidence,action,timestamp
1,j,116,292.64063,-1,down,1577153189
1,j,116,284.65375,-1,move,1577153189
1,j,122.46997,281.08337,-1,move,1577153189
1,j,126.22424,274.2514,-1,move,1577153189
1,j,133.45044,266.29425,-1,move,1577153189
1,j,144.70288,254.6438,-1,move,1577153189
1,j,157.98083,243.25116,-1,move,1577153189
1,j,170.62048,230.62201,-1,move,1577153189
1,j,185.21094,219.1654,-1,move,1577153189
1,j,200.16956,207.05133,-1,move,1577153189
1,j,212.0426,197.6706,-1,move,1577153189
1,j,224.27466,186.29895,-1,move,1577153189
1,j,236.86462,173.6142,-1,move,1577153189
1,j,248.13171,162.76471,-1,move,1577153189
1,j,257.14063,153.42609,-1,move,1577153189
1,j,263.74902,145.8761,-1,move,1577153189
1,j,270.29468,138.58038,-1,move,1577153189
1,j,275.93213,133.62903,-1,move,1577153189
1,j,282.27637,127.18628,-1,move,1577153189
1,j,289.81592,120.97107,-1,move,1577153189
1,j,294.76,116.849915,-1,move,1577153189
1,j,302.60962,112.01135,-1,move,1577153189
1,j,310.12793,108.06879,-1,move,1577153189
1,j,316.37036,104.12793,-1,move,1577153189
1,j,321.917,101.05188,-1,move,1577153189
1,j,326.51843,98.588806,-1,move,1577153189
1,j,332.89075,94.18347,-1,move,1577153189
1,j,337.7583,97.572815,-1,move,1577153190
1,j,342.0714,102.57361,-1,move,1577153190
1,j,348.85974,113.1264,-1,move,1577153190
1,j,352.82703,120.39032,-1,move,1577153190
1,j,357.74988,131.17163,-1,move,1577153190
1,j,362.90332,142.02332,-1,move,1577153190
1,j,367.95703,154.78552,-1,move,1577153190
1,j,373.47412,168.82904,-1,move,1577153190
1,j,379.3058,183.97443,-1,move,1577153190
1,j,386.10547,202.04102,-1,move,1577153190
1,j,394.10278,219.71558,-1,move,1577153190
1,j,401.17114,236.37427,-1,move,1577153190
1,j,409.75037,252.9649,-1,move,1577153190
1,j,416.41895,267.6449,-1,move,1577153190
1,j,422.93726,283.56976,-1,move,1577153190
1,j,428.81006,296.93134,-1,move,1577153190
1,j,433.44067,308.96716,-1,move,1577153190
1,j,437.8589,319.55353,-1,move,1577153190
1,j,441.76794,327.239,-1,move,1577153190
1,j,446.42688,335.06653,-1,move,1577153190
1,j,449.8142,342.01978,-1,move,1577153190
1,j,452.60364,347.48254,-1,move,1577153190
1,j,454.48547,351.7448,-1,move,1577153190
1,j,458.1875,357.28906,-1,move,1577153190
1,j,458.1875,357.28906,-1,up,1577153190
2,f,131,437.95313,-1,down,1577153198
2,f,142.26965,437.95313,-1,move,1577153198
2,f,149.27026,437.95313,-1,move,1577153198
2,f,155.84119,437.95313,-1,move,1577153198
2,f,163.36389,437.95313,-1,move,1577153198
2,f,172.58008,437.95313,-1,move,1577153198
2,f,181.58325,435.35187,-1,move,1577153198
2,f,193.01208,435.21875,-1,move,1577153198
2,f,203.81982,434.1684,-1,move,1577153198
2,f,212.82654,433.10687,-1,move,1577153198
2,f,221.14539,432.2088,-1,move,1577153198
2,f,229.4961,430.5816,-1,move,1577153198
2,f,239.67603,427.4724,-1,move,1577153198
2,f,250.32458,425.36334,-1,move,1577153198
2,f,259.34912,423.40417,-1,move,1577153198
2,f,268.78687,421.5816,-1,move,1577153198
2,f,278.2439,419.77728,-1,move,1577153198
2,f,289.83752,417.37714,-1,move,1577153198
2,f,301.73633,415.23798,-1,move,1577153198
2,f,312.74,413.65784,-1,move,1577153198
2,f,323.41833,412.7154,-1,move,1577153198
2,f,333.75598,411.3985,-1,move,1577153198
2,f,344.9491,409.80322,-1,move,1577153198
2,f,356.1842,408.02716,-1,move,1577153198
2,f,365.57922,406.49188,-1,move,1577153198
2,f,374.59082,405.7129,-1,move,1577153198
2,f,384.26746,404.82538,-1,move,1577153198
2,f,394.19006,403.07806,-1,move,1577153198
2,f,403.6471,400.48267,-1,move,1577153198
2,f,411.50452,398.7079,-1,move,1577153198
2,f,417.81006,397.53357,-1,move,1577153198
2,f,425.44678,396.40173,-1,move,1577153198
2,f,430.1842,395.76563,-1,move,1577153198
2,f,434.88232,390.83008,-1,move,1577153199
2,f,436.70447,380.81573,-1,move,1577153199
2,f,438.6637,372.54675,-1,move,1577153199
2,f,441.19214,361.602,-1,move,1577153199
2,f,444.34058,350.29102,-1,move,1577153199
2,f,448.4879,338.76843,-1,move,1577153199
2,f,453.0183,325.78662,-1,move,1577153199
2,f,458.80273,311.8435,-1,move,1577153199
2,f,464.33118,299.1563,-1,move,1577153199
2,f,468.6881,284.60144,-1,move,1577153199
2,f,471.51404,272.69788,-1,move,1577153199
2,f,474.14954,256.9557,-1,move,1577153199
2,f,476.03296,244.03802,-1,move,1577153199
2,f,478.53735,230.71185,-1,move,1577153199
2,f,481.7185,218.52039,-1,move,1577153199
2,f,484.63367,205.36774,-1,move,1577153199
2,f,487.8369,192.44025,-1,move,1577153199
2,f,489.70898,180.7489,-1,move,1577153199
2,f,490.98804,170.8551,-1,move,1577153199
2,f,491.61926,162.98889,-1,move,1577153199
2,f,492.25,155.05914,-1,move,1577153199
2,f,493.43713,146.90082,-1,move,1577153199
2,f,494.06665,141.29675,-1,move,1577153199
2,f,494.70105,134.91998,-1,move,1577153199
2,f,494.75,132.48438,-1,up,1577153199
3,c,137.25,420.375,-1,down,1577153208
3,c,137.25,413.81134,-1,move,1577153208
3,c,145.0852,412.5625,-1,move,1577153208
3,c,150.00464,412.17188,-1,move,1577153208
3,c,155.50586,411.37018,-1,move,1577153208
3,c,160.42932,410.20178,-1,move,1577153208
