trial#,pattern,answer,correct,recentAccuracy,modality,playstamp,playendstamp,enterstamp
1,f,1,0,0,ERM 1,2288,3291,3668
2,a,0,1,0.5,ERM 1,4746,5748,6035
3,a,7,0,0.333333333333333,ERM 1,7116,8118,8336
4,e,3,0,0.25,ERM 1,9466,10469,11405
5,h,0,0,0.2,ERM 1,13076,14078,14876
6,j,1,0,0.166666666666667,ERM 1,50617,51623,52136
7,b,4,0,0.142857142857143,ERM 1,53216,54218,55715
8,k,3,0,0.125,ERM 1,56807,57810,58426
9,h,0,0,0.111111111111111,ERM 1,59376,60378,60942
10,d,5,0,0.1,ERM 1,61861,62863,63498
11,h,1,0,0.0909090909090909,ERM 1,64407,65409,66294
12,i,1,0,0.0833333333333333,ERM 1,67166,68169,68841
13,h,0,0,0.0769230769230769,ERM 1,69706,70708,71789
14,l,3,0,0.0714285714285714,ERM 1,72944,73946,75415
