trial#,pattern,answer,correct,recentAccuracy,modality,playstamp,playendstamp,enterstamp
trial#,pattern,answer,correct,recentAccuracy,modality,playstamp,playendstamp,enterstamp
1,d(5),5,1,1,ERM 1,4640,5643,6357
2,b(4),4,1,1,ERM 1,7975,8978,9847
3,e(6),6,1,1,ERM 1,10866,11868,12801
4,h(0),0,1,1,ERM 1,13593,14595,15518
5,i(1),1,1,1,ERM 1,16312,17314,18852
6,j(1),1,1,1,ERM 1,21073,22075,24540
7,b(4),4,1,1,ERM 1,25415,26417,27143
8,f(7),7,1,1,ERM 1,28092,29094,29791
9,k(2),2,1,1,ERM 1,30764,31766,32759
10,j(1),1,1,1,ERM 1,33603,34605,35303
11,d(5),5,1,1,ERM 1,36198,37201,37974
12,k(2),2,1,1,ERM 1,38818,39820,41019
13,d(5),5,1,1,ERM 1,42081,43083,43629
14,g(7),7,1,1,ERM 1,44457,45459,46235
15,f(7),7,1,1,ERM 1,47059,48061,49258
16,k(2),2,1,1,ERM 1,50031,51034,53004
17,f(7),7,1,1,ERM 1,53791,54793,55553
18,l(3),3,1,1,ERM 1,56516,57518,58189
19,c(5),5,1,1,ERM 1,58948,59950,61753
20,e(6),7,0,0.95,ERM 1,62553,63555,65941
21,d(5),5,1,0.952380952380952,ERM 1,66756,67758,68896
22,c(5),5,1,0.954545454545455,ERM 1,69592,70595,71351
23,b(4),4,1,0.956521739130435,ERM 1,72023,73025,73605
24,e(6),7,0,0.916666666666667,ERM 1,74314,75317,76282
25,l(3),3,1,0.916666666666667,ERM 1,76993,77995,78763
26,a(3),3,1,0.916666666666667,ERM 1,79532,80536,81254
27,i(1),1,1,0.916666666666667,ERM 1,81976,82978,83704
28,h(0),0,1,0.916666666666667,ERM 1,84432,85434,86476
29,g(7),0,0,0.875,ERM 1,87203,88205,88869
30,a(3),4,0,0.833333333333333,ERM 1,89600,90602,91753
31,d(5),5,1,0.833333333333333,ERM 1,92706,93709,94230
32,j(1),2,0,0.791666666666667,ERM 1,94995,95997,97134
33,h(0),0,1,0.791666666666667,ERM 1,97887,98890,99551
34,e(6),7,0,0.75,ERM 1,100298,101300,103673
35,g(7),7,1,0.75,ERM 1,104404,105406,105839
36,c(5),5,1,0.75,ERM 1,106591,107596,108183
37,a(3),4,0,0.708333333333333,ERM 1,108902,109904,110793
38,d(5),5,1,0.708333333333333,ERM 1,111542,112545,113241
39,b(4),4,1,0.708333333333333,ERM 1,113946,114948,115857
40,e(6),7,0,0.666666666666667,ERM 1,116587,117590,118590
41,j(1),1,1,0.666666666666667,ERM 1,119280,120282,120964
42,b(4),5,0,0.625,ERM 1,121664,122666,123874
43,k(2),2,1,0.625,ERM 1,124569,125571,126549
44,k(2),2,1,0.666666666666667,ERM 1,127248,128250,130617
45,a(3),4,0,0.625,ERM 1,131390,132392,133425
46,i(1),1,1,0.625,ERM 1,134142,135144,135882
47,j(1),1,1,0.625,ERM 1,136608,137611,138495
48,i(1),1,1,0.666666666666667,ERM 1,139228,140230,141108
49,a(3),4,0,0.625,ERM 1,141828,142830,143743
50,c(5),5,1,0.625,ERM 1,144478,145481,145990
51,k(2),3,0,0.583333333333333,ERM 1,146695,147697,148504
52,f(7),7,1,0.583333333333333,ERM 1,149223,150226,150698
53,b(4),4,1,0.625,ERM 1,151435,152437,153046
54,e(6),7,0,0.625,ERM 1,153736,154740,156547
55,j(1),1,1,0.625,ERM 1,157212,158214,158671
56,j(1),1,1,0.666666666666667,ERM 1,161184,162186,162700
57,f(7),7,1,0.666666666666667,ERM 1,163389,164392,164832
58,k(2),3,0,0.666666666666667,ERM 1,165539,166541,166895
59,g(7),7,1,0.666666666666667,ERM 1,167579,168581,169019
60,h(0),0,1,0.666666666666667,ERM 1,169745,170747,171180
61,a(3),4,0,0.666666666666667,ERM 1,172048,173050,173976
62,d(5),5,1,0.666666666666667,ERM 1,174734,175736,176342
63,b(4),5,0,0.625,ERM 1,177180,178183,178704
64,j(1),1,1,0.666666666666667,ERM 1,181225,182227,183992
65,c(5),5,1,0.666666666666667,ERM 1,184708,185710,187972
66,c(5),5,1,0.708333333333333,ERM 1,189186,190188,190695
67,l(3),3,1,0.708333333333333,ERM 1,191369,192372,192902
68,g(7),7,1,0.708333333333333,ERM 1,193646,194648,195469
69,h(0),0,1,0.75,ERM 1,196200,197203,197828
70,l(3),3,1,0.75,ERM 1,198683,199685,200368
71,a(3),3,1,0.75,ERM 1,201126,202130,204194
72,f(7),7,1,0.75,ERM 1,204956,205958,206415
73,l(3),3,1,0.791666666666667,ERM 1,207168,208170,208691
74,i(1),1,1,0.791666666666667,ERM 1,209423,210425,211282
75,c(5),5,1,0.833333333333333,ERM 1,212026,213028,213622
76,g(7),7,1,0.833333333333333,ERM 1,214385,215387,216164
77,l(3),3,1,0.833333333333333,ERM 1,216968,217971,218359
78,e(6),6,1,0.875,ERM 1,219154,220157,221334
79,f(7),7,1,0.875,ERM 1,222161,223163,223537
80,h(0),7,0,0.833333333333333,ERM 1,224294,225297,225563
81,g(7),7,1,0.833333333333333,ERM 1,226299,227301,227650
82,i(1),1,1,0.875,ERM 1,228430,229432,231930
83,l(3),3,1,0.875,ERM 1,232790,233792,234144
84,b(4),4,1,0.875,ERM 1,234929,235932,236606
85,g(7),0,0,0.875,ERM 1,237393,238395,238941
86,c(5),5,1,0.875,ERM 1,239727,240729,241298
87,a(3),3,1,0.916666666666667,ERM 1,242194,243196,243876
88,h(0),0,1,0.916666666666667,ERM 1,244623,245625,246302
89,h(0),0,1,0.916666666666667,ERM 1,247085,248087,248435
90,d(5),5,1,0.916666666666667,ERM 1,249233,250235,251506
91,e(6),5,0,0.875,ERM 1,252297,253300,253951
92,k(2),2,1,0.875,ERM 1,254674,255676,257263
93,i(1),1,1,0.875,ERM 1,258161,259163,259867
94,l(3),3,1,0.875,ERM 1,260572,261574,262066
95,f(7),7,1,0.875,ERM 1,262814,263816,264440
96,i(1),1,1,0.875,ERM 1,265256,266258,266927
