id,trial#,realPattern,userAnswer,playstamp,enterstamp
p10,1,y,1424,1,5393,23211
p10,2,b,1343,1,38698,45635
p10,3,d,2434,1,46474,51083
p10,4,p,3123,1,52010,64643
p10,5,n,3142,1,67660,73812
p10,6,h,1324,1,77596,84668
p10,7,p,3123,1,85852,91620
p10,8,u,1342,1,92508,98956
p10,9,h,1324,1,99612,105469
p10,10,z,1234,1,106293,110917
p10,11,h,1324,1,112037,116829
p10,12,y,1424,1,117813,122997
p10,13,e,2134,1,126925,135174
p10,14,b,1343,1,135558,143079
p10,15,d,2434,1,145166,148847
p10,16,s,2143,1,149399,154463
p10,17,s,2143,1,155014,158823
p10,18,u,1342,1,159159,164463
p10,19,y,1424,1,165264,170112
p10,20,e,2134,1,171296,177216
p10,21,s,2143,1,177600,184785
p10,22,u,1342,1,185736,188777
p10,23,s,2143,1,189192,194785
p10,24,p,3123,1,195320,200321
p10,25,u,1342,1,200736,207634
p10,26,x,1423,1,208009,215377
p10,27,p,3123,1,215921,222410
p10,28,u,1342,1,223082,226394
p10,29,x,1423,1,226842,230361
p10,30,y,1424,1,230914,237898
p10,31,n,3142,1,238418,244466
p10,32,z,1234,1,244882,248706
p10,33,e,2134,1,249058,255084
p10,34,b,1343,1,255491,259995
p10,35,e,2134,1,260491,263884
p10,36,d,2434,1,264380,268820
p10,37,u,1342,1,269252,272580
p10,38,p,3121,0,273043,277252
p10,39,z,1234,1,277755,283901
p10,40,x,1423,1,284292,287413
p10,41,p,3121,0,287781,290870
p10,42,h,1324,1,297789,324054
p10,43,x,1423,1,324429,328566
p10,44,s,2143,1,329134,335055
p10,45,n,1324,0,335502,338638
p10,46,d,2434,1,348687,351655
p10,47,p,3121,0,352175,355120
p10,48,p,3123,1,355631,359471
p10,49,p,3123,1,359976,363288
p10,50,z,1234,1,363744,367175
p10,51,p,3123,1,367608,370535
p10,52,e,2134,1,371000,374328
p10,53,n,3142,1,374792,378536
p10,54,y,1424,1,378992,383712
p10,55,u,1342,1,384272,388337
p10,56,z,1234,1,388744,392201
p10,57,h,1324,1,392673,396162
p10,58,x,1423,1,396633,399633
p10,59,b,1343,1,400056,403153
p10,60,s,2143,1,403505,406977
p10,61,d,2434,1,407409,410370
p10,62,e,2134,1,410778,413649
p10,63,e,2134,1,414097,418753
p10,64,z,1234,1,419121,422394
p10,65,y,1424,1,422714,425626
p10,66,b,1343,1,425978,428618
p10,67,b,1343,1,428987,432410
p10,68,p,3121,0,432850,436266
p10,69,u,1342,1,436602,441386
p10,70,z,1234,1,441866,448067
p10,71,p,3121,0,448619,452820
p10,72,u,1342,1,457724,464332
p10,73,u,1342,1,464988,468508
p10,74,d,2434,1,469260,472988
p10,75,p,3121,0,473460,476548
p10,76,u,1342,1,476948,481309
p10,77,n,3142,1,481765,487325
p10,78,z,1234,1,487925,491589
p10,79,y,1424,1,492037,495445
p10,80,z,1234,1,496029,501517
p10,81,h,1324,1,502013,505749
p10,82,n,3142,1,506197,511885
p10,83,b,1343,1,517053,520854
p10,84,z,1234,1,521390,527854
p10,85,u,1342,1,528367,532470
p10,86,x,1423,1,533231,536622
p10,87,n,3142,1,537254,555007
p10,88,z,1234,1,555687,559775
p10,89,u,1342,1,560167,563320
p10,90,h,1324,1,563744,567008
p10,91,e,2134,1,567400,571000
p10,92,d,2434,1,572816,576528
p10,93,s,2143,1,577064,581569
p10,94,h,1324,1,582032,586329
p10,95,b,1343,1,587097,590193
p10,96,e,2134,1,590801,600009
p10,97,y,1424,1,600673,613938
p10,98,p,3123,1,614370,617715
p10,99,u,1342,1,618290,621522
p10,100,e,2134,1,622146,625474
p10,101,x,1423,1,625922,629186
p10,102,y,1424,1,629611,634123
p10,103,y,1424,1,635026,653531
p10,104,n,3142,1,653979,657004
p10,105,d,2434,1,657491,675732
p10,106,d,2434,1,676125,680557
p10,107,p,3123,1,681149,686869
p10,108,u,1342,1,687324,691549
p10,109,s,2143,1,692061,695453
p10,110,p,3123,1,695861,699221
p10,111,b,1343,1,699749,703470
p10,112,e,2134,1,704869,708062
p10,113,e,2134,1,708470,712862
p10,114,s,2143,1,713334,716654
p10,115,z,1234,1,717070,720350
p10,116,y,1424,1,721054,724318
p10,117,n,3142,1,724766,732919
p10,118,b,1343,1,733351,744839
p10,119,y,1424,1,745384,765912
p10,120,p,3123,1,766600,780657
p10,121,z,1234,1,781113,784177
p10,122,z,1234,1,784601,787337
p10,123,u,1342,1,787721,790289
p10,124,p,3123,1,790705,794066
p10,125,x,1423,1,794474,798370
p10,126,d,2434,1,798786,802234
p10,127,x,1423,1,803154,806978
p10,128,p,3123,1,807450,826563
p10,129,u,1342,1,826995,830042
p10,130,h,1324,1,830515,833835
p10,131,b,1343,1,834298,837107
p10,132,p,3121,0,837507,840971
p10,133,p,3123,1,844444,848475
p10,134,s,2143,1,855244,858620
p10,135,x,1423,1,859108,864908
p10,136,y,1424,1,865300,868629
p10,137,n,3142,1,869157,880733
p10,138,n,3142,1,898989,901109
p10,139,n,3142,1,901638,905126
p10,140,y,1424,1,905621,918710
