trial#,pattern,answer,correct,recentAccuracy,modality,playstamp,playendstamp,enterstamp
1,d(5),5,1,1,ERM 1,120377,121383,123642
2,b(4),4,1,1,ERM 1,126059,127062,128850
3,c(5),5,1,1,ERM 1,130468,131471,132691
4,f(7),7,1,1,ERM 1,133946,134949,138816
5,j(1),1,1,1,ERM 1,140035,141038,141969
6,l(3),3,1,1,ERM 1,143319,144321,144998
7,a(3),4,0,0.857142857142857,ERM 1,146060,147062,149297
8,j(1),1,1,0.875,ERM 1,150576,151578,152511
9,h(0),0,1,0.888888888888889,ERM 1,153613,154616,156577
10,g(7),7,1,0.9,ERM 1,157700,158702,162129
11,h(0),0,1,0.909090909090909,ERM 1,163349,164352,165936
12,i(1),1,1,0.916666666666667,ERM 1,166939,167941,169351
13,i(1),1,1,0.923076923076923,ERM 1,170448,171450,172597
14,j(1),1,1,0.928571428571429,ERM 1,173697,174699,185346
15,g(7),7,1,0.933333333333333,ERM 1,186854,187858,189705
16,i(1),1,1,0.9375,ERM 1,190936,191938,193831
17,f(7),0,0,0.882352941176471,ERM 1,195307,196309,198614
18,i(1),1,1,0.888888888888889,ERM 1,199714,200716,202543
19,d(5),5,1,0.894736842105263,ERM 1,203745,204748,205926
20,h(0),0,1,0.9,ERM 1,207248,208250,209280
21,j(1),3,0,0.857142857142857,ERM 1,210432,211435,213539
22,h(0),0,1,0.863636363636364,ERM 1,214831,215834,217451
23,b(4),4,1,0.869565217391304,ERM 1,218717,219719,220831
24,c(5),3,0,0.833333333333333,ERM 1,221949,222953,224307
25,a(3),3,1,0.833333333333333,ERM 1,225153,226155,230453
26,f(7),7,1,0.833333333333333,ERM 1,231369,232371,234565
27,k(2),4,0,0.791666666666667,ERM 1,235414,236416,237462
28,b(4),4,1,0.791666666666667,ERM 1,238339,239343,240309
29,j(1),1,1,0.791666666666667,ERM 1,241801,242803,244398
30,a(3),3,1,0.791666666666667,ERM 1,245507,246509,247880
31,k(2),3,0,0.791666666666667,ERM 1,248819,249821,250628
32,c(5),5,1,0.791666666666667,ERM 1,251675,252677,254288
33,e(6),7,0,0.75,ERM 1,255306,256308,257108
34,b(4),3,0,0.708333333333333,ERM 1,258071,259073,259621
35,f(7),0,0,0.666666666666667,ERM 1,260493,261495,263896
36,e(6),7,0,0.625,ERM 1,265023,266025,266682
37,k(2),3,0,0.583333333333333,ERM 1,268002,269006,270077
38,l(3),3,1,0.583333333333333,ERM 1,271299,272302,273315
39,k(2),3,0,0.541666666666667,ERM 1,275571,276573,277083
40,h(0),0,1,0.541666666666667,ERM 1,278158,279160,280191
41,d(5),5,1,0.583333333333333,ERM 1,281123,282126,282980
42,g(7),7,1,0.583333333333333,ERM 1,283840,284842,287222
43,c(5),5,1,0.583333333333333,ERM 1,288530,289532,292470
44,b(4),4,1,0.583333333333333,ERM 1,293274,294276,295219
45,c(5),7,0,0.583333333333333,ERM 1,296061,297063,300670
46,f(7),0,0,0.541666666666667,ERM 1,301502,302506,303892
47,e(6),7,0,0.5,ERM 1,304921,305924,306896
48,h(0),0,1,0.541666666666667,ERM 1,307735,308737,309614
49,l(3),3,1,0.541666666666667,ERM 1,310538,311540,313091
50,j(1),1,1,0.541666666666667,ERM 1,313991,314994,315858
51,b(4),4,1,0.583333333333333,ERM 1,316877,317879,318719
52,l(3),3,1,0.583333333333333,ERM 1,319628,320630,321531
53,e(6),7,0,0.541666666666667,ERM 1,322609,323611,327957
54,k(2),2,1,0.541666666666667,ERM 1,329052,330054,333485
55,c(5),5,1,0.583333333333333,ERM 1,334478,335480,336800
56,h(0),0,1,0.583333333333333,ERM 1,337682,338685,340158
57,j(1),1,1,0.625,ERM 1,341032,342034,343090
58,l(3),3,1,0.666666666666667,ERM 1,344066,345068,346408
59,d(5),5,1,0.708333333333333,ERM 1,347222,348225,349927
60,a(3),4,0,0.708333333333333,ERM 1,350943,351946,353458
61,a(3),4,0,0.708333333333333,ERM 1,354279,355281,356248
62,g(7),7,1,0.708333333333333,ERM 1,357066,358068,358979
63,g(7),7,1,0.75,ERM 1,359897,360899,361768
64,d(5),5,1,0.75,ERM 1,362659,363661,364256
65,c(5),3,0,0.708333333333333,ERM 1,365175,366178,369152
66,e(6),6,1,0.708333333333333,ERM 1,370148,371152,373727
67,f(7),0,0,0.666666666666667,ERM 1,374584,375587,377642
