trial#,pattern,answer,correct,recentAccuracy,modality,playstamp,playendstamp,enterstamp
1,b,4(4),1,1,ERM 1,1813,2822,3396
2,a,4(3),0,0.5,ERM 1,4714,5716,8003
3,d,5(5),1,0.666666666666667,ERM 1,8961,9963,10848
4,a,3(3),1,0.75,ERM 1,11777,12779,14683
5,e,7(6),0,0.6,ERM 1,15519,16522,17692
6,l,4(3),0,0.5,ERM 1,18507,19509,20207
7,a,3(3),1,0.571428571428571,ERM 1,21120,22123,22957
8,f,7(7),1,0.625,ERM 1,23873,24875,25584
9,g,0(7),0,0.555555555555556,ERM 1,26512,27514,28259
10,g,0(7),0,0.5,ERM 1,29145,30147,30634
11,a,3(3),1,0.545454545454545,ERM 1,31476,32478,33180
12,d,5(5),1,0.583333333333333,ERM 1,34014,35017,35498
13,h,0(0),1,0.615384615384615,ERM 1,36478,37480,38108
14,d,5(5),1,0.642857142857143,ERM 1,38921,39924,40591
15,c,6(5),0,0.6,ERM 1,41579,42581,43011
16,f,7(7),1,0.625,ERM 1,44674,45676,47135
17,d,1(5),0,0.588235294117647,ERM 1,48008,49010,50110
18,d,5(5),1,0.611111111111111,ERM 1,50813,51815,52587
19,g,7(7),1,0.631578947368421,ERM 1,53259,54262,54789
trial#,pattern,answer,correct,recentAccuracy,modality,playstamp,playendstamp,enterstamp
1,a(3),3,1,1,ERM 1,1687,2697,3550
2,b(4),4,1,1,ERM 1,4574,5576,6258
3,d(5),5,1,1,ERM 1,7410,8412,9098
4,b(4),4,1,1,ERM 1,9957,10959,11885
5,h(0),0,1,1,ERM 1,12785,13787,16343
6,k(2),3,0,0.833333333333333,ERM 1,17296,18298,19007
7,g(7),7,1,0.857142857142857,ERM 1,20095,21098,21601
8,g(7),7,1,0.875,ERM 1,22551,23553,24119
9,e(6),6,1,0.888888888888889,ERM 1,25070,26073,26887
10,g(7),7,1,0.9,ERM 1,27853,28855,29462
11,l(3),3,1,0.909090909090909,ERM 1,30327,31329,31969
12,i(1),1,1,0.916666666666667,ERM 1,33043,34045,34886
13,h(0),0,1,0.923076923076923,ERM 1,35877,36879,37753
14,d(5),5,1,0.928571428571429,ERM 1,38627,39630,40137
15,c(5),5,1,0.933333333333333,ERM 1,41019,42021,42422
16,g(7),7,1,0.9375,ERM 1,43267,44270,44684
17,d(5),5,1,0.941176470588235,ERM 1,45413,46415,47112
18,k(2),3,0,0.888888888888889,ERM 1,47965,48968,50660
19,g(7),7,1,0.894736842105263,ERM 1,51815,52817,53460
20,e(6),7,0,0.85,ERM 1,54314,55316,55737
21,j(1),1,1,0.857142857142857,ERM 1,56738,57740,58432
22,b(4),4,1,0.863636363636364,ERM 1,59329,60331,60964
23,d(5),5,1,0.869565217391304,ERM 1,61900,62903,63362
24,k(2),2,1,0.875,ERM 1,64299,65301,66024
25,f(7),7,1,0.875,ERM 1,66877,67880,68277
26,f(7),7,1,0.875,ERM 1,69300,70302,70896
27,k(2),3,0,0.833333333333333,ERM 1,73017,74019,74442
28,f(7),7,1,0.833333333333333,ERM 1,75346,76348,76692
29,k(2),3,0,0.791666666666667,ERM 1,77568,78570,79635
30,g(7),7,1,0.833333333333333,ERM 1,80669,81671,82212
31,g(7),0,0,0.791666666666667,ERM 1,83054,84056,84699
32,k(2),3,0,0.75,ERM 1,85519,86521,86954
33,d(5),5,1,0.75,ERM 1,87920,88922,89457
34,d(5),5,1,0.75,ERM 1,90389,91391,91886
35,k(2),3,0,0.708333333333333,ERM 1,92830,93832,94270
36,j(1),1,1,0.708333333333333,ERM 1,95109,96111,97065
37,i(1),1,1,0.708333333333333,ERM 1,97941,98943,99486
38,b(4),5,0,0.666666666666667,ERM 1,100344,101347,103423
39,a(3),3,1,0.666666666666667,ERM 1,104173,105175,106163
40,i(1),5,0,0.625,ERM 1,106952,107954,108835
41,g(7),0,0,0.583333333333333,ERM 1,109523,110526,111075
42,f(7),7,1,0.625,ERM 1,111892,112894,114506
43,a(3),4,0,0.583333333333333,ERM 1,115327,116329,117518
44,h(0),1,0,0.583333333333333,ERM 1,118248,119250,119974
45,i(1),1,1,0.583333333333333,ERM 1,120720,121722,122231
46,j(1),1,1,0.583333333333333,ERM 1,123060,124062,124668
47,g(7),7,1,0.583333333333333,ERM 1,125497,126499,127553
48,l(3),3,1,0.583333333333333,ERM 1,128273,129276,129664
49,l(3),3,1,0.583333333333333,ERM 1,130500,131502,132058
50,l(3),3,1,0.583333333333333,ERM 1,133042,134045,134490
51,c(5),5,1,0.625,ERM 1,135377,136379,136768
52,k(2),2,1,0.625,ERM 1,137625,138628,139618
53,b(4),4,1,0.666666666666667,ERM 1,140652,141654,143164
54,f(7),7,1,0.666666666666667,ERM 1,143953,144955,146069
55,c(5),5,1,0.708333333333333,ERM 1,147002,148005,148564
56,j(1),1,1,0.75,ERM 1,149531,150533,150906
57,i(1),1,1,0.75,ERM 1,151653,152656,153047
58,c(5),5,1,0.75,ERM 1,153822,154824,155226
59,k(2),3,0,0.75,ERM 1,156234,157237,157701
60,f(7),7,1,0.75,ERM 1,158648,159650,160395
61,l(3),3,1,0.75,ERM 1,161263,162266,162691
62,g(7),7,1,0.791666666666667,ERM 1,163531,164533,165315
63,k(2),2,1,0.791666666666667,ERM 1,166319,167322,168055
64,j(1),1,1,0.833333333333333,ERM 1,168843,169845,170273
65,a(3),3,1,0.875,ERM 1,171062,172065,172644
66,b(4),4,1,0.875,ERM 1,173406,174408,175013
67,a(3),3,1,0.916666666666667,ERM 1,175820,176822,177445
68,f(7),7,1,0.958333333333333,ERM 1,178251,179253,179757
69,a(3),3,1,0.958333333333333,ERM 1,180543,181545,182247
70,f(7),7,1,0.958333333333333,ERM 1,182959,183961,184414
71,l(3),3,1,0.958333333333333,ERM 1,185205,186207,186535
72,d(5),5,1,0.958333333333333,ERM 1,187293,188295,188792
73,k(2),3,0,0.916666666666667,ERM 1,189543,190546,190879
74,a(3),3,1,0.916666666666667,ERM 1,191666,192668,193365
75,a(3),3,1,0.916666666666667,ERM 1,194144,195147,195490
76,d(5),5,1,0.916666666666667,ERM 1,196302,197304,197744
77,l(3),3,1,0.916666666666667,ERM 1,198501,199504,199917
78,h(0),1,0,0.875,ERM 1,200665,201667,202065
79,d(5),5,1,0.875,ERM 1,203000,204003,204699
80,k(2),3,0,0.833333333333333,ERM 1,205396,206398,207691
81,j(1),1,1,0.833333333333333,ERM 1,208382,209385,209819
