id,cond,trial#,realPattern,userAnswer,correct,c1,c2,playstamp,playendstamp,enterstamp
TJ,Body(withTip),1,41,21,0,0,1,745,1749,3121
TJ,Body(withTip),2,13,12,0,1,0,4528,5531,6485
TJ,Body(withTip),3,21,13,0,0,0,7141,8144,10004
TJ,Body(withTip),4,23,13,0,0,1,10636,11641,12396
TJ,Body(withTip),5,41,41,1,1,1,13072,14075,15307
TJ,Body(withTip),6,43,43,1,1,1,15976,16980,17762
TJ,Body(withTip),7,12,12,1,1,1,18419,19421,20275
TJ,Body(withTip),8,23,23,1,1,1,20935,21938,22753
TJ,Body(withTip),9,31,31,1,1,1,23402,24405,25136
TJ,Body(withTip),10,42,41,0,1,0,25777,26780,27661
TJ,Body(withTip),11,32,31,0,1,0,28322,29325,30387
TJ,Body(withTip),12,14,12,0,1,0,31029,32032,33026
TJ,Body(withTip),13,32,42,0,0,1,33683,34686,35656
TJ,Body(withTip),14,41,21,0,0,1,36319,37321,38953
TJ,Body(withTip),15,31,41,0,0,1,39593,40596,41404
TJ,Body(withTip),16,24,12,0,0,0,42115,43119,43925
TJ,Body(withTip),17,12,32,0,0,1,44604,45606,46904
TJ,Body(withTip),18,14,12,0,1,0,47567,48570,49647
TJ,Body(withTip),19,12,12,1,1,1,50302,51305,52314
TJ,Body(withTip),20,42,42,1,1,1,52949,53951,55617
TJ,Body(withTip),21,43,23,0,0,1,86497,87501,89926
TJ,Body(withTip),22,34,32,0,1,0,90547,91550,92583
TJ,Body(withTip),23,43,43,1,1,1,93217,94219,95014
TJ,Body(withTip),24,14,14,1,1,1,95661,96664,97812
TJ,Body(withTip),25,34,34,1,1,1,98448,99451,100278
TJ,Body(withTip),26,13,14,0,1,0,100909,101912,103292
TJ,Body(withTip),27,24,12,0,0,0,103931,104934,107393
TJ,Body(withTip),28,42,42,1,1,1,108049,109053,109952
TJ,Body(withTip),29,34,34,1,1,1,110642,111645,112628
TJ,Body(withTip),30,24,24,1,1,1,113291,114294,115752
TJ,Body(withTip),31,31,31,1,1,1,116388,117391,118275
TJ,Body(withTip),32,23,14,0,0,0,118932,119935,120971
TJ,Body(withTip),33,24,24,1,1,1,121644,122647,123612
TJ,Body(withTip),34,12,12,1,1,1,124240,125242,126138
TJ,Body(withTip),35,34,42,0,0,0,126781,127783,128701
TJ,Body(withTip),36,43,24,0,0,0,129357,130362,131406
TJ,Body(withTip),37,21,13,0,0,0,132073,133076,133891
TJ,Body(withTip),38,13,14,0,1,0,134533,135536,136918
TJ,Body(withTip),39,41,21,0,0,1,137569,138572,139452
TJ,Body(withTip),40,14,12,0,1,0,140121,141123,141948
TJ,Body(withTip),41,14,12,0,1,0,172946,173950,174983
TJ,Body(withTip),42,21,13,0,0,0,175758,176760,177784
TJ,Body(withTip),43,43,24,0,0,0,178487,179490,181184
TJ,Body(withTip),44,12,12,1,1,1,181889,182891,183771
TJ,Body(withTip),45,13,34,0,0,0,184459,185461,186706
TJ,Body(withTip),46,24,24,1,1,1,187414,188417,189601
TJ,Body(withTip),47,42,21,0,0,0,190242,191246,192070
TJ,Body(withTip),48,23,13,0,0,1,192704,193709,194944
TJ,Body(withTip),49,31,41,0,0,1,195581,196584,200156
TJ,Body(withTip),50,32,42,0,0,1,200804,201807,202660
TJ,Body(withTip),51,41,41,1,1,1,203301,204303,205151
TJ,Body(withTip),52,23,24,0,1,0,205946,206949,207822
TJ,Body(withTip),53,42,41,0,1,0,208497,209500,210605
TJ,Body(withTip),54,21,21,1,1,1,211241,212244,213306
TJ,Body(withTip),55,13,34,0,0,0,213955,214958,216394
TJ,Body(withTip),56,32,42,0,0,1,217051,218054,218899
TJ,Body(withTip),57,21,13,0,0,0,219571,220574,221387
TJ,Body(withTip),58,34,34,1,1,1,222065,223068,224134
TJ,Body(withTip),59,31,43,0,0,0,224810,225812,226803
TJ,Body(withTip),60,32,41,0,0,0,227467,228470,229403
