id,cond,trial#,realPattern,userAnswer,correct,c1,c2,playstamp,playendstamp,enterstamp
TJ,Body(withoutTip),1,12,12,1,1,1,24863,25871,27036
TJ,Body(withoutTip),2,21,23,0,1,0,27847,28850,29810
TJ,Body(withoutTip),3,21,23,0,1,0,30500,31502,33715
TJ,Body(withoutTip),4,31,41,0,0,1,34390,35392,36483
TJ,Body(withoutTip),5,42,21,0,0,0,37184,38186,39226
TJ,Body(withoutTip),6,14,12,0,1,0,39890,40893,41715
TJ,Body(withoutTip),7,31,41,0,0,1,42409,43411,44284
TJ,Body(withoutTip),8,12,12,1,1,1,44995,45999,47165
TJ,Body(withoutTip),9,41,21,0,0,1,47810,48813,50015
TJ,Body(withoutTip),10,42,42,1,1,1,50680,51683,52744
TJ,Body(withoutTip),11,13,14,0,1,0,53408,54411,55530
TJ,Body(withoutTip),12,42,41,0,1,0,56180,57183,58472
TJ,Body(withoutTip),13,34,42,0,0,0,59143,60146,61101
TJ,Body(withoutTip),14,31,31,1,1,1,61757,62761,63643
TJ,Body(withoutTip),15,34,42,0,0,0,64340,65343,66257
TJ,Body(withoutTip),16,12,12,1,1,1,66927,67929,69030
TJ,Body(withoutTip),17,32,41,0,0,0,69698,70700,71481
TJ,Body(withoutTip),18,31,43,0,0,0,72118,73121,73900
TJ,Body(withoutTip),19,32,41,0,0,0,74559,75562,76592
TJ,Body(withoutTip),20,12,12,1,1,1,77226,78228,79456
TJ,Body(withoutTip),21,24,13,0,0,0,111159,112164,113769
TJ,Body(withoutTip),22,21,23,0,1,0,114405,115408,116628
TJ,Body(withoutTip),23,32,42,0,0,1,117289,118292,119889
TJ,Body(withoutTip),24,23,13,0,0,1,120541,121543,122244
TJ,Body(withoutTip),25,23,13,0,0,1,122899,123901,124703
TJ,Body(withoutTip),26,43,43,1,1,1,125355,126357,127538
TJ,Body(withoutTip),27,24,14,0,0,1,128198,129200,130578
TJ,Body(withoutTip),28,24,13,0,0,0,131235,132237,134385
TJ,Body(withoutTip),29,41,43,0,1,0,135010,136013,138156
TJ,Body(withoutTip),30,21,23,0,1,0,138835,139837,141050
TJ,Body(withoutTip),31,41,21,0,0,1,141747,142750,144035
TJ,Body(withoutTip),32,14,12,0,1,0,144686,145688,146616
TJ,Body(withoutTip),33,24,24,1,1,1,147284,148286,149197
TJ,Body(withoutTip),34,43,24,0,0,0,149875,150879,151902
TJ,Body(withoutTip),35,43,24,0,0,0,152562,153564,154815
TJ,Body(withoutTip),36,24,24,1,1,1,155472,156475,157554
TJ,Body(withoutTip),37,14,12,0,1,0,158211,159213,160171
TJ,Body(withoutTip),38,41,21,0,0,1,160856,161859,162713
TJ,Body(withoutTip),39,43,24,0,0,0,163379,164383,165212
TJ,Body(withoutTip),40,13,14,0,1,0,165905,166908,167979
TJ,Body(withoutTip),41,14,34,0,0,1,198784,199789,200594
TJ,Body(withoutTip),42,23,13,0,0,1,201250,202253,202953
TJ,Body(withoutTip),43,21,13,0,0,0,203577,204580,205306
TJ,Body(withoutTip),44,31,43,0,0,0,205935,206938,207753
TJ,Body(withoutTip),45,13,14,0,1,0,208409,209412,210336
TJ,Body(withoutTip),46,34,42,0,0,0,210980,211982,212810
TJ,Body(withoutTip),47,41,21,0,0,1,213474,214477,215182
TJ,Body(withoutTip),48,32,42,0,0,1,215870,216872,217614
TJ,Body(withoutTip),49,12,12,1,1,1,218245,219248,219950
TJ,Body(withoutTip),50,42,21,0,0,0,220629,221632,222373
TJ,Body(withoutTip),51,14,34,0,0,1,223043,224046,224875
TJ,Body(withoutTip),52,13,14,0,1,0,225541,226543,227468
TJ,Body(withoutTip),53,13,14,0,1,0,228156,229158,230051
TJ,Body(withoutTip),54,43,24,0,0,0,230727,231730,232859
TJ,Body(withoutTip),55,34,42,0,0,0,233503,234506,235942
TJ,Body(withoutTip),56,42,21,0,0,0,236610,237613,238677
TJ,Body(withoutTip),57,34,42,0,0,0,239374,240376,241552
TJ,Body(withoutTip),58,23,24,0,1,0,242219,243222,244447
TJ,Body(withoutTip),59,32,31,0,1,0,245110,246113,246799
TJ,Body(withoutTip),60,23,24,0,1,0,247461,248464,249377
