id,cond,trial#,realPattern,userAnswer,correct,c1,c2,playstamp,playendstamp,enterstamp
TJ,Distal(withTip),1,21,21,1,1,1,1107,2109,3407
TJ,Distal(withTip),2,24,24,1,1,1,6174,7179,8348
TJ,Distal(withTip),3,24,24,1,1,1,9019,10021,11000
TJ,Distal(withTip),4,32,12,0,0,1,11686,12688,13791
TJ,Distal(withTip),5,12,14,0,1,0,14447,15450,16492
TJ,Distal(withTip),6,32,31,0,1,0,17156,18160,20987
TJ,Distal(withTip),7,14,14,1,1,1,21658,22661,23636
TJ,Distal(withTip),8,34,34,1,1,1,24284,25288,26406
TJ,Distal(withTip),9,41,31,0,0,1,27075,28078,29431
TJ,Distal(withTip),10,13,13,1,1,1,30089,31093,32073
TJ,Distal(withTip),11,34,34,1,1,1,32706,33708,34491
TJ,Distal(withTip),12,23,21,0,1,0,35146,36148,37398
TJ,Distal(withTip),13,41,41,1,1,1,38067,39070,40199
TJ,Distal(withTip),14,14,14,1,1,1,40942,41944,43008
TJ,Distal(withTip),15,42,42,1,1,1,43651,44654,45536
TJ,Distal(withTip),16,12,24,0,0,0,46194,47198,48153
TJ,Distal(withTip),17,34,34,1,1,1,48811,49814,50679
TJ,Distal(withTip),18,12,12,1,1,1,51368,52370,53457
TJ,Distal(withTip),19,12,12,1,1,1,54173,55175,56778
TJ,Distal(withTip),20,13,13,1,1,1,57435,58440,59387
TJ,Distal(withTip),21,31,31,1,1,1,90775,91780,92676
TJ,Distal(withTip),22,21,21,1,1,1,93298,94300,94940
TJ,Distal(withTip),23,31,31,1,1,1,95573,96576,97300
TJ,Distal(withTip),24,34,34,1,1,1,97933,98936,99632
TJ,Distal(withTip),25,13,13,1,1,1,100298,101302,102007
TJ,Distal(withTip),26,23,23,1,1,1,102670,103673,104710
TJ,Distal(withTip),27,42,42,1,1,1,105349,106352,107321
TJ,Distal(withTip),28,14,14,1,1,1,107988,108992,110149
TJ,Distal(withTip),29,21,21,1,1,1,110787,111789,112492
TJ,Distal(withTip),30,34,34,1,1,1,113188,114190,115213
TJ,Distal(withTip),31,24,24,1,1,1,115904,116909,117787
TJ,Distal(withTip),32,43,41,0,1,0,118428,119431,120347
TJ,Distal(withTip),33,21,21,1,1,1,120995,121998,123505
TJ,Distal(withTip),34,23,21,0,1,0,124161,125163,126372
TJ,Distal(withTip),35,21,21,1,1,1,127029,128032,129288
TJ,Distal(withTip),36,41,41,1,1,1,129970,130972,132266
TJ,Distal(withTip),37,43,21,0,0,0,132919,133924,134979
TJ,Distal(withTip),38,43,41,0,1,0,135651,136654,137998
TJ,Distal(withTip),39,23,21,0,1,0,138649,139652,141021
TJ,Distal(withTip),40,32,34,0,1,0,141778,142781,143966
TJ,Distal(withTip),41,42,42,1,1,1,174774,175778,177155
TJ,Distal(withTip),42,14,14,1,1,1,177792,178795,179587
TJ,Distal(withTip),43,42,42,1,1,1,180224,181226,181968
TJ,Distal(withTip),44,12,12,1,1,1,182606,183609,184600
TJ,Distal(withTip),45,41,41,1,1,1,185244,186247,186985
TJ,Distal(withTip),46,31,31,1,1,1,187642,188645,189445
TJ,Distal(withTip),47,43,43,1,1,1,190095,191099,192581
TJ,Distal(withTip),48,13,13,1,1,1,193234,194237,195540
TJ,Distal(withTip),49,31,31,1,1,1,196190,197193,198079
TJ,Distal(withTip),50,23,23,1,1,1,198742,199746,200603
TJ,Distal(withTip),51,24,24,1,1,1,201254,202256,203450
TJ,Distal(withTip),52,24,24,1,1,1,204154,205157,206075
TJ,Distal(withTip),53,13,13,1,1,1,206776,207780,208689
TJ,Distal(withTip),54,32,34,0,1,0,209350,210353,211260
TJ,Distal(withTip),55,32,34,0,1,0,211920,212923,213786
TJ,Distal(withTip),56,42,42,1,1,1,214445,215448,216103
TJ,Distal(withTip),57,41,41,1,1,1,216759,217761,219440
TJ,Distal(withTip),58,14,14,1,1,1,220079,221082,222007
TJ,Distal(withTip),59,43,43,1,1,1,222667,223670,224777
TJ,Distal(withTip),60,31,31,1,1,1,225453,226455,227465
