id,cond,trial#,realPattern,userAnswer,correct,c1,c2,playstamp,playendstamp,enterstamp,reactionTime
TJ,Distal(withoutTip),1,21,21,1,1,1,5218,6224,7395,1171
TJ,Distal(withoutTip),2,24,24,1,1,1,8070,9073,10120,1047
TJ,Distal(withoutTip),3,43,41,0,1,0,10769,11772,12895,1123
TJ,Distal(withoutTip),4,42,42,1,1,1,13529,14532,15486,954
TJ,Distal(withoutTip),5,43,21,0,0,0,16155,17159,18229,1070
TJ,Distal(withoutTip),6,13,13,1,1,1,18877,19880,20732,852
TJ,Distal(withoutTip),7,21,21,1,1,1,21386,22389,23127,738
TJ,Distal(withoutTip),8,24,24,1,1,1,23765,24767,25666,899
TJ,Distal(withoutTip),9,21,21,1,1,1,26323,27325,28278,953
TJ,Distal(withoutTip),10,42,42,1,1,1,28942,29944,30839,895
TJ,Distal(withoutTip),11,13,13,1,1,1,31540,32544,33565,1021
TJ,Distal(withoutTip),12,34,34,1,1,1,34239,35241,36194,953
TJ,Distal(withoutTip),13,23,23,1,1,1,37207,38210,39749,1539
TJ,Distal(withoutTip),14,12,12,1,1,1,40410,41412,42923,1511
TJ,Distal(withoutTip),15,31,31,1,1,1,43608,44610,45608,998
TJ,Distal(withoutTip),16,21,21,1,1,1,46327,47332,48268,936
TJ,Distal(withoutTip),17,14,14,1,1,1,49004,50006,51217,1211
TJ,Distal(withoutTip),18,34,34,1,1,1,51894,52897,53836,939
TJ,Distal(withoutTip),19,42,42,1,1,1,54515,55517,57682,2165
TJ,Distal(withoutTip),20,13,13,1,1,1,58347,59349,60231,882
TJ,Distal(withoutTip),21,34,34,1,1,1,91282,92286,93165,879
TJ,Distal(withoutTip),22,34,14,0,0,1,93854,94857,95980,1123
TJ,Distal(withoutTip),23,32,34,0,1,0,96643,97645,98686,1041
TJ,Distal(withoutTip),24,21,21,1,1,1,99390,100392,101391,999
TJ,Distal(withoutTip),25,14,14,1,1,1,102059,103062,104050,988
TJ,Distal(withoutTip),26,32,34,0,1,0,104698,105700,107388,1688
TJ,Distal(withoutTip),27,43,41,0,1,0,108031,109033,110136,1103
TJ,Distal(withoutTip),28,41,41,1,1,1,110811,111813,112768,955
TJ,Distal(withoutTip),29,32,34,0,1,0,113416,114418,115302,884
TJ,Distal(withoutTip),30,12,12,1,1,1,115955,116957,117856,899
TJ,Distal(withoutTip),31,43,41,0,1,0,118537,119539,121267,1728
TJ,Distal(withoutTip),32,31,31,1,1,1,121931,122934,123726,792
TJ,Distal(withoutTip),33,24,24,1,1,1,124353,125356,126386,1030
TJ,Distal(withoutTip),34,42,42,1,1,1,127045,128048,129116,1068
TJ,Distal(withoutTip),35,13,13,1,1,1,129808,130811,131742,931
TJ,Distal(withoutTip),36,14,12,0,1,0,132405,133407,134117,710
TJ,Distal(withoutTip),37,31,31,1,1,1,134770,135772,137037,1265
TJ,Distal(withoutTip),38,14,14,1,1,1,137687,138690,139820,1130
TJ,Distal(withoutTip),39,31,31,1,1,1,140453,141457,142327,870
TJ,Distal(withoutTip),40,32,34,0,1,0,142982,143986,144900,914
TJ,Distal(withoutTip),41,23,23,1,1,1,175798,176803,177667,864
TJ,Distal(withoutTip),42,41,41,1,1,1,178324,179326,180233,907
TJ,Distal(withoutTip),43,41,41,1,1,1,180875,181880,182966,1086
TJ,Distal(withoutTip),44,34,34,1,1,1,183612,184614,185472,858
TJ,Distal(withoutTip),45,43,21,0,0,0,186114,187116,187881,765
TJ,Distal(withoutTip),46,31,31,1,1,1,188513,189516,190609,1093
TJ,Distal(withoutTip),47,23,23,1,1,1,191237,192240,193311,1071
TJ,Distal(withoutTip),48,12,12,1,1,1,193963,194967,196332,1365
TJ,Distal(withoutTip),49,23,21,0,1,0,196989,197992,199131,1139
TJ,Distal(withoutTip),50,13,13,1,1,1,199772,200774,201734,960
TJ,Distal(withoutTip),51,41,41,1,1,1,202392,203395,204409,1014
TJ,Distal(withoutTip),52,41,41,1,1,1,205125,206128,207220,1092
TJ,Distal(withoutTip),53,23,21,0,1,0,207923,208926,210065,1139
TJ,Distal(withoutTip),54,12,12,1,1,1,210782,211784,212788,1004
TJ,Distal(withoutTip),55,32,34,0,1,0,213477,214480,215546,1066
TJ,Distal(withoutTip),56,24,24,1,1,1,216182,217185,218046,861
TJ,Distal(withoutTip),57,12,12,1,1,1,218730,219732,220646,914
TJ,Distal(withoutTip),58,14,14,1,1,1,221254,222256,223972,1716
TJ,Distal(withoutTip),59,24,24,1,1,1,224723,225725,226529,804
TJ,Distal(withoutTip),60,42,42,1,1,1,227268,228272,229121,849
