id,cond,trial#,realPattern,userAnswer,correct,c1,c2,playstamp,playendstamp,enterstamp
YB,Body(withTip),1,24,24,1,1,1,1409,2411,4368
YB,Body(withTip),2,13,14,0,1,0,5180,6182,8774
YB,Body(withTip),3,34,34,1,1,1,9582,10584,12954
YB,Body(withTip),4,43,43,1,1,1,13771,14775,16155
YB,Body(withTip),5,12,12,1,1,1,16972,17974,19161
YB,Body(withTip),6,21,21,1,1,1,19977,20981,22425
YB,Body(withTip),7,42,42,1,1,1,23263,24265,25526
YB,Body(withTip),8,42,21,0,0,0,26361,27363,28770
YB,Body(withTip),9,21,23,0,1,0,29567,30570,32486
YB,Body(withTip),10,43,43,1,1,1,33288,34291,35327
YB,Body(withTip),11,41,41,1,1,1,36120,37123,38587
YB,Body(withTip),12,34,34,1,1,1,39376,40379,41671
YB,Body(withTip),13,31,31,1,1,1,42495,43497,44793
YB,Body(withTip),14,14,14,1,1,1,45586,46588,49073
YB,Body(withTip),15,14,14,1,1,1,49875,50878,52352
YB,Body(withTip),16,23,24,0,1,0,53111,54115,55458
YB,Body(withTip),17,13,14,0,1,0,56273,57275,59387
YB,Body(withTip),18,42,42,1,1,1,60225,61228,62842
YB,Body(withTip),19,13,13,1,1,1,63695,64700,67029
YB,Body(withTip),20,13,13,1,1,1,67885,68887,70522
YB,Body(withTip),21,14,12,0,1,0,102336,103340,104920
YB,Body(withTip),22,31,42,0,0,0,105760,106762,111951
YB,Body(withTip),23,21,21,1,1,1,112721,113723,115100
YB,Body(withTip),24,21,21,1,1,1,115892,116894,118581
YB,Body(withTip),25,32,42,0,0,1,119314,120316,121469
YB,Body(withTip),26,41,43,0,1,0,122261,123264,125603
YB,Body(withTip),27,23,24,0,1,0,126358,127360,130600
YB,Body(withTip),28,12,12,1,1,1,131378,132382,133757
YB,Body(withTip),29,34,32,0,1,0,134845,135848,138635
YB,Body(withTip),30,12,12,1,1,1,139413,140416,141928
YB,Body(withTip),31,34,34,1,1,1,144742,145745,148380
YB,Body(withTip),32,21,21,1,1,1,149275,150277,152198
YB,Body(withTip),33,12,12,1,1,1,153048,154052,155699
YB,Body(withTip),34,14,14,1,1,1,156572,157576,159177
YB,Body(withTip),35,24,24,1,1,1,160062,161065,162594
YB,Body(withTip),36,24,24,1,1,1,163434,164437,165990
YB,Body(withTip),37,13,24,0,0,0,166829,167831,170676
YB,Body(withTip),38,42,42,1,1,1,171537,172540,173874
YB,Body(withTip),39,23,23,1,1,1,174672,175674,177672
YB,Body(withTip),40,23,24,0,1,0,178504,179507,181883
YB,Body(withTip),41,24,24,1,1,1,213207,214211,216305
YB,Body(withTip),42,32,31,0,1,0,217100,218102,219392
YB,Body(withTip),43,14,14,1,1,1,220199,221203,222806
YB,Body(withTip),44,24,24,1,1,1,223613,224615,226258
YB,Body(withTip),45,31,31,1,1,1,227050,228052,229356
YB,Body(withTip),46,34,34,1,1,1,230160,231163,232932
YB,Body(withTip),47,12,12,1,1,1,233703,234705,236020
YB,Body(withTip),48,42,42,1,1,1,236799,237801,239569
YB,Body(withTip),49,31,31,1,1,1,240333,241335,242919
YB,Body(withTip),50,31,31,1,1,1,243737,244740,246685
YB,Body(withTip),51,43,24,0,0,0,247540,248544,252267
YB,Body(withTip),52,32,42,0,0,1,253281,254283,255829
YB,Body(withTip),53,41,41,1,1,1,256648,257652,263606
YB,Body(withTip),54,41,42,0,1,0,264548,265550,270976
YB,Body(withTip),55,32,32,1,1,1,271882,272885,275102
YB,Body(withTip),56,23,24,0,1,0,277174,278176,279691
YB,Body(withTip),57,32,42,0,0,1,280544,281548,284376
YB,Body(withTip),58,43,43,1,1,1,285316,286318,290158
YB,Body(withTip),59,41,21,0,0,1,291196,292198,294754
YB,Body(withTip),60,43,43,1,1,1,295582,296584,298056
