id,cond,trial#,realPattern,userAnswer,correct,c1,c2,playstamp,playendstamp,enterstamp
YB,Body(withoutTip),1,12,12,1,1,1,2237,3242,4711
YB,Body(withoutTip),2,32,32,1,1,1,5517,6519,8339
YB,Body(withoutTip),3,41,21,0,0,1,9091,10093,11349
YB,Body(withoutTip),4,42,21,0,0,0,12204,13206,17839
YB,Body(withoutTip),5,14,12,0,1,0,18642,19644,21998
YB,Body(withoutTip),6,43,43,1,1,1,22841,23845,25328
YB,Body(withoutTip),7,12,12,1,1,1,26149,27151,28781
YB,Body(withoutTip),8,42,42,1,1,1,29716,30718,32148
YB,Body(withoutTip),9,14,14,1,1,1,33135,34138,38853
YB,Body(withoutTip),10,14,14,1,1,1,39685,40688,42512
YB,Body(withoutTip),11,31,31,1,1,1,43258,44260,45457
YB,Body(withoutTip),12,13,14,0,1,0,46280,47284,50710
YB,Body(withoutTip),13,23,23,1,1,1,51480,52483,56177
YB,Body(withoutTip),14,12,12,1,1,1,57022,58024,59421
YB,Body(withoutTip),15,32,32,1,1,1,60193,61196,63081
YB,Body(withoutTip),16,23,23,1,1,1,64263,65267,66995
YB,Body(withoutTip),17,31,31,1,1,1,67778,68782,70330
YB,Body(withoutTip),18,43,24,0,0,0,71151,72154,74784
YB,Body(withoutTip),19,42,42,1,1,1,75555,76557,78304
YB,Body(withoutTip),20,42,42,1,1,1,79050,80052,81606
YB,Body(withoutTip),21,34,34,1,1,1,114324,115328,117167
YB,Body(withoutTip),22,31,31,1,1,1,117987,118990,120148
YB,Body(withoutTip),23,24,24,1,1,1,120898,121900,123162
YB,Body(withoutTip),24,21,21,1,1,1,123906,124910,125881
YB,Body(withoutTip),25,21,21,1,1,1,126639,127641,128744
YB,Body(withoutTip),26,13,13,1,1,1,129478,130482,131836
YB,Body(withoutTip),27,23,24,0,1,0,132584,133586,135024
YB,Body(withoutTip),28,14,14,1,1,1,135745,136749,138196
YB,Body(withoutTip),29,41,21,0,0,1,138917,139919,141753
YB,Body(withoutTip),30,24,24,1,1,1,142563,143567,144778
YB,Body(withoutTip),31,32,32,1,1,1,145530,146532,148301
YB,Body(withoutTip),32,43,23,0,0,1,149154,150156,152264
YB,Body(withoutTip),33,34,34,1,1,1,153058,154060,155777
YB,Body(withoutTip),34,23,23,1,1,1,156539,157542,159727
YB,Body(withoutTip),35,43,23,0,0,1,160552,161555,163046
YB,Body(withoutTip),36,41,21,0,0,1,163812,164814,166491
YB,Body(withoutTip),37,31,31,1,1,1,167216,168218,169358
YB,Body(withoutTip),38,12,12,1,1,1,170079,171081,172517
YB,Body(withoutTip),39,31,31,1,1,1,173289,174291,175553
YB,Body(withoutTip),40,34,12,0,0,0,176304,177307,180445
YB,Body(withoutTip),41,42,42,1,1,1,212264,213269,215038
YB,Body(withoutTip),42,21,21,1,1,1,215865,216867,218346
YB,Body(withoutTip),43,32,34,0,1,0,219130,220132,222553
YB,Body(withoutTip),44,13,13,1,1,1,223428,224430,225916
YB,Body(withoutTip),45,41,41,1,1,1,226745,227748,229515
YB,Body(withoutTip),46,23,23,1,1,1,230348,231351,233043
YB,Body(withoutTip),47,41,41,1,1,1,233910,234912,236645
YB,Body(withoutTip),48,24,24,1,1,1,237559,238561,240018
YB,Body(withoutTip),49,24,24,1,1,1,240820,241822,243318
YB,Body(withoutTip),50,43,43,1,1,1,244104,245107,246710
YB,Body(withoutTip),51,24,24,1,1,1,247483,248485,250096
YB,Body(withoutTip),52,32,34,0,1,0,250843,251848,254348
YB,Body(withoutTip),53,21,21,1,1,1,255157,256160,257355
YB,Body(withoutTip),54,14,14,1,1,1,258121,259124,263661
YB,Body(withoutTip),55,13,13,1,1,1,264421,265424,267069
YB,Body(withoutTip),56,12,12,1,1,1,267894,268896,270275
YB,Body(withoutTip),57,13,13,1,1,1,271039,272042,273478
YB,Body(withoutTip),58,34,34,1,1,1,274260,275264,276586
YB,Body(withoutTip),59,34,34,1,1,1,277346,278349,279968
YB,Body(withoutTip),60,21,21,1,1,1,280760,281763,283470
