id,cond,trial#,realPattern,userAnswer,correct,c1,c2,playstamp,playendstamp,enterstamp
YB,Distal(withoutTip),1,43,41,0,1,0,1739,2745,4378
YB,Distal(withoutTip),2,41,42,0,1,0,5265,6269,8246
YB,Distal(withoutTip),3,31,31,1,1,1,9203,10206,11686
YB,Distal(withoutTip),4,24,24,1,1,1,12595,13597,16005
YB,Distal(withoutTip),5,13,13,1,1,1,17046,18048,19781
YB,Distal(withoutTip),6,34,34,1,1,1,20616,21618,23090
YB,Distal(withoutTip),7,12,12,1,1,1,23901,24904,26573
YB,Distal(withoutTip),8,42,42,1,1,1,27460,28462,30472
YB,Distal(withoutTip),9,31,31,1,1,1,31367,32370,33564
YB,Distal(withoutTip),10,24,24,1,1,1,34437,35439,37089
YB,Distal(withoutTip),11,21,21,1,1,1,37915,38917,40216
YB,Distal(withoutTip),12,31,31,1,1,1,41090,42094,43293
YB,Distal(withoutTip),13,21,21,1,1,1,44106,45108,46724
YB,Distal(withoutTip),14,23,23,1,1,1,47527,48530,49948
YB,Distal(withoutTip),15,21,21,1,1,1,50767,51769,53042
YB,Distal(withoutTip),16,14,14,1,1,1,53824,54826,56210
YB,Distal(withoutTip),17,12,12,1,1,1,57026,58030,59284
YB,Distal(withoutTip),18,12,12,1,1,1,60190,61194,62435
YB,Distal(withoutTip),19,13,13,1,1,1,63271,64273,65585
YB,Distal(withoutTip),20,21,21,1,1,1,66444,67448,68800
YB,Distal(withoutTip),21,23,23,1,1,1,100148,101153,102928
YB,Distal(withoutTip),22,12,12,1,1,1,103834,104837,106900
YB,Distal(withoutTip),23,23,23,1,1,1,107738,108740,110408
YB,Distal(withoutTip),24,32,32,1,1,1,111288,112290,113552
YB,Distal(withoutTip),25,24,24,1,1,1,114377,115380,117294
YB,Distal(withoutTip),26,23,23,1,1,1,118109,119112,120220
YB,Distal(withoutTip),27,32,32,1,1,1,121017,122019,123398
YB,Distal(withoutTip),28,42,42,1,1,1,124212,125214,126446
YB,Distal(withoutTip),29,31,31,1,1,1,127251,128256,129584
YB,Distal(withoutTip),30,21,21,1,1,1,130418,131420,132819
YB,Distal(withoutTip),31,43,43,1,1,1,133685,134687,136129
YB,Distal(withoutTip),32,34,34,1,1,1,137004,138006,139372
YB,Distal(withoutTip),33,32,32,1,1,1,140242,141244,142691
YB,Distal(withoutTip),34,41,41,1,1,1,143473,144477,145924
YB,Distal(withoutTip),35,34,34,1,1,1,146812,147815,149112
YB,Distal(withoutTip),36,12,12,1,1,1,150045,151048,152749
YB,Distal(withoutTip),37,41,41,1,1,1,153537,154539,156146
YB,Distal(withoutTip),38,24,24,1,1,1,156978,157980,159366
YB,Distal(withoutTip),39,14,14,1,1,1,160215,161217,162536
YB,Distal(withoutTip),40,42,42,1,1,1,163427,164429,166205
YB,Distal(withoutTip),41,13,13,1,1,1,197557,198562,199993
YB,Distal(withoutTip),42,43,43,1,1,1,200840,201843,203026
YB,Distal(withoutTip),43,14,14,1,1,1,203850,204852,207260
YB,Distal(withoutTip),44,43,43,1,1,1,208063,209065,210205
YB,Distal(withoutTip),45,41,42,0,1,0,211045,212048,213477
YB,Distal(withoutTip),46,23,23,1,1,1,214328,215330,217128
YB,Distal(withoutTip),47,13,13,1,1,1,217999,219001,220708
YB,Distal(withoutTip),48,32,32,1,1,1,221539,222543,224704
YB,Distal(withoutTip),49,32,32,1,1,1,225555,226558,228138
YB,Distal(withoutTip),50,31,31,1,1,1,228970,229972,231081
YB,Distal(withoutTip),51,42,42,1,1,1,231949,232951,234439
YB,Distal(withoutTip),52,34,34,1,1,1,235407,236410,238725
YB,Distal(withoutTip),53,14,14,1,1,1,239566,240570,242143
YB,Distal(withoutTip),54,41,41,1,1,1,243135,244137,246232
YB,Distal(withoutTip),55,24,24,1,1,1,247222,248224,249661
YB,Distal(withoutTip),56,42,42,1,1,1,250474,251476,253410
YB,Distal(withoutTip),57,34,34,1,1,1,254328,255330,256768
YB,Distal(withoutTip),58,13,13,1,1,1,257565,258569,259918
YB,Distal(withoutTip),59,43,43,1,1,1,260806,261808,263046
YB,Distal(withoutTip),60,14,14,1,1,1,263887,264889,266630
