id,cond,trial#,realPattern,userAnswer,correct,c1,c2,playstamp,playendstamp,enterstamp
TJ,Body(withoutTip),1,32,31,0,1,0,1325,2331,3461
TJ,Body(withoutTip),2,12,12,1,1,1,4178,5181,6081
TJ,Body(withoutTip),3,14,14,1,1,1,6732,7735,9381
TJ,Body(withoutTip),4,23,13,0,0,1,10016,11019,11920
TJ,Body(withoutTip),5,41,21,0,0,1,12536,13538,14400
TJ,Body(withoutTip),6,34,32,0,1,0,15060,16063,17369
TJ,Body(withoutTip),7,21,13,0,0,0,18052,19054,19909
TJ,Body(withoutTip),8,34,32,0,1,0,20560,21563,22943
TJ,Body(withoutTip),9,43,23,0,0,1,23625,24628,25892
TJ,Body(withoutTip),10,43,23,0,0,1,26529,27533,28663
TJ,Body(withoutTip),11,31,31,1,1,1,29303,30306,31273
TJ,Body(withoutTip),12,24,12,0,0,0,31911,32915,34103
TJ,Body(withoutTip),13,24,24,1,1,1,34784,35788,37025
TJ,Body(withoutTip),14,12,31,0,0,0,37648,38651,39558
TJ,Body(withoutTip),15,31,31,1,1,1,40224,41227,42215
TJ,Body(withoutTip),16,23,23,1,1,1,42856,43859,44998
TJ,Body(withoutTip),17,14,12,0,1,0,45652,46654,47644
TJ,Body(withoutTip),18,32,32,1,1,1,48324,49328,52676
TJ,Body(withoutTip),19,41,41,1,1,1,53357,54360,55441
TJ,Body(withoutTip),20,14,12,0,1,0,56119,57121,58342
TJ,Body(withoutTip),21,32,31,0,1,0,89131,90136,91281
TJ,Body(withoutTip),22,14,14,1,1,1,91925,92927,93889
TJ,Body(withoutTip),23,14,12,0,1,0,94548,95550,96706
TJ,Body(withoutTip),24,32,41,0,0,0,97355,98358,99348
TJ,Body(withoutTip),25,41,21,0,0,1,99997,101001,101726
TJ,Body(withoutTip),26,14,34,0,0,1,102389,103391,104214
TJ,Body(withoutTip),27,24,13,0,0,0,104870,105876,106734
TJ,Body(withoutTip),28,42,21,0,0,0,107376,108379,109777
TJ,Body(withoutTip),29,43,43,1,1,1,110478,111480,112526
TJ,Body(withoutTip),30,21,13,0,0,0,113248,114250,115694
TJ,Body(withoutTip),31,23,24,0,1,0,116347,117349,118584
TJ,Body(withoutTip),32,42,21,0,0,0,119238,120241,122518
TJ,Body(withoutTip),33,14,14,1,1,1,123158,124160,125130
TJ,Body(withoutTip),34,13,34,0,0,0,125773,126775,127975
TJ,Body(withoutTip),35,13,14,0,1,0,128631,129633,131321
TJ,Body(withoutTip),36,12,12,1,1,1,131981,132984,133967
TJ,Body(withoutTip),37,34,42,0,0,0,134647,135650,136502
TJ,Body(withoutTip),38,24,24,1,1,1,137139,138143,139959
TJ,Body(withoutTip),39,41,21,0,0,1,140606,141609,142653
TJ,Body(withoutTip),40,34,42,0,0,0,143502,144504,145362
TJ,Body(withoutTip),41,12,12,1,1,1,181381,182386,183825
TJ,Body(withoutTip),42,31,41,0,0,1,184448,185451,186609
TJ,Body(withoutTip),43,32,42,0,0,1,187246,188249,190141
TJ,Body(withoutTip),44,32,31,0,1,0,190798,191800,192492
TJ,Body(withoutTip),45,23,13,0,0,1,193170,194172,195396
TJ,Body(withoutTip),46,43,24,0,0,0,196028,197032,197974
TJ,Body(withoutTip),47,24,12,0,0,0,198602,199607,201160
TJ,Body(withoutTip),48,41,21,0,0,1,201823,202826,203738
TJ,Body(withoutTip),49,42,21,0,0,0,204628,205631,206405
TJ,Body(withoutTip),50,13,14,0,1,0,207048,208052,209069
TJ,Body(withoutTip),51,43,24,0,0,0,209742,210745,211732
TJ,Body(withoutTip),52,41,21,0,0,1,212386,213389,214289
TJ,Body(withoutTip),53,42,21,0,0,0,214949,215953,216995
TJ,Body(withoutTip),54,24,12,0,0,0,217638,218640,219519
TJ,Body(withoutTip),55,12,12,1,1,1,220186,221189,222109
TJ,Body(withoutTip),56,13,14,0,1,0,222796,223801,224885
TJ,Body(withoutTip),57,41,21,0,0,1,225530,226533,227688
TJ,Body(withoutTip),58,23,24,0,1,0,228348,229351,230401
TJ,Body(withoutTip),59,12,12,1,1,1,231453,232456,233259
TJ,Body(withoutTip),60,43,24,0,0,0,233940,234943,236236
TJ,Body(withoutTip),61,14,12,0,1,0,267073,268077,268946
TJ,Body(withoutTip),62,23,13,0,0,1,269632,270635,271765
TJ,Body(withoutTip),63,14,12,0,1,0,272391,273394,274113
TJ,Body(withoutTip),64,21,13,0,0,0,274787,275790,276613
