id,cond,trial#,realPattern,userAnswer,correct,c1,c2,playstamp,playendstamp,enterstamp
TJ,Distal(withTip),1,14,14,1,1,1,1753,2757,8481
TJ,Distal(withTip),2,43,41,0,1,0,10954,11957,19560
TJ,Distal(withTip),3,42,42,1,1,1,20268,21272,22616
TJ,Distal(withTip),4,12,12,1,1,1,23346,24349,26202
TJ,Distal(withTip),5,24,24,1,1,1,38755,39760,41182
TJ,Distal(withTip),6,32,32,1,1,1,41865,42868,45053
TJ,Distal(withTip),7,42,42,1,1,1,45758,46761,48094
TJ,Distal(withTip),8,31,31,1,1,1,48855,49858,51372
TJ,Distal(withTip),9,43,43,1,1,1,52328,53331,54796
TJ,Distal(withTip),10,12,12,1,1,1,55531,56535,57933
TJ,Distal(withTip),11,12,12,1,1,1,58768,59771,61272
TJ,Distal(withTip),12,23,21,0,1,0,61974,62977,64265
TJ,Distal(withTip),13,31,31,1,1,1,64971,65974,67264
TJ,Distal(withTip),14,23,21,0,1,0,68049,69051,70319
TJ,Distal(withTip),15,43,42,0,1,0,71061,72063,73570
TJ,Distal(withTip),16,32,32,1,1,1,74268,75271,77228
TJ,Distal(withTip),17,31,31,1,1,1,77923,78925,82968
TJ,Distal(withTip),18,32,34,0,1,0,83854,84857,86199
TJ,Distal(withTip),19,13,13,1,1,1,87006,88010,89111
TJ,Distal(withTip),20,21,42,0,0,0,89791,90795,92775
TJ,Distal(withTip),21,34,34,1,1,1,124223,125228,126577
TJ,Distal(withTip),22,23,23,1,1,1,127273,128276,129579
TJ,Distal(withTip),23,24,24,1,1,1,130300,131303,132455
TJ,Distal(withTip),24,13,13,1,1,1,133114,134117,135097
TJ,Distal(withTip),25,21,21,1,1,1,135770,136773,138046
TJ,Distal(withTip),26,41,42,0,1,0,138744,139747,141278
TJ,Distal(withTip),27,23,21,0,1,0,141950,142952,143908
TJ,Distal(withTip),28,13,13,1,1,1,144549,145552,146460
TJ,Distal(withTip),29,32,12,0,0,1,147123,148126,149216
TJ,Distal(withTip),30,14,14,1,1,1,149872,150875,152271
TJ,Distal(withTip),31,43,41,0,1,0,152977,153981,155134
TJ,Distal(withTip),32,21,21,1,1,1,155817,156821,158361
TJ,Distal(withTip),33,14,14,1,1,1,159036,160039,161189
TJ,Distal(withTip),34,12,12,1,1,1,161814,162817,164133
TJ,Distal(withTip),35,13,13,1,1,1,164827,165829,166861
TJ,Distal(withTip),36,13,13,1,1,1,167539,168541,169502
TJ,Distal(withTip),37,31,31,1,1,1,170195,171197,172860
TJ,Distal(withTip),38,32,34,0,1,0,173506,174511,175852
TJ,Distal(withTip),39,32,34,0,1,0,176513,177515,178469
TJ,Distal(withTip),40,14,14,1,1,1,179204,180207,181308
TJ,Distal(withTip),41,43,43,1,1,1,212276,213279,214432
