id,cond,trial#,realPattern,userAnswer,correct,c1,c2,playstamp,playendstamp,enterstamp
TJ,Distal(withoutTip),1,42,42,1,1,1,952,1955,2859
TJ,Distal(withoutTip),2,34,34,1,1,1,3522,4525,5563
TJ,Distal(withoutTip),3,43,43,1,1,1,6236,7238,8196
TJ,Distal(withoutTip),4,23,23,1,1,1,8868,9870,11095
TJ,Distal(withoutTip),5,12,12,1,1,1,12370,13373,14540
TJ,Distal(withoutTip),6,14,14,1,1,1,15253,16257,17793
TJ,Distal(withoutTip),7,24,24,1,1,1,18548,19551,20733
TJ,Distal(withoutTip),8,32,32,1,1,1,21434,22436,23711
TJ,Distal(withoutTip),9,34,34,1,1,1,24411,25413,27199
TJ,Distal(withoutTip),10,32,34,0,1,0,27910,28913,30396
TJ,Distal(withoutTip),11,13,13,1,1,1,31080,32084,33091
TJ,Distal(withoutTip),12,32,32,1,1,1,34085,35087,36150
TJ,Distal(withoutTip),13,12,12,1,1,1,36789,37792,38959
TJ,Distal(withoutTip),14,21,21,1,1,1,39627,40630,41535
TJ,Distal(withoutTip),15,34,34,1,1,1,42224,43228,44175
TJ,Distal(withoutTip),16,12,12,1,1,1,44878,45881,46851
TJ,Distal(withoutTip),17,41,41,1,1,1,47534,48537,49452
TJ,Distal(withoutTip),18,32,34,0,1,0,50151,51155,52149
TJ,Distal(withoutTip),19,21,21,1,1,1,52825,53829,54804
TJ,Distal(withoutTip),20,13,13,1,1,1,55479,56482,57446
TJ,Distal(withoutTip),21,42,42,1,1,1,88318,89322,90545
TJ,Distal(withoutTip),22,13,13,1,1,1,91227,92230,93286
TJ,Distal(withoutTip),23,32,32,1,1,1,93990,94996,96138
TJ,Distal(withoutTip),24,12,14,0,1,0,96840,97843,102542
TJ,Distal(withoutTip),25,34,34,1,1,1,103173,104175,105209
TJ,Distal(withoutTip),26,21,21,1,1,1,105886,106891,107724
TJ,Distal(withoutTip),27,32,12,0,0,1,108385,109388,112228
TJ,Distal(withoutTip),28,31,32,0,1,0,112884,113886,115082
TJ,Distal(withoutTip),29,14,14,1,1,1,115742,116744,118380
TJ,Distal(withoutTip),30,12,12,1,1,1,119066,120070,121178
TJ,Distal(withoutTip),31,12,12,1,1,1,121925,122929,124035
TJ,Distal(withoutTip),32,41,41,1,1,1,124794,125797,127346
TJ,Distal(withoutTip),33,14,13,0,1,0,128005,129008,130241
TJ,Distal(withoutTip),34,41,21,0,0,1,130891,131893,133064
TJ,Distal(withoutTip),35,12,24,0,0,0,133736,134739,136983
TJ,Distal(withoutTip),36,23,21,0,1,0,138239,139241,140130
TJ,Distal(withoutTip),37,42,31,0,0,0,140813,141816,142971
TJ,Distal(withoutTip),38,41,41,1,1,1,143633,144636,146382
TJ,Distal(withoutTip),39,23,21,0,1,0,147592,148596,149534
TJ,Distal(withoutTip),40,23,21,0,1,0,150210,151214,152451
TJ,Distal(withoutTip),41,24,24,1,1,1,184100,185104,186450
TJ,Distal(withoutTip),42,13,13,1,1,1,187157,188159,189089
TJ,Distal(withoutTip),43,32,32,1,1,1,189736,190739,192360
TJ,Distal(withoutTip),44,42,42,1,1,1,192984,193987,194948
TJ,Distal(withoutTip),45,42,42,1,1,1,195592,196595,197559
TJ,Distal(withoutTip),46,21,21,1,1,1,198241,199244,200435
TJ,Distal(withoutTip),47,31,31,1,1,1,201096,202098,203056
TJ,Distal(withoutTip),48,13,13,1,1,1,203689,204692,205666
TJ,Distal(withoutTip),49,14,14,1,1,1,206340,207343,208383
TJ,Distal(withoutTip),50,43,21,0,0,0,209041,210044,211558
TJ,Distal(withoutTip),51,13,13,1,1,1,212265,213268,214141
TJ,Distal(withoutTip),52,41,42,0,1,0,214781,215783,218965
TJ,Distal(withoutTip),53,34,34,1,1,1,219642,220645,221904
TJ,Distal(withoutTip),54,41,41,1,1,1,222558,223561,224971
TJ,Distal(withoutTip),55,31,12,0,0,0,225624,226626,227871
TJ,Distal(withoutTip),56,23,21,0,1,0,228516,229519,230473
TJ,Distal(withoutTip),57,14,14,1,1,1,231150,232153,233366
TJ,Distal(withoutTip),58,14,14,1,1,1,234030,235033,236056
TJ,Distal(withoutTip),59,31,31,1,1,1,236734,237737,238787
TJ,Distal(withoutTip),60,23,43,0,0,1,239498,240500,241948
TJ,Distal(withoutTip),61,23,23,1,1,1,272789,273794,274765
TJ,Distal(withoutTip),62,42,42,1,1,1,275437,276439,277264
TJ,Distal(withoutTip),63,12,12,1,1,1,277910,278914,279754
TJ,Distal(withoutTip),64,43,31,0,0,0,280420,281425,282798
TJ,Distal(withoutTip),65,21,21,1,1,1,283444,284446,285190
TJ,Distal(withoutTip),66,12,12,1,1,1,285838,286841,287690
TJ,Distal(withoutTip),67,24,24,1,1,1,288356,289358,290289
TJ,Distal(withoutTip),68,41,31,0,0,1,290944,291947,293165
TJ,Distal(withoutTip),69,31,31,1,1,1,293831,294833,295958
TJ,Distal(withoutTip),70,42,42,1,1,1,296624,297628,298411
TJ,Distal(withoutTip),71,31,31,1,1,1,299075,300078,300909
TJ,Distal(withoutTip),72,21,21,1,1,1,301570,302572,303592
TJ,Distal(withoutTip),73,32,34,0,1,0,304280,305284,306248
TJ,Distal(withoutTip),74,24,24,1,1,1,306961,307964,309128
TJ,Distal(withoutTip),75,32,34,0,1,0,309814,310817,311869
TJ,Distal(withoutTip),76,43,31,0,0,0,312536,313539,314473
TJ,Distal(withoutTip),77,42,41,0,1,0,315148,316151,318676
TJ,Distal(withoutTip),78,31,31,1,1,1,319515,320519,321509
TJ,Distal(withoutTip),79,43,43,1,1,1,322181,323183,324193
TJ,Distal(withoutTip),80,43,43,1,1,1,324897,325900,326684
TJ,Distal(withoutTip),81,24,24,1,1,1,411002,412008,412798
TJ,Distal(withoutTip),82,14,14,1,1,1,413508,414511,415720
TJ,Distal(withoutTip),83,43,43,1,1,1,416363,417366,418257
TJ,Distal(withoutTip),84,24,24,1,1,1,418919,419922,420825
TJ,Distal(withoutTip),85,21,21,1,1,1,421461,422464,423566
TJ,Distal(withoutTip),86,12,12,1,1,1,424240,425244,426048
TJ,Distal(withoutTip),87,14,14,1,1,1,426699,427703,428884
TJ,Distal(withoutTip),88,24,24,1,1,1,429529,430532,431440
TJ,Distal(withoutTip),89,31,31,1,1,1,432098,433101,434204
TJ,Distal(withoutTip),90,13,13,1,1,1,434880,435882,437075
TJ,Distal(withoutTip),91,43,43,1,1,1,437732,438735,439651
TJ,Distal(withoutTip),92,23,43,0,0,1,440335,441337,442794
TJ,Distal(withoutTip),93,43,43,1,1,1,443444,444447,445562
TJ,Distal(withoutTip),94,24,24,1,1,1,446341,447346,448430
TJ,Distal(withoutTip),95,23,24,0,1,0,449077,450079,451368
TJ,Distal(withoutTip),96,24,24,1,1,1,452015,453017,454370
TJ,Distal(withoutTip),97,34,34,1,1,1,455053,456056,457665
TJ,Distal(withoutTip),98,41,41,1,1,1,458403,459406,460907
TJ,Distal(withoutTip),99,34,34,1,1,1,461610,462612,463633
TJ,Distal(withoutTip),100,41,41,1,1,1,464361,465364,466448
TJ,Distal(withoutTip),101,14,14,1,1,1,497317,498322,499321
TJ,Distal(withoutTip),102,34,34,1,1,1,499970,500972,501835
TJ,Distal(withoutTip),103,21,41,0,0,1,502506,503509,505311
TJ,Distal(withoutTip),104,14,13,0,1,0,506060,507064,507965
TJ,Distal(withoutTip),105,43,43,1,1,1,508620,509623,510673
TJ,Distal(withoutTip),106,21,21,1,1,1,511329,512331,514347
TJ,Distal(withoutTip),107,13,13,1,1,1,514987,515990,516717
TJ,Distal(withoutTip),108,31,31,1,1,1,517358,518361,519206
TJ,Distal(withoutTip),109,23,23,1,1,1,519879,520881,521957
TJ,Distal(withoutTip),110,13,13,1,1,1,522598,523602,524464
TJ,Distal(withoutTip),111,31,31,1,1,1,525234,526237,527255
TJ,Distal(withoutTip),112,34,14,0,0,1,527893,528897,531487
TJ,Distal(withoutTip),113,34,34,1,1,1,532136,533138,533981
TJ,Distal(withoutTip),114,13,13,1,1,1,534667,535670,536722
TJ,Distal(withoutTip),115,41,41,1,1,1,537386,538389,539564
TJ,Distal(withoutTip),116,42,42,1,1,1,540260,541263,542326
TJ,Distal(withoutTip),117,24,24,1,1,1,543065,544068,545397
TJ,Distal(withoutTip),118,32,34,0,1,0,546048,547051,548778
TJ,Distal(withoutTip),119,21,41,0,0,1,549616,550618,551774
TJ,Distal(withoutTip),120,42,42,1,1,1,552469,553472,554746
