id,trial#,realPattern,userAnswer,playstamp,enterstamp
TJ,1,a,324,1,7972,13629
TJ,2,7,123,1,14085,16222
TJ,3,a,324,1,16842,109583
TJ,4,c,234,1,110480,118032
TJ,5,j,243,1,118551,121642
TJ,6,j,243,1,122216,124653
TJ,7,c,234,1,124997,126954
TJ,8,r,312,1,127261,129357
TJ,9,l,134,1,129605,131378
TJ,10,c,234,1,131683,133417
TJ,11,j,243,1,133720,135896
TJ,12,v,132,1,136206,137927
TJ,13,r,312,1,138602,140128
TJ,14,f,213,1,140960,144520
TJ,15,a,324,1,144986,147370
TJ,16,c,234,1,147706,149453
TJ,17,7,123,1,149781,151939
TJ,18,f,213,1,152240,153924
TJ,19,l,134,1,154229,156093
TJ,20,t,124,1,156735,158236
TJ,21,v,132,1,158548,160557
TJ,22,a,324,1,160887,162781
TJ,23,t,124,1,163079,177394
TJ,24,r,312,1,177644,179438
TJ,25,7,131,0,179746,185414
TJ,26,t,124,1,186517,188232
TJ,27,v,132,1,188484,190226
TJ,28,r,312,1,190502,192476
TJ,29,a,324,1,192803,194441
TJ,30,l,134,1,194779,196481
TJ,31,l,134,1,196840,198537
TJ,32,v,132,1,198867,200476
TJ,33,j,243,1,200767,202927
TJ,34,t,124,1,203213,206318
TJ,35,c,234,1,206606,208432
TJ,36,f,213,1,208680,210457
TJ,37,f,213,1,210749,212334
TJ,38,7,123,1,212621,214449
TJ,39,j,243,1,214744,216236
TJ,40,v,132,1,216473,218155
TJ,41,r,312,1,218414,220210
TJ,42,7,123,1,220469,222091
TJ,43,t,124,1,222408,224380
TJ,44,f,213,1,224662,226489
TJ,45,l,134,1,226918,229658
id,trial#,realPattern,userAnswer,playstamp,enterstamp
TJ,1,7,123,1,571,2925
TJ,2,v,132,1,3311,5155
TJ,3,t,124,1,5470,7165
TJ,4,f,213,1,7568,9529
TJ,5,v,132,1,9884,11539
TJ,6,r,312,1,11854,13752
TJ,7,7,123,1,14075,16227
TJ,8,c,234,1,16555,18192
TJ,9,c,234,1,18535,20599
TJ,10,r,312,1,20873,23672
TJ,11,v,132,1,23941,26512
TJ,12,l,134,1,26748,28841
TJ,13,f,213,1,29123,33401
TJ,14,f,213,1,33687,35602
TJ,15,r,312,1,35845,37611
TJ,16,a,324,1,37896,40241
TJ,17,c,234,1,40503,42602
TJ,18,7,123,1,42923,44853
TJ,19,l,134,1,45113,46878
TJ,20,c,234,1,47180,48998
TJ,21,v,132,1,49278,51021
TJ,22,v,132,1,51244,52763
TJ,23,j,243,1,53056,54873
TJ,24,t,124,1,55108,57110
TJ,25,l,134,1,57421,59261
TJ,26,j,243,1,59489,60982
TJ,27,r,312,1,61250,62958
TJ,28,v,132,1,63198,65123
TJ,29,a,324,1,65393,67346
TJ,30,l,134,1,67606,69029
TJ,31,c,234,1,69292,71785
TJ,32,l,134,1,72015,73933
TJ,33,7,123,1,74175,75790
TJ,34,7,123,1,76057,77762
TJ,35,j,243,1,78058,80080
TJ,36,7,123,1,80511,82197
TJ,37,v,132,1,82440,84686
TJ,38,j,243,1,84921,87375
TJ,39,t,124,1,87634,89507
TJ,40,t,124,1,89759,91207
TJ,41,l,134,1,91440,92833
TJ,42,7,123,1,93088,94568
TJ,43,c,234,1,94886,96481
TJ,44,c,234,1,96761,99046
TJ,45,a,324,1,99281,100950
TJ,46,7,123,1,101214,102996
TJ,47,j,243,1,103250,105030
TJ,48,a,324,1,105240,107008
TJ,49,j,243,1,107257,109566
TJ,50,t,124,1,109799,111681
TJ,51,l,134,1,111979,113737
TJ,52,f,213,1,114033,116017
TJ,53,l,134,1,116333,118544
TJ,54,r,312,1,118762,120351
TJ,55,v,132,1,120606,122383
TJ,56,c,234,1,122635,127203
TJ,57,f,213,1,127417,129390
TJ,58,r,312,1,129616,131460
TJ,59,v,132,1,131705,133299
TJ,60,l,134,1,133596,135066
TJ,61,c,234,1,135378,137449
TJ,62,t,124,1,137906,139515
TJ,63,7,123,1,139786,141356
