id,orientation,armpose,trial#,realPattern,userAnswer,correct,playstamp,playendstamp,enterstamp
TJ,handNorth,armBody,1,t,t,1,5517,7021,7435
TJ,handNorth,armBody,2,7,t,0,9333,10836,12556
TJ,handNorth,armBody,3,v,v,1,14572,16075,20004
TJ,handNorth,armBody,4,7,a,0,21813,23318,23900
TJ,handNorth,armBody,5,a,a,1,25652,27155,27771
TJ,handNorth,armBody,6,t,t,1,29524,31028,31555
TJ,handNorth,armBody,7,j,j,1,33204,34708,35076
TJ,handNorth,armBody,8,j,j,1,36748,38254,38596
TJ,handNorth,armBody,9,c,c,1,40356,41860,42228
TJ,handNorth,armBody,10,7,7,1,43892,45396,46467
TJ,handNorth,armBody,11,c,c,1,48148,49651,50139
TJ,handNorth,armBody,12,r,r,1,51924,53427,54027
TJ,handNorth,armBody,13,f,f,1,55949,57453,59924
TJ,handNorth,armBody,14,c,c,1,61468,62972,63716
TJ,handNorth,armBody,15,c,c,1,65420,66924,67619
TJ,handNorth,armBody,16,r,r,1,88524,90029,90756
TJ,handNorth,armBody,17,l,l,1,92365,93868,94628
TJ,handNorth,armBody,18,t,t,1,96197,97701,98571
TJ,handNorth,armBody,19,7,7,1,100173,101676,102811
TJ,handNorth,armBody,20,a,a,1,104685,106189,106860
TJ,handNorth,armBody,21,l,l,1,108525,110028,110267
TJ,handNorth,armBody,22,f,c,0,111861,113364,113755
TJ,handNorth,armBody,23,f,c,0,115461,116965,117388
TJ,handNorth,armBody,24,c,l,0,119156,120660,121180
TJ,handNorth,armBody,25,v,v,1,122941,124446,126364
TJ,handNorth,armBody,26,l,l,1,127869,129372,129812
TJ,handNorth,armBody,27,j,j,1,131589,133091,133388
TJ,handNorth,armBody,28,j,j,1,135157,136660,136916
TJ,handNorth,armBody,29,f,f,1,138533,140037,143555
TJ,handNorth,armBody,30,r,r,1,145228,146731,147924
TJ,handNorth,armBody,31,7,a,0,168461,169964,170579
TJ,handNorth,armBody,32,r,r,1,172173,173677,174388
TJ,handNorth,armBody,33,v,v,1,176533,178036,178892
TJ,handNorth,armBody,34,a,a,1,180525,182029,182948
TJ,handNorth,armBody,35,v,v,1,184477,185982,186684
TJ,handNorth,armBody,36,a,r,0,188356,189861,190708
TJ,handNorth,armBody,37,r,r,1,192460,193963,194667
TJ,handNorth,armBody,38,t,r,0,196437,197940,199228
TJ,handNorth,armBody,39,a,r,0,200853,202358,203956
TJ,handNorth,armBody,40,l,l,1,206084,207587,208035
TJ,handNorth,armBody,41,v,v,1,209669,211173,211947
TJ,handNorth,armBody,42,j,j,1,213525,215028,215412
TJ,handNorth,armBody,43,f,f,1,217020,218527,220604
TJ,handNorth,armBody,44,t,a,0,222237,223741,224548
TJ,handNorth,armBody,45,l,l,1,226077,227579,227965
