id,orientation,armpose,trial#,realPattern,userAnswer,correct,playstamp,playendstamp,enterstamp
TJ,handNorth,armBody,1,f,f,1,38313,39816,41488
TJ,handNorth,armBody,2,v,v,1,43225,44728,45664
TJ,handNorth,armBody,3,7,t,0,47369,48875,50040
TJ,handNorth,armBody,4,l,v,0,58290,59793,61033
TJ,handNorth,armBody,5,r,r,1,62721,64227,65480
TJ,handNorth,armBody,6,c,c,1,67122,68625,69088
TJ,handNorth,armBody,7,t,t,1,70681,72185,73736
TJ,handNorth,armBody,8,r,r,1,75482,76986,79857
TJ,handNorth,armBody,9,a,a,1,81553,83058,83664
TJ,handNorth,armBody,10,c,c,1,85393,86897,87488
TJ,handNorth,armBody,11,7,7,1,89105,90610,91881
TJ,handNorth,armBody,12,f,f,1,93553,95056,97753
TJ,handNorth,armBody,13,v,v,1,99521,101024,101873
TJ,handNorth,armBody,14,j,j,1,103642,105145,105457
TJ,handNorth,armBody,15,j,j,1,107121,108624,108816
TJ,handNorth,armBody,16,t,t,1,110650,112154,112736
TJ,handNorth,armBody,17,a,a,1,114425,115929,116473
TJ,handNorth,armBody,18,l,l,1,118082,119586,120249
