id,orientation,armpose,trial#,realPattern,userAnswer,correct,playstamp,playendstamp,enterstamp
TJ,handNorth,armDown,1,c,c,1,11868,13371,13611
TJ,handNorth,armDown,2,j,j,1,15396,16899,17099
TJ,handNorth,armDown,3,7,7,1,18868,20373,21124
TJ,handNorth,armDown,4,r,r,1,22732,24236,24675
TJ,handNorth,armDown,5,7,7,1,26388,27890,28372
TJ,handNorth,armDown,6,j,j,1,29996,31499,31571
TJ,handNorth,armDown,7,a,a,1,33236,34739,35227
TJ,handNorth,armDown,8,c,c,1,36916,38421,38628
TJ,handNorth,armDown,9,a,t,0,40324,41827,42283
TJ,handNorth,armDown,10,f,t,0,51837,53342,54971
TJ,handNorth,armDown,11,v,v,1,56756,58258,58835
TJ,handNorth,armDown,12,v,v,1,60468,61971,62507
TJ,handNorth,armDown,13,t,t,1,64076,65579,65891
TJ,handNorth,armDown,14,r,r,1,68381,69886,70763
TJ,handNorth,armDown,15,l,l,1,73236,74739,75603
TJ,handNorth,armDown,16,l,l,1,77340,78844,79316
TJ,handNorth,armDown,17,t,t,1,81532,83036,83404
TJ,handNorth,armDown,18,f,f,1,85028,86532,88707
