id,orientation,armpose,trial#,realPattern,userAnswer,correct,playstamp,playendstamp,enterstamp
TJ,handNorth,armFront,1,t,t,1,1925,3431,5899
TJ,handNorth,armFront,2,f,f,1,7891,9397,10835
TJ,handNorth,armFront,3,r,r,1,12772,14275,15547
TJ,handNorth,armFront,4,a,a,1,17300,18803,19379
TJ,handNorth,armFront,5,r,r,1,20987,22491,23354
TJ,handNorth,armFront,6,c,c,1,24891,26395,26994
TJ,handNorth,armFront,7,j,j,1,28780,30283,30435
TJ,handNorth,armFront,8,7,7,1,34396,35901,36619
TJ,handNorth,armFront,9,t,t,1,38404,39907,41227
TJ,handNorth,armFront,10,f,f,1,42884,44387,45243
TJ,handNorth,armFront,11,a,a,1,46900,48404,48875
TJ,handNorth,armFront,12,l,l,1,50628,52134,52410
TJ,handNorth,armFront,13,c,c,1,54212,55715,57810
TJ,handNorth,armFront,14,v,v,1,59507,61010,62010
TJ,handNorth,armFront,15,7,7,1,63676,65180,68394
TJ,handNorth,armFront,16,a,a,1,88980,90485,91131
TJ,handNorth,armFront,17,l,l,1,92668,94171,94563
TJ,handNorth,armFront,18,l,l,1,96211,97714,98154
TJ,handNorth,armFront,19,t,t,1,99733,101235,102003
TJ,handNorth,armFront,20,v,l,0,103604,105107,106835
TJ,handNorth,armFront,21,r,r,1,108548,110052,111739
TJ,handNorth,armFront,22,f,f,1,113508,115012,115539
TJ,handNorth,armFront,23,r,r,1,117212,118716,120275
TJ,handNorth,armFront,24,7,7,1,121932,123435,124123
TJ,handNorth,armFront,25,r,r,1,125692,127195,128067
TJ,handNorth,armFront,26,7,7,1,129740,131243,131795
TJ,handNorth,armFront,27,j,j,1,133483,134988,135203
TJ,handNorth,armFront,28,f,f,1,136996,138500,139315
TJ,handNorth,armFront,29,7,7,1,141060,142564,143091
TJ,handNorth,armFront,30,j,j,1,144877,146381,147674
TJ,handNorth,armFront,31,j,j,1,179164,180670,181147
TJ,handNorth,armFront,32,c,c,1,182772,184276,184739
TJ,handNorth,armFront,33,v,v,1,186420,187924,189147
TJ,handNorth,armFront,34,l,l,1,191340,192843,193035
TJ,handNorth,armFront,35,l,l,1,194675,196179,196364
TJ,handNorth,armFront,36,c,c,1,198028,199531,199891
TJ,handNorth,armFront,37,v,v,1,201476,202979,203659
TJ,handNorth,armFront,38,f,f,1,205164,206667,207987
TJ,handNorth,armFront,39,v,v,1,209676,211180,211939
TJ,handNorth,armFront,40,t,t,1,213548,215051,215539
TJ,handNorth,armFront,41,j,j,1,217284,218787,219396
TJ,handNorth,armFront,42,a,t,0,221300,222803,223291
TJ,handNorth,armFront,43,c,c,1,225116,226620,227051
TJ,handNorth,armFront,44,t,t,1,228628,230132,230587
TJ,handNorth,armFront,45,a,a,1,232236,233739,234267
