id,orientation,armpose,trial#,realPattern,userAnswer,correct,playstamp,playendstamp,enterstamp
TJ,handNorth,armFront,1,c,c,1,23288,24791,25256
TJ,handNorth,armFront,2,j,j,1,27041,28544,28824
TJ,handNorth,armFront,3,a,a,1,30585,32089,32584
TJ,handNorth,armFront,4,f,f,1,34185,35688,37064
TJ,handNorth,armFront,5,t,t,1,38609,40114,40528
TJ,handNorth,armFront,6,7,7,1,42264,43767,44703
TJ,handNorth,armFront,7,l,l,1,47777,49280,49608
TJ,handNorth,armFront,8,v,v,1,51201,52704,54024
TJ,handNorth,armFront,9,c,c,1,55641,57145,57440
TJ,handNorth,armFront,10,t,7,0,59168,60672,62424
TJ,handNorth,armFront,11,l,l,1,67001,68506,68840
TJ,handNorth,armFront,12,f,f,1,70584,72088,73832
TJ,handNorth,armFront,13,a,a,1,75329,76832,77504
TJ,handNorth,armFront,14,7,7,1,79233,80737,81551
TJ,handNorth,armFront,15,r,r,1,83272,84776,85832
TJ,handNorth,armFront,16,j,j,1,87464,88968,89015
TJ,handNorth,armFront,17,r,r,1,90777,92281,93400
TJ,handNorth,armFront,18,v,l,0,95008,96512,96847
