id,orientation,armpose,trial#,realPattern,userAnswer,correct,playstamp,playendstamp,enterstamp
TJ,watchNorth,armBody,1,c,c,1,1005,2509,5964
TJ,watchNorth,armBody,2,f,c,0,8109,9612,12524
TJ,watchNorth,armBody,3,7,7,1,14252,15755,16596
TJ,watchNorth,armBody,4,c,l,0,18277,19783,20388
TJ,watchNorth,armBody,5,7,7,1,22445,23948,24532
TJ,watchNorth,armBody,6,c,l,0,26029,27532,28652
TJ,watchNorth,armBody,7,j,j,1,30605,32109,32428
TJ,watchNorth,armBody,8,a,a,1,34045,35549,36476
TJ,watchNorth,armBody,9,r,r,1,38053,39556,39900
TJ,watchNorth,armBody,10,j,j,1,41589,43093,43355
TJ,watchNorth,armBody,11,j,j,1,44917,46421,46684
TJ,watchNorth,armBody,12,j,t,0,48373,49878,50516
TJ,watchNorth,armBody,13,t,t,1,52157,53661,54092
TJ,watchNorth,armBody,14,v,v,1,55909,57412,58044
TJ,watchNorth,armBody,15,7,t,0,59597,61099,61748
TJ,watchNorth,armBody,16,t,t,1,82933,84438,84796
TJ,watchNorth,armBody,17,t,a,0,86397,87900,88940
TJ,watchNorth,armBody,18,c,c,1,90469,91973,92308
TJ,watchNorth,armBody,19,a,r,0,93893,95397,96028
TJ,watchNorth,armBody,20,v,v,1,97581,99084,99700
TJ,watchNorth,armBody,21,l,l,1,101302,102805,104028
TJ,watchNorth,armBody,22,v,v,1,105741,107245,108204
TJ,watchNorth,armBody,23,l,l,1,109765,111269,111708
TJ,watchNorth,armBody,24,t,t,1,113429,114932,115284
TJ,watchNorth,armBody,25,r,r,1,116829,118334,118860
TJ,watchNorth,armBody,26,f,f,1,121037,122541,123212
TJ,watchNorth,armBody,27,l,l,1,124782,126286,126772
TJ,watchNorth,armBody,28,j,j,1,128557,130060,130340
TJ,watchNorth,armBody,29,r,r,1,131973,133479,134004
TJ,watchNorth,armBody,30,v,v,1,136133,137637,138300
TJ,watchNorth,armBody,31,f,f,1,159405,160911,161788
TJ,watchNorth,armBody,32,l,v,0,163365,164869,165460
TJ,watchNorth,armBody,33,r,r,1,167021,168524,169044
TJ,watchNorth,armBody,34,7,a,0,170597,172101,172989
TJ,watchNorth,armBody,35,f,f,1,174509,176015,176444
TJ,watchNorth,armBody,36,a,a,1,178237,179741,180244
TJ,watchNorth,armBody,37,a,a,1,181757,183260,183996
TJ,watchNorth,armBody,38,f,f,1,186029,187532,187900
TJ,watchNorth,armBody,39,c,l,0,189525,191029,191428
TJ,watchNorth,armBody,40,v,v,1,193173,194680,196221
TJ,watchNorth,armBody,41,l,l,1,198493,199996,200412
TJ,watchNorth,armBody,42,7,7,1,202069,203573,204052
TJ,watchNorth,armBody,43,r,r,1,205757,207260,207876
TJ,watchNorth,armBody,44,t,a,0,209525,211031,211517
TJ,watchNorth,armBody,45,a,a,1,213405,214908,216780
