id,orientation,armpose,trial#,realPattern,userAnswer,correct,playstamp,playendstamp,enterstamp
TJ,watchNorth,armBody,1,a,a,1,17211,18716,19450
TJ,watchNorth,armBody,2,7,t,0,21194,22698,25058
TJ,watchNorth,armBody,3,c,c,1,39459,40962,41594
TJ,watchNorth,armBody,4,7,t,0,43195,44699,45121
TJ,watchNorth,armBody,5,t,t,1,52299,53803,54570
TJ,watchNorth,armBody,6,j,j,1,56163,57666,57970
TJ,watchNorth,armBody,7,f,f,1,59523,61026,61481
TJ,watchNorth,armBody,8,f,f,1,63250,64753,65386
TJ,watchNorth,armBody,9,r,r,1,66995,68498,68850
TJ,watchNorth,armBody,10,j,j,1,70499,72004,72218
TJ,watchNorth,armBody,11,t,t,1,73963,75467,75826
TJ,watchNorth,armBody,12,v,v,1,77371,78873,79466
TJ,watchNorth,armBody,13,c,l,0,81050,82554,82994
TJ,watchNorth,armBody,14,l,t,0,89923,91426,92906
TJ,watchNorth,armBody,15,a,a,1,96475,97978,98642
TJ,watchNorth,armBody,16,l,v,0,100379,101883,102482
TJ,watchNorth,armBody,17,v,v,1,107939,109443,110242
TJ,watchNorth,armBody,18,r,r,1,111891,113395,113842
