id,orientation,armpose,trial#,realPattern,userAnswer,correct,playstamp,playendstamp,enterstamp
TJ,watchNorth,armDown,1,v,v,1,1492,2995,3562
TJ,watchNorth,armDown,2,7,7,1,5260,6763,7187
TJ,watchNorth,armDown,3,f,7,0,8812,10315,15907
TJ,watchNorth,armDown,4,a,r,0,17484,18989,20915
TJ,watchNorth,armDown,5,j,t,0,22860,24363,26595
TJ,watchNorth,armDown,6,7,7,1,28196,29699,30114
TJ,watchNorth,armDown,7,l,l,1,31796,33299,34235
TJ,watchNorth,armDown,8,a,a,1,35899,37404,38387
TJ,watchNorth,armDown,9,a,r,0,39915,41418,42619
TJ,watchNorth,armDown,10,t,t,1,44244,45746,46811
TJ,watchNorth,armDown,11,l,l,1,48371,49875,50963
TJ,watchNorth,armDown,12,r,r,1,52724,54228,54827
TJ,watchNorth,armDown,13,l,l,1,56555,58059,58659
TJ,watchNorth,armDown,14,7,7,1,60412,61914,62547
TJ,watchNorth,armDown,15,t,t,1,64308,65813,66442
TJ,watchNorth,armDown,16,f,c,0,87347,88852,89611
TJ,watchNorth,armDown,17,f,f,1,91251,92755,93171
TJ,watchNorth,armDown,18,v,v,1,94796,96299,96930
TJ,watchNorth,armDown,19,a,a,1,98684,100188,100955
TJ,watchNorth,armDown,20,r,r,1,102692,104196,104787
TJ,watchNorth,armDown,21,j,j,1,106300,107803,108067
TJ,watchNorth,armDown,22,v,v,1,109732,111234,111795
TJ,watchNorth,armDown,23,c,c,1,113301,114803,115443
TJ,watchNorth,armDown,24,v,v,1,117012,118515,119051
TJ,watchNorth,armDown,25,f,f,1,120700,122203,122699
TJ,watchNorth,armDown,26,7,t,0,124300,125803,126547
TJ,watchNorth,armDown,27,f,f,1,128189,129692,130051
TJ,watchNorth,armDown,28,7,t,0,131739,133243,133843
TJ,watchNorth,armDown,29,c,c,1,135588,137092,137851
TJ,watchNorth,armDown,30,l,l,1,139372,140876,141587
TJ,watchNorth,armDown,31,t,t,1,162212,163718,164435
TJ,watchNorth,armDown,32,c,c,1,166220,167723,168187
TJ,watchNorth,armDown,33,r,r,1,169772,171274,178322
TJ,watchNorth,armDown,34,t,t,1,180220,181723,182275
TJ,watchNorth,armDown,35,j,j,1,183940,185443,186083
TJ,watchNorth,armDown,36,l,l,1,187868,189371,189939
TJ,watchNorth,armDown,37,r,r,1,191524,193027,193643
TJ,watchNorth,armDown,38,j,j,1,195180,196685,196915
TJ,watchNorth,armDown,39,r,r,1,198580,200084,203499
TJ,watchNorth,armDown,40,t,t,1,205132,206635,207187
TJ,watchNorth,armDown,41,a,a,1,208684,210190,210851
TJ,watchNorth,armDown,42,c,c,1,212484,213988,215747
TJ,watchNorth,armDown,43,v,v,1,217324,218828,219579
TJ,watchNorth,armDown,44,c,c,1,221364,222868,223587
TJ,watchNorth,armDown,45,j,j,1,225180,226684,226931
