id,orientation,armpose,trial#,realPattern,userAnswer,correct,playstamp,playendstamp,enterstamp
TJ,watchNorth,armDown,1,r,a,0,48464,49968,54208
TJ,watchNorth,armDown,2,j,j,1,57672,59176,59824
TJ,watchNorth,armDown,3,r,r,1,61449,62952,63336
TJ,watchNorth,armDown,4,a,a,1,64952,66456,67112
TJ,watchNorth,armDown,5,f,f,1,68713,70217,71544
TJ,watchNorth,armDown,6,l,v,0,73073,74578,75208
TJ,watchNorth,armDown,7,7,7,1,96328,97832,98840
TJ,watchNorth,armDown,8,j,t,0,100513,102016,102952
TJ,watchNorth,armDown,9,v,j,0,106433,107936,109832
TJ,watchNorth,armDown,10,c,v,0,118465,119968,121000
TJ,watchNorth,armDown,11,7,t,0,122673,124176,124792
TJ,watchNorth,armDown,12,c,c,1,130304,131809,132808
TJ,watchNorth,armDown,13,v,v,1,136321,137824,138472
TJ,watchNorth,armDown,14,t,t,1,140049,141553,142480
TJ,watchNorth,armDown,15,l,l,1,144145,145648,146120
TJ,watchNorth,armDown,16,f,f,1,147785,149290,149960
TJ,watchNorth,armDown,17,a,a,1,151593,153096,153816
TJ,watchNorth,armDown,18,t,t,1,155376,156880,157544
