id,orientation,armpose,trial#,realPattern,userAnswer,correct,playstamp,playendstamp,enterstamp
TJ,watchNorth,armFront,1,j,j,1,1314,2821,3585
TJ,watchNorth,armFront,2,j,j,1,5313,6816,10696
TJ,watchNorth,armFront,3,a,a,1,12225,13728,14688
TJ,watchNorth,armFront,4,7,7,1,16393,17896,18424
TJ,watchNorth,armFront,5,a,a,1,20033,21539,22272
TJ,watchNorth,armFront,6,r,r,1,23905,25409,26240
TJ,watchNorth,armFront,7,t,t,1,27809,29313,30488
TJ,watchNorth,armFront,8,t,7,0,32137,33641,34160
TJ,watchNorth,armFront,9,v,v,1,35737,37240,38032
TJ,watchNorth,armFront,10,f,f,1,39729,41232,43320
TJ,watchNorth,armFront,11,f,f,1,44865,46368,47465
TJ,watchNorth,armFront,12,7,7,1,49105,50609,51024
TJ,watchNorth,armFront,13,a,a,1,52721,54224,57569
TJ,watchNorth,armFront,14,f,f,1,59625,61128,62161
TJ,watchNorth,armFront,15,v,v,1,63713,65216,65889
TJ,watchNorth,armFront,16,j,j,1,94337,95842,97856
TJ,watchNorth,armFront,17,t,t,1,99433,100937,102056
TJ,watchNorth,armFront,18,c,c,1,103737,105240,105696
TJ,watchNorth,armFront,19,f,f,1,107353,108857,110064
TJ,watchNorth,armFront,20,l,l,1,111826,113331,113672
TJ,watchNorth,armFront,21,j,j,1,115385,116888,117072
TJ,watchNorth,armFront,22,t,t,1,118705,120210,121384
TJ,watchNorth,armFront,23,7,7,1,122945,124449,124912
TJ,watchNorth,armFront,24,r,a,0,126609,128115,135472
TJ,watchNorth,armFront,25,r,r,1,136977,138480,139552
TJ,watchNorth,armFront,26,r,r,1,141217,142720,146265
TJ,watchNorth,armFront,27,7,7,1,148298,149803,150521
TJ,watchNorth,armFront,28,c,c,1,152257,153760,156193
TJ,watchNorth,armFront,29,c,c,1,157721,159225,159929
TJ,watchNorth,armFront,30,l,l,1,161577,163080,163936
TJ,watchNorth,armFront,31,c,c,1,184657,186163,186712
TJ,watchNorth,armFront,32,l,l,1,188498,190001,190280
TJ,watchNorth,armFront,33,f,f,1,191921,193424,194449
TJ,watchNorth,armFront,34,a,a,1,196202,197705,198984
TJ,watchNorth,armFront,35,r,r,1,200474,201978,203120
TJ,watchNorth,armFront,36,v,c,0,204929,206433,207720
TJ,watchNorth,armFront,37,t,t,1,209465,210968,211585
TJ,watchNorth,armFront,38,v,v,1,213353,214856,215505
TJ,watchNorth,armFront,39,j,j,1,217050,218553,219753
TJ,watchNorth,armFront,40,l,l,1,222098,223602,223928
TJ,watchNorth,armFront,41,c,c,1,225505,227008,227992
TJ,watchNorth,armFront,42,l,l,1,229690,231193,231672
TJ,watchNorth,armFront,43,a,a,1,233330,234833,235624
TJ,watchNorth,armFront,44,v,v,1,237249,238753,239593
TJ,watchNorth,armFront,45,7,7,1,241185,242688,243440
