id,orientation,armpose,trial#,realPattern,userAnswer,correct,playstamp,playendstamp,enterstamp
TJ,watchNorth,armFront,1,c,c,1,17037,18540,20507
TJ,watchNorth,armFront,2,a,a,1,22236,23739,27122
TJ,watchNorth,armFront,3,r,t,0,32740,34245,35507
TJ,watchNorth,armFront,4,v,l,0,42812,44315,45682
TJ,watchNorth,armFront,5,r,r,1,52084,53587,54939
TJ,watchNorth,armFront,6,c,c,1,63437,64940,65611
TJ,watchNorth,armFront,7,j,j,1,67292,68797,69499
TJ,watchNorth,armFront,8,t,t,1,71108,72612,73259
TJ,watchNorth,armFront,9,v,v,1,74924,76428,77059
TJ,watchNorth,armFront,10,7,7,1,78756,80259,80739
TJ,watchNorth,armFront,11,7,7,1,82333,83837,84275
TJ,watchNorth,armFront,12,f,f,1,86204,87708,88371
TJ,watchNorth,armFront,13,j,l,0,90748,92252,93011
TJ,watchNorth,armFront,14,t,t,1,96372,97875,98643
TJ,watchNorth,armFront,15,l,l,1,100228,101734,102187
TJ,watchNorth,armFront,16,a,7,0,103708,105211,106091
TJ,watchNorth,armFront,17,f,f,1,115172,116676,117979
TJ,watchNorth,armFront,18,l,l,1,119541,121044,121459
