id,trial#,realPattern,userAnswer,playstamp,enterstamp
YB,1,c,234,1,4614,13389
YB,2,v,134,0,14369,16295
YB,3,l,134,1,65177,71470
YB,4,t,124,1,72116,75824
YB,5,j,243,1,76390,78805
YB,6,r,312,1,79379,81985
YB,7,a,324,1,82691,85112
YB,8,l,134,1,85699,91954
YB,9,7,123,1,92485,94899
YB,10,7,123,1,95479,98013
YB,11,j,243,1,98393,100909
YB,12,j,243,1,101426,104599
YB,13,7,123,1,105063,107413
YB,14,a,324,1,107835,110412
YB,15,f,312,0,110814,116624
YB,16,r,231,0,121380,123485
YB,17,c,234,1,127466,129944
YB,18,v,132,1,130413,132783
YB,19,j,243,1,133340,135531
YB,20,j,243,1,135983,138197
YB,21,a,324,1,138729,140931
YB,22,a,324,1,141393,143752
YB,23,j,243,1,144188,146331
YB,24,c,234,1,146859,149401
YB,25,c,234,1,149867,152652
YB,26,a,324,1,153967,156345
YB,27,l,134,1,156839,160088
YB,28,j,243,1,160935,163242
YB,29,c,234,1,163749,166477
YB,30,7,123,1,166845,169540
YB,31,7,123,1,169919,172092
YB,32,v,132,1,172484,174729
YB,33,v,132,1,175210,177453
YB,34,c,234,1,177875,180755
YB,35,c,234,1,181138,183441
YB,36,l,134,1,183815,186285
YB,37,r,312,1,186666,189157
YB,38,t,124,1,189677,192055
YB,39,a,324,1,192616,195131
YB,40,f,213,1,195665,199300
YB,41,7,123,1,200061,202193
YB,42,l,134,1,202652,205133
YB,43,f,213,1,205532,207944
YB,44,r,312,1,208954,211251
YB,45,c,234,1,212242,214772
YB,46,c,234,1,215189,217442
YB,47,f,213,1,217813,219772
YB,48,r,312,1,220196,222289
YB,49,t,124,1,222707,225190
YB,50,r,312,1,225612,227852
YB,51,c,234,1,228400,230575
YB,52,l,134,1,230971,233697
YB,53,c,234,1,234140,236215
YB,54,7,123,1,236632,238839
YB,55,f,213,1,239226,241632
YB,56,c,234,1,242036,244658
YB,57,l,134,1,245049,247465
YB,58,t,124,1,247885,250148
YB,59,f,213,1,250578,252703
YB,60,v,132,1,253182,255435
YB,61,l,134,1,255840,257836
YB,62,t,124,1,258212,260586
YB,63,a,324,1,261022,263893
YB,64,l,134,1,264252,266262
YB,65,v,132,1,266639,268772
YB,66,f,213,1,269177,271159
YB,67,j,243,1,271518,273698
YB,68,r,312,1,273992,276092
YB,69,t,124,1,276515,280632
YB,70,j,243,1,281107,283170
YB,71,f,213,1,283649,286473
YB,72,v,132,1,287004,289195
YB,73,j,243,1,289616,291531
YB,74,f,213,1,291897,295550
YB,75,f,213,1,295860,298128
YB,76,j,243,1,298520,301382
YB,77,r,312,1,301722,303863
YB,78,c,234,1,304279,306665
