id,orientation,armpose,trial#,realPattern,userAnswer,correct,playstamp,playendstamp,enterstamp
YB,handNorth,armBody,1,a,a,1,1664,3168,4254
YB,handNorth,armBody,2,r,r,1,6080,7583,8334
YB,handNorth,armBody,3,l,l,1,10175,11679,12830
YB,handNorth,armBody,4,7,7,1,14567,16071,16934
YB,handNorth,armBody,5,t,t,1,18543,20048,22638
YB,handNorth,armBody,6,t,t,1,24240,25743,26630
YB,handNorth,armBody,7,j,j,1,28271,29775,30782
YB,handNorth,armBody,8,a,a,1,32471,33975,34822
YB,handNorth,armBody,9,l,l,1,36511,38014,38615
YB,handNorth,armBody,10,7,7,1,40135,41638,42222
YB,handNorth,armBody,11,v,v,1,43824,45329,46374
YB,handNorth,armBody,12,f,f,1,48728,50231,51702
YB,handNorth,armBody,13,l,l,1,53312,54815,55958
YB,handNorth,armBody,14,c,c,1,57688,59191,59830
YB,handNorth,armBody,15,t,t,1,61431,62936,63934
YB,handNorth,armBody,16,f,f,1,85712,87217,88758
YB,handNorth,armBody,17,t,t,1,90264,91767,93350
YB,handNorth,armBody,18,j,j,1,95152,96655,98102
YB,handNorth,armBody,19,j,j,1,99848,101351,101878
YB,handNorth,armBody,20,a,a,1,103472,104975,105774
YB,handNorth,armBody,21,c,c,1,107375,108879,109567
YB,handNorth,armBody,22,l,l,1,111199,112702,113287
YB,handNorth,armBody,23,7,7,1,114840,116343,117278
YB,handNorth,armBody,24,j,j,1,118872,120375,120830
YB,handNorth,armBody,25,f,f,1,122408,123911,124942
YB,handNorth,armBody,26,a,a,1,126623,128129,133039
YB,handNorth,armBody,27,r,r,1,135063,136567,137239
YB,handNorth,armBody,28,c,c,1,139087,140590,141527
YB,handNorth,armBody,29,l,l,1,143071,144576,146031
YB,handNorth,armBody,30,a,a,1,147768,149271,150110
YB,handNorth,armBody,31,7,7,1,171432,172936,173991
YB,handNorth,armBody,32,7,7,1,175496,176999,177710
YB,handNorth,armBody,33,c,c,1,179463,180967,183758
YB,handNorth,armBody,34,f,f,1,185576,187079,188022
YB,handNorth,armBody,35,v,v,1,189655,191160,192175
YB,handNorth,armBody,36,r,r,1,194351,195855,196855
YB,handNorth,armBody,37,v,v,1,198687,200191,200951
YB,handNorth,armBody,38,f,f,1,202575,204078,204799
YB,handNorth,armBody,39,r,r,1,206440,207944,208846
YB,handNorth,armBody,40,v,v,1,210696,212199,213062
YB,handNorth,armBody,41,t,t,1,214672,216175,217358
YB,handNorth,armBody,42,j,j,1,219024,220527,221446
YB,handNorth,armBody,43,r,r,1,223040,224543,225383
YB,handNorth,armBody,44,v,v,1,227656,229159,229879
YB,handNorth,armBody,45,c,j,0,231399,232903,251103
