id,orientation,armpose,trial#,realPattern,userAnswer,correct,playstamp,playendstamp,enterstamp
YB,handNorth,armBody,1,v,v,1,4068,5573,6666
YB,handNorth,armBody,2,r,r,1,8547,10050,13786
YB,handNorth,armBody,3,t,t,1,15667,17171,18450
YB,handNorth,armBody,4,r,r,1,20275,21780,23026
YB,handNorth,armBody,5,c,c,1,24835,26339,27082
YB,handNorth,armBody,6,j,j,1,28883,30386,30843
YB,handNorth,armBody,7,t,t,1,32603,34106,35066
YB,handNorth,armBody,8,f,f,1,36843,38347,38770
YB,handNorth,armBody,9,f,f,1,40460,41963,43794
YB,handNorth,armBody,10,l,l,1,45475,46978,47618
YB,handNorth,armBody,11,7,7,1,49291,50795,51674
YB,handNorth,armBody,12,a,a,1,53347,54853,55603
YB,handNorth,armBody,13,7,7,1,57267,58771,59746
YB,handNorth,armBody,14,a,a,1,61395,62898,63667
YB,handNorth,armBody,15,v,v,1,65315,66818,67858
YB,handNorth,armBody,16,j,j,1,69347,70850,71162
YB,handNorth,armBody,17,c,a,0,72764,74267,77499
YB,handNorth,armBody,18,l,l,1,81467,82971,84138
