id,orientation,armpose,trial#,realPattern,userAnswer,correct,playstamp,playendstamp,enterstamp
YB,handNorth,armDown,1,l,l,1,2315,3818,4370
YB,handNorth,armDown,2,l,l,1,5939,7443,8770
YB,handNorth,armDown,3,v,v,1,10339,11843,12650
YB,handNorth,armDown,4,a,a,1,14203,15706,16538
YB,handNorth,armDown,5,t,t,1,18291,19794,21218
YB,handNorth,armDown,6,j,j,1,22835,24339,24785
YB,handNorth,armDown,7,c,c,1,26539,28042,28738
YB,handNorth,armDown,8,j,j,1,30459,31962,32722
YB,handNorth,armDown,9,c,c,1,34955,36458,37042
YB,handNorth,armDown,10,t,t,1,38842,40347,41418
YB,handNorth,armDown,11,l,l,1,43163,44667,45418
YB,handNorth,armDown,12,v,v,1,47035,48538,49338
YB,handNorth,armDown,13,j,j,1,50899,52402,52818
YB,handNorth,armDown,14,j,j,1,54595,56099,57266
YB,handNorth,armDown,15,t,t,1,58851,60354,61818
YB,handNorth,armDown,16,r,r,1,82947,84451,89010
YB,handNorth,armDown,17,c,c,1,90787,92290,92882
YB,handNorth,armDown,18,a,a,1,94443,95947,96522
YB,handNorth,armDown,19,7,7,1,98083,99587,105770
YB,handNorth,armDown,20,v,v,1,107699,109202,110090
YB,handNorth,armDown,21,a,a,1,111755,113258,113977
YB,handNorth,armDown,22,f,f,1,115635,117140,119674
YB,handNorth,armDown,23,t,t,1,121307,122810,123866
YB,handNorth,armDown,24,r,r,1,125531,127034,127546
YB,handNorth,armDown,25,v,v,1,129203,130706,131330
YB,handNorth,armDown,26,r,r,1,132987,134490,135074
YB,handNorth,armDown,27,7,7,1,136867,138372,139074
YB,handNorth,armDown,28,f,f,1,140899,142403,147491
YB,handNorth,armDown,29,l,l,1,149228,150731,151698
YB,handNorth,armDown,30,7,7,1,153251,154754,155522
YB,handNorth,armDown,31,r,r,1,176427,177931,178538
YB,handNorth,armDown,32,t,t,1,180124,181627,182795
YB,handNorth,armDown,33,j,j,1,184436,185939,186506
YB,handNorth,armDown,34,c,c,1,188323,189827,190507
YB,handNorth,armDown,35,l,l,1,192027,193533,194019
YB,handNorth,armDown,36,f,f,1,195595,197098,197762
YB,handNorth,armDown,37,f,f,1,199499,201002,201346
YB,handNorth,armDown,38,c,c,1,203036,204541,204898
YB,handNorth,armDown,39,7,7,1,206539,208043,208387
YB,handNorth,armDown,40,a,a,1,210139,211642,212083
YB,handNorth,armDown,41,f,f,1,213868,215372,215818
YB,handNorth,armDown,42,v,v,1,217436,218939,219722
YB,handNorth,armDown,43,r,r,1,221299,222804,223786
YB,handNorth,armDown,44,7,7,1,225531,227035,228074
YB,handNorth,armDown,45,a,a,1,229611,231116,231834
