id,orientation,armpose,trial#,realPattern,userAnswer,correct,playstamp,playendstamp,enterstamp
YB,handNorth,armDown,1,c,l,0,2453,3960,15355
YB,handNorth,armDown,2,r,r,1,17212,18715,22835
YB,handNorth,armDown,3,v,v,1,24612,26115,26987
YB,handNorth,armDown,4,r,r,1,28820,30323,30843
YB,handNorth,armDown,5,a,a,1,32643,34147,34643
YB,handNorth,armDown,6,t,t,1,36380,37884,39139
YB,handNorth,armDown,7,l,l,1,40692,42195,44307
YB,handNorth,armDown,8,j,j,1,45964,47468,47899
YB,handNorth,armDown,9,a,a,1,49604,51107,51594
YB,handNorth,armDown,10,t,t,1,53388,54892,56002
YB,handNorth,armDown,11,l,l,1,57676,59179,60147
YB,handNorth,armDown,12,7,7,1,61804,63307,63859
YB,handNorth,armDown,13,c,c,1,65811,67315,67915
YB,handNorth,armDown,14,v,v,1,69604,71109,71963
YB,handNorth,armDown,15,f,f,1,73780,75283,76067
YB,handNorth,armDown,16,7,7,1,77844,79347,79946
YB,handNorth,armDown,17,j,j,1,81628,83131,83531
YB,handNorth,armDown,18,f,f,1,85084,86588,87195
