id,orientation,armpose,trial#,realPattern,userAnswer,correct,playstamp,playendstamp,enterstamp
YB,handNorth,armFront,1,c,c,1,2195,3699,4417
YB,handNorth,armFront,2,v,v,1,6179,7682,8553
YB,handNorth,armFront,3,f,f,1,10131,11634,13289
YB,handNorth,armFront,4,a,a,1,14971,16474,17570
YB,handNorth,armFront,5,f,f,1,19450,20956,21690
YB,handNorth,armFront,6,f,f,1,23402,24906,25626
YB,handNorth,armFront,7,t,t,1,27322,28826,29914
YB,handNorth,armFront,8,v,v,1,31555,33058,33778
YB,handNorth,armFront,9,v,v,1,35547,37050,37657
YB,handNorth,armFront,10,j,j,1,39331,40834,41250
YB,handNorth,armFront,11,l,l,1,43019,44523,46297
YB,handNorth,armFront,12,r,r,1,47875,49379,50298
YB,handNorth,armFront,13,7,7,1,52099,53602,54298
YB,handNorth,armFront,14,c,c,1,56066,57570,59090
YB,handNorth,armFront,15,f,f,1,60890,62394,63538
YB,handNorth,armFront,16,t,t,1,85283,86788,89290
YB,handNorth,armFront,17,c,c,1,91091,92594,93617
YB,handNorth,armFront,18,r,r,1,95427,96930,97705
YB,handNorth,armFront,19,j,j,1,99515,101018,101690
YB,handNorth,armFront,20,7,7,1,103443,104946,105546
YB,handNorth,armFront,21,a,a,1,107290,108794,109490
YB,handNorth,armFront,22,l,l,1,111315,112819,114130
YB,handNorth,armFront,23,l,l,1,116011,117516,118178
YB,handNorth,armFront,24,r,r,1,119907,121410,121969
YB,handNorth,armFront,25,l,l,1,123579,125082,126393
YB,handNorth,armFront,26,l,l,1,128083,129586,130106
YB,handNorth,armFront,27,c,c,1,131843,133346,133850
YB,handNorth,armFront,28,a,a,1,135602,137106,137778
YB,handNorth,armFront,29,v,v,1,139283,140787,141658
YB,handNorth,armFront,30,r,r,1,143507,145010,145970
YB,handNorth,armFront,31,v,v,1,167043,168548,169178
YB,handNorth,armFront,32,f,f,1,170811,172314,173242
YB,handNorth,armFront,33,7,7,1,174899,176402,178466
YB,handNorth,armFront,34,t,t,1,180099,181602,183178
YB,handNorth,armFront,35,a,a,1,184819,186323,187306
YB,handNorth,armFront,36,7,7,1,189083,190586,191586
YB,handNorth,armFront,37,t,t,1,193235,194738,196074
YB,handNorth,armFront,38,c,c,1,197803,199306,199986
YB,handNorth,armFront,39,t,t,1,201531,203036,204314
YB,handNorth,armFront,40,7,7,1,205899,207402,208194
YB,handNorth,armFront,41,j,j,1,209763,211267,212162
YB,handNorth,armFront,42,a,a,1,213747,215251,215962
YB,handNorth,armFront,43,j,j,1,217531,219035,219457
YB,handNorth,armFront,44,r,r,1,221131,222634,223354
YB,handNorth,armFront,45,j,j,1,224963,226466,226946
