id,orientation,armpose,trial#,realPattern,userAnswer,correct,playstamp,playendstamp,enterstamp
YB,handNorth,armFront,1,r,r,1,46877,48381,49061
YB,handNorth,armFront,2,7,7,1,50885,52389,53029
YB,handNorth,armFront,3,f,t,0,54901,56405,56917
YB,handNorth,armFront,4,t,t,1,58918,60421,61981
YB,handNorth,armFront,5,c,c,1,63781,65284,66661
YB,handNorth,armFront,6,v,v,1,68493,69996,73004
YB,handNorth,armFront,7,a,a,1,74814,76320,77069
YB,handNorth,armFront,8,c,c,1,78685,80189,80997
YB,handNorth,armFront,9,r,a,0,82621,84124,85437
YB,handNorth,armFront,10,f,f,1,87294,88797,90125
YB,handNorth,armFront,11,j,j,1,91805,93309,93725
YB,handNorth,armFront,12,t,t,1,95550,97053,98325
YB,handNorth,armFront,13,7,7,1,100094,101597,102981
YB,handNorth,armFront,14,j,j,1,104814,106317,106924
YB,handNorth,armFront,15,a,a,1,108574,110077,110916
YB,handNorth,armFront,16,v,v,1,112614,114117,115069
YB,handNorth,armFront,17,l,l,1,116821,118326,121052
YB,handNorth,armFront,18,l,l,1,122710,124213,125789
