id,orientation,armpose,trial#,realPattern,userAnswer,correct,playstamp,playendstamp,enterstamp
YB,watchNorth,armBody,1,a,a,1,2457,3960,5359
YB,watchNorth,armBody,2,c,c,1,7201,8705,9616
YB,watchNorth,armBody,3,f,f,1,11456,12959,32711
YB,watchNorth,armBody,4,j,j,1,34536,36041,36671
YB,watchNorth,armBody,5,c,c,1,38721,40224,41823
YB,watchNorth,armBody,6,l,v,0,43640,45143,46175
YB,watchNorth,armBody,7,j,j,1,47968,49471,50040
YB,watchNorth,armBody,8,c,l,0,51785,53290,59871
YB,watchNorth,armBody,9,l,v,0,61673,63176,64071
YB,watchNorth,armBody,10,j,j,1,67000,68505,69095
YB,watchNorth,armBody,11,v,v,1,71273,72776,74007
YB,watchNorth,armBody,12,l,l,1,75976,77480,79103
YB,watchNorth,armBody,13,t,t,1,80896,82399,84232
YB,watchNorth,armBody,14,7,7,1,86048,87551,88928
YB,watchNorth,armBody,15,c,c,1,90752,92255,93696
YB,watchNorth,armBody,16,r,r,1,114904,116408,117392
YB,watchNorth,armBody,17,a,a,1,119232,120735,122032
YB,watchNorth,armBody,18,v,v,1,123864,125367,126712
YB,watchNorth,armBody,19,f,f,1,128552,130055,132495
YB,watchNorth,armBody,20,l,l,1,134280,135784,137319
YB,watchNorth,armBody,21,7,7,1,139128,140632,141840
YB,watchNorth,armBody,22,j,j,1,143648,145152,145824
YB,watchNorth,armBody,23,f,f,1,147592,149095,149808
YB,watchNorth,armBody,24,7,7,1,151616,153120,153991
YB,watchNorth,armBody,25,l,l,1,155664,157167,158711
YB,watchNorth,armBody,26,r,r,1,160896,162399,163071
YB,watchNorth,armBody,27,v,v,1,164865,166368,167223
YB,watchNorth,armBody,28,f,f,1,168985,170489,171447
YB,watchNorth,armBody,29,7,7,1,173225,174728,175839
YB,watchNorth,armBody,30,t,t,1,177625,179128,180759
YB,watchNorth,armBody,31,j,j,1,202281,203786,204343
YB,watchNorth,armBody,32,a,a,1,206121,207624,208679
YB,watchNorth,armBody,33,t,t,1,210553,212056,214351
YB,watchNorth,armBody,34,v,v,1,216241,217744,218615
YB,watchNorth,armBody,35,r,r,1,220409,221912,223063
YB,watchNorth,armBody,36,t,t,1,224889,226392,228872
YB,watchNorth,armBody,37,r,r,1,230776,232279,233111
YB,watchNorth,armBody,38,a,a,1,234841,236346,237103
YB,watchNorth,armBody,39,f,f,1,238841,240344,241839
YB,watchNorth,armBody,40,a,a,1,243649,245152,246135
YB,watchNorth,armBody,41,7,7,1,247809,249312,250583
YB,watchNorth,armBody,42,c,c,1,252545,254049,254864
YB,watchNorth,armBody,43,t,t,1,256609,258112,260415
YB,watchNorth,armBody,44,r,r,1,262169,263672,264687
YB,watchNorth,armBody,45,v,v,1,266537,268040,269023
