id,orientation,armpose,trial#,realPattern,userAnswer,correct,playstamp,playendstamp,enterstamp
YB,watchNorth,armBody,1,a,a,1,5008,6513,8198
YB,watchNorth,armBody,2,c,v,0,10127,11630,12518
YB,watchNorth,armBody,3,a,a,1,14487,15990,17606
YB,watchNorth,armBody,4,l,v,0,19487,20990,22765
YB,watchNorth,armBody,5,7,7,1,24799,26304,30918
YB,watchNorth,armBody,6,v,v,1,32903,34406,35510
YB,watchNorth,armBody,7,j,j,1,37471,38974,39758
YB,watchNorth,armBody,8,t,t,1,41607,43111,45062
YB,watchNorth,armBody,9,v,v,1,46887,48390,49646
YB,watchNorth,armBody,10,t,t,1,51479,52982,53910
YB,watchNorth,armBody,11,j,j,1,55815,57318,58334
YB,watchNorth,armBody,12,7,7,1,59855,61359,62982
YB,watchNorth,armBody,13,c,c,1,64799,66303,67270
YB,watchNorth,armBody,14,l,v,0,69103,70607,71438
YB,watchNorth,armBody,15,f,f,1,73255,74759,77158
YB,watchNorth,armBody,16,r,r,1,78912,80415,81278
YB,watchNorth,armBody,17,f,f,1,83079,84583,85334
YB,watchNorth,armBody,18,r,r,1,88063,89567,90390
