id,orientation,armpose,trial#,realPattern,userAnswer,correct,playstamp,playendstamp,enterstamp
YB,watchNorth,armDown,1,v,v,1,2465,3968,4872
YB,watchNorth,armDown,2,v,v,1,6641,8146,9080
YB,watchNorth,armDown,3,r,r,1,10897,12400,14703
YB,watchNorth,armDown,4,c,c,1,16385,17888,18624
YB,watchNorth,armDown,5,c,c,1,20265,21768,22432
YB,watchNorth,armDown,6,a,a,1,23969,25475,34256
YB,watchNorth,armDown,7,c,c,1,36081,37584,38431
YB,watchNorth,armDown,8,v,v,1,40225,41729,42967
YB,watchNorth,armDown,9,r,r,1,44817,46320,47080
YB,watchNorth,armDown,10,j,j,1,49153,50656,51216
YB,watchNorth,armDown,11,v,v,1,53025,54528,55472
YB,watchNorth,armDown,12,c,c,1,57273,58777,59424
YB,watchNorth,armDown,13,r,r,1,61257,62762,63480
YB,watchNorth,armDown,14,t,t,1,65313,66816,68288
YB,watchNorth,armDown,15,7,7,1,70081,71585,72736
YB,watchNorth,armDown,16,c,c,1,95193,96697,97488
YB,watchNorth,armDown,17,f,f,1,99305,100809,104088
YB,watchNorth,armDown,18,j,j,1,105825,107328,109632
YB,watchNorth,armDown,19,l,l,1,111257,112762,114240
YB,watchNorth,armDown,20,a,a,1,116001,117504,118672
YB,watchNorth,armDown,21,f,f,1,120489,121992,123488
YB,watchNorth,armDown,22,7,7,1,125113,126616,127585
YB,watchNorth,armDown,23,a,a,1,129273,130777,131888
YB,watchNorth,armDown,24,a,a,1,133697,135200,136048
YB,watchNorth,armDown,25,t,t,1,137761,139264,141441
YB,watchNorth,armDown,26,l,l,1,143185,144688,145536
YB,watchNorth,armDown,27,t,t,1,147193,148697,150632
YB,watchNorth,armDown,28,l,l,1,152393,153896,154584
YB,watchNorth,armDown,29,a,a,1,156226,157729,158712
YB,watchNorth,armDown,30,l,l,1,160553,162056,163888
YB,watchNorth,armDown,31,f,f,1,185625,187129,188321
YB,watchNorth,armDown,32,v,v,1,190041,191544,192264
YB,watchNorth,armDown,33,7,7,1,194066,195569,197400
YB,watchNorth,armDown,34,r,r,1,199209,200712,201480
YB,watchNorth,armDown,35,r,r,1,203233,204736,205264
YB,watchNorth,armDown,36,7,7,1,206922,208425,209488
YB,watchNorth,armDown,37,j,j,1,211145,212649,213112
YB,watchNorth,armDown,38,l,l,1,214801,216305,217376
YB,watchNorth,armDown,39,f,f,1,219609,221114,221856
YB,watchNorth,armDown,40,7,7,1,223537,225040,225737
YB,watchNorth,armDown,41,t,t,1,227353,228856,232496
YB,watchNorth,armDown,42,j,j,1,234329,235833,236512
YB,watchNorth,armDown,43,f,f,1,238289,239793,240560
YB,watchNorth,armDown,44,j,j,1,242393,243896,244449
YB,watchNorth,armDown,45,t,t,1,246241,247745,249233
