id,orientation,armpose,trial#,realPattern,userAnswer,correct,playstamp,playendstamp,enterstamp
YB,watchNorth,armDown,1,f,f,1,19483,20990,22345
YB,watchNorth,armDown,2,l,v,0,24202,25706,26841
YB,watchNorth,armDown,3,a,a,1,28713,30217,31089
YB,watchNorth,armDown,4,f,f,1,32905,34409,35697
YB,watchNorth,armDown,5,c,c,1,37522,39028,39697
YB,watchNorth,armDown,6,j,j,1,41578,43082,43817
YB,watchNorth,armDown,7,t,t,1,45730,47233,47929
YB,watchNorth,armDown,8,t,t,1,49786,51289,52537
YB,watchNorth,armDown,9,v,v,1,54346,55850,56736
YB,watchNorth,armDown,10,c,c,1,58514,60017,60720
YB,watchNorth,armDown,11,r,r,1,62466,63969,64865
YB,watchNorth,armDown,12,a,a,1,66682,68185,68953
YB,watchNorth,armDown,13,r,r,1,70673,72178,72953
YB,watchNorth,armDown,14,7,7,1,74753,76257,77753
YB,watchNorth,armDown,15,v,v,1,79713,81217,81985
YB,watchNorth,armDown,16,l,l,1,83906,85410,86433
YB,watchNorth,armDown,17,7,7,1,88322,89827,90649
YB,watchNorth,armDown,18,j,j,1,92402,93905,94441
