id,orientation,armpose,trial#,realPattern,userAnswer,correct,playstamp,playendstamp,enterstamp
YB,watchNorth,armFront,1,j,j,1,2487,3992,5117
YB,watchNorth,armFront,2,l,l,1,7702,9206,11157
YB,watchNorth,armFront,3,a,a,1,13141,14644,15877
YB,watchNorth,armFront,4,r,r,1,18005,19508,20813
YB,watchNorth,armFront,5,a,a,1,22702,24205,25213
YB,watchNorth,armFront,6,v,v,1,27077,28581,30349
YB,watchNorth,armFront,7,t,t,1,32173,33676,36572
YB,watchNorth,armFront,8,7,7,1,38445,39949,41036
YB,watchNorth,armFront,9,c,c,1,42933,44438,45533
YB,watchNorth,armFront,10,v,v,1,47405,48909,50076
YB,watchNorth,armFront,11,r,r,1,51957,53461,54709
YB,watchNorth,armFront,12,7,7,1,56597,58101,59005
YB,watchNorth,armFront,13,7,7,1,60869,62374,63661
YB,watchNorth,armFront,14,l,l,1,65533,67037,74100
YB,watchNorth,armFront,15,l,l,1,75965,77470,79020
YB,watchNorth,armFront,16,t,t,1,100622,102127,103668
YB,watchNorth,armFront,17,f,f,1,105470,106973,108084
YB,watchNorth,armFront,18,7,7,1,109974,111477,112348
YB,watchNorth,armFront,19,a,a,1,114182,115685,116532
YB,watchNorth,armFront,20,t,t,1,118391,119896,121740
YB,watchNorth,armFront,21,l,l,1,123558,125061,127485
YB,watchNorth,armFront,22,j,j,1,129246,130749,131684
YB,watchNorth,armFront,23,c,c,1,133526,135029,136020
YB,watchNorth,armFront,24,7,7,1,137902,139405,140460
YB,watchNorth,armFront,25,v,v,1,142358,143861,145116
YB,watchNorth,armFront,26,c,c,1,146966,148470,149332
YB,watchNorth,armFront,27,v,v,1,151238,152741,153829
YB,watchNorth,armFront,28,f,f,1,155606,157109,159316
YB,watchNorth,armFront,29,j,j,1,161126,162629,163964
YB,watchNorth,armFront,30,l,l,1,165758,167263,168404
YB,watchNorth,armFront,31,f,f,1,189670,191174,192380
YB,watchNorth,armFront,32,c,c,1,194206,195709,196636
YB,watchNorth,armFront,33,v,v,1,198590,200093,201180
YB,watchNorth,armFront,34,j,j,1,202894,204397,206516
YB,watchNorth,armFront,35,t,t,1,208326,209832,212645
YB,watchNorth,armFront,36,f,f,1,214462,215965,217525
YB,watchNorth,armFront,37,c,c,1,219334,220838,221709
YB,watchNorth,armFront,38,t,t,1,223534,225039,226805
YB,watchNorth,armFront,39,r,r,1,228614,230118,231797
YB,watchNorth,armFront,40,a,a,1,233582,235086,236421
YB,watchNorth,armFront,41,r,r,1,238238,239742,243244
YB,watchNorth,armFront,42,f,f,1,244854,246359,247916
YB,watchNorth,armFront,43,j,j,1,249718,251221,253501
YB,watchNorth,armFront,44,a,a,1,255214,256717,257685
YB,watchNorth,armFront,45,r,r,1,259470,260975,262285
