id,orientation,armpose,trial#,realPattern,userAnswer,correct,playstamp,playendstamp,enterstamp
YB,watchNorth,armFront,1,f,f,1,74891,76394,79562
YB,watchNorth,armFront,2,7,7,1,81907,83411,85321
YB,watchNorth,armFront,3,a,a,1,87699,89202,91889
YB,watchNorth,armFront,4,c,c,1,94066,95570,97345
YB,watchNorth,armFront,5,j,7,0,99178,100682,102697
YB,watchNorth,armFront,6,t,t,1,104563,106067,107833
YB,watchNorth,armFront,7,c,c,1,109667,111170,112577
YB,watchNorth,armFront,8,r,r,1,114475,115978,117001
YB,watchNorth,armFront,9,v,v,1,118819,120322,122145
YB,watchNorth,armFront,10,f,f,1,123923,125428,128162
YB,watchNorth,armFront,11,j,j,1,129922,131425,132129
YB,watchNorth,armFront,12,r,r,1,133971,135474,136817
YB,watchNorth,armFront,13,v,v,1,138707,140210,141473
YB,watchNorth,armFront,14,l,l,1,143195,144700,146778
YB,watchNorth,armFront,15,l,l,1,148610,150113,153065
YB,watchNorth,armFront,16,a,a,1,154842,156346,157633
YB,watchNorth,armFront,17,7,7,1,159538,161042,162242
YB,watchNorth,armFront,18,t,t,1,166395,167900,170794
