id,orientation,armpose,trial#,realPattern,userAnswer,correct,playstamp,playendstamp,enterstamp
p10,watchNorth,armBody,1,b,d,0,4500,6506,10871
p10,watchNorth,armBody,2,d,d,1,13205,15211,17955
p10,watchNorth,armBody,3,b,x,0,19922,21925,22532
p10,watchNorth,armBody,4,d,d,1,24433,26436,27093
p10,watchNorth,armBody,5,n,n,1,28980,30984,32798
p10,watchNorth,armBody,6,p,n,0,34725,36728,39364
p10,watchNorth,armBody,7,h,y,0,41241,43243,44314
p10,watchNorth,armBody,8,u,u,1,46347,48350,50483
p10,watchNorth,armBody,9,y,y,1,52314,54317,55417
p10,watchNorth,armBody,10,b,n,0,57445,59449,62124
p10,watchNorth,armBody,11,h,y,0,64071,66074,67149
p10,watchNorth,armBody,12,s,s,1,69131,71135,73146
p10,watchNorth,armBody,13,u,s,0,75420,77423,79990
p10,watchNorth,armBody,14,x,s,0,83794,85801,89260
p10,watchNorth,armBody,15,y,y,1,91221,93228,94255
p10,watchNorth,armBody,16,z,d,0,96141,98144,99184
p10,watchNorth,armBody,17,n,n,1,101055,103059,105423
p10,watchNorth,armBody,18,n,x,0,107419,109422,111082
p10,watchNorth,armBody,19,n,y,0,112926,114936,116259
p10,watchNorth,armBody,20,e,e,1,118674,120677,121596
p10,watchNorth,armBody,21,h,y,0,147804,149815,150388
p10,watchNorth,armBody,22,s,s,1,152265,154267,155730
p10,watchNorth,armBody,23,s,s,1,157611,159615,160388
p10,watchNorth,armBody,24,z,y,0,162265,164268,165721
p10,watchNorth,armBody,25,h,h,1,167652,169655,173379
p10,watchNorth,armBody,26,z,y,0,175200,177203,178118
p10,watchNorth,armBody,27,b,y,0,179988,181991,182926
p10,watchNorth,armBody,28,u,u,1,184767,186770,189407
p10,watchNorth,armBody,29,p,x,0,191273,193276,196074
p10,watchNorth,armBody,30,z,b,0,197944,199947,201582
p10,watchNorth,armBody,31,e,u,0,203438,205441,208768
p10,watchNorth,armBody,32,p,x,0,210629,212632,214800
p10,watchNorth,armBody,33,x,b,0,216645,218649,221613
p10,watchNorth,armBody,34,d,b,0,223490,225500,228809
p10,watchNorth,armBody,35,u,h,0,230705,232709,236754
p10,watchNorth,armBody,36,p,p,1,238595,240598,246145
p10,watchNorth,armBody,37,d,e,0,248011,250017,254201
p10,watchNorth,armBody,38,e,z,0,256027,258030,258985
p10,watchNorth,armBody,39,x,x,1,260704,262708,264926
p10,watchNorth,armBody,40,d,d,1,266752,268755,273003
p10,watchNorth,armBody,41,h,y,0,296722,298728,299710
p10,watchNorth,armBody,42,e,e,1,301602,303605,304308
p10,watchNorth,armBody,43,z,y,0,306113,308117,309172
p10,watchNorth,armBody,44,x,p,0,311002,313005,315371
p10,watchNorth,armBody,45,y,y,1,317135,319138,320169
p10,watchNorth,armBody,46,p,x,0,322020,324023,324766
p10,watchNorth,armBody,47,n,p,0,326612,328614,330551
p10,watchNorth,armBody,48,s,e,0,332417,334420,335365
p10,watchNorth,armBody,49,b,b,1,337166,339169,339575
p10,watchNorth,armBody,50,s,s,1,341763,343767,344470
p10,watchNorth,armBody,51,e,y,0,346340,348343,350929
p10,watchNorth,armBody,52,y,s,0,352609,354611,356287
p10,watchNorth,armBody,53,u,u,1,358169,360172,361156
p10,watchNorth,armBody,54,x,x,1,362836,364839,366821
p10,watchNorth,armBody,55,y,y,1,368556,370558,371237
