id,trial#,realPattern,userAnswer,correct,playstamp,enterstamp
p11,1,z,1234,1,2839832,2852542
p11,2,p,3123,1,2899575,2910111
p11,3,s,2143,1,2911074,2919478
p11,4,s,2143,1,2922515,2926508
p11,5,p,3123,1,2927831,2934092
p11,6,p,3123,1,2937959,2942322
p11,7,b,1343,1,2947151,2955609
p11,8,d,2434,1,2956256,2960512
p11,9,n,3142,1,2961466,2970157
p11,10,x,1423,1,2978658,2986965
p11,11,b,1343,1,2987460,2991333
p11,12,e,2134,1,2991775,3001601
p11,13,p,3123,1,3007004,3010873
p11,14,z,1234,1,3014234,3018764
p11,15,s,2143,1,3019350,3026258
p11,16,h,1324,1,3028989,3040018
p11,17,u,1324,0,3061962,3065485
p11,18,y,1424,1,3075804,3097355
p11,19,h,1324,1,3098214,3104460
p11,20,e,2134,1,3106362,3117964
p11,21,h,1324,1,3121445,3124862
p11,22,d,2434,1,3125536,3129678
p11,23,p,3123,1,3130318,3133433
p11,24,y,1424,1,3135965,3142176
p11,25,n,3142,1,3142871,3147568
p11,26,d,2434,1,3148233,3152417
p11,27,x,1423,1,3153239,3160194
p11,28,y,1424,1,3163246,3166651
p11,29,n,1324,0,3168912,3172070
p11,30,x,1423,1,3173673,3182393
p11,31,y,1424,1,3183236,3186173
p11,32,x,1423,1,3188754,3193231
p11,33,p,3123,1,3193999,3197086
p11,34,d,2434,1,3197659,3201250
p11,35,h,1324,1,3201854,3207243
p11,36,y,1424,1,3207849,3211165
p11,37,y,1424,1,3211698,3214632
p11,38,e,2134,1,3215185,3218796
p11,39,h,1324,1,3219188,3222128
p11,40,b,1343,1,3222640,3225400
p11,41,u,1342,1,3225961,3229575
p11,42,b,1343,1,3231276,3234336
p11,43,x,1423,1,3234854,3238005
p11,44,z,1234,1,3238402,3241595
p11,45,b,1343,1,3242308,3245680
p11,46,d,2434,1,3246063,3248524
p11,47,y,1424,1,3248891,3251166
p11,48,s,2143,1,3251554,3256263
p11,49,d,2434,1,3256800,3260189
p11,50,e,2134,1,3260612,3264830
p11,51,e,2134,1,3265235,3269703
p11,52,d,2434,1,3270065,3272773
p11,53,s,2143,1,3273171,3275585
p11,54,p,3123,1,3275958,3278708
p11,55,y,1424,1,3279133,3281650
p11,56,y,1424,1,3282049,3286649
p11,57,s,2143,1,3287052,3291067
p11,58,b,1343,1,3291388,3293960
p11,59,p,3123,1,3294304,3297071
p11,60,b,1343,1,3297363,3300115
p11,61,s,2143,1,3300468,3303889
p11,62,u,1342,1,3304225,3308374
p11,63,e,2134,1,3308781,3313308
p11,64,x,1423,1,3314413,3318280
p11,65,y,1424,1,3318628,3321870
p11,66,e,2134,1,3322239,3326998
p11,67,s,2143,1,3327306,3330358
p11,68,d,2434,1,3330800,3333492
p11,69,x,1423,1,3333839,3337823
p11,70,x,1423,1,3338191,3341077
p11,71,s,2143,1,3341385,3344759
p11,72,n,3142,1,3345139,3349834
p11,73,e,2134,1,3350260,3353394
p11,74,e,2134,1,3353821,3356454
p11,75,d,2434,1,3356801,3360510
p11,76,n,3142,1,3360838,3364135
p11,77,x,1423,1,3364476,3367712
p11,78,p,3123,1,3368133,3371433
p11,79,x,1423,1,3371772,3374348
p11,80,h,1324,1,3374676,3381049
p11,81,x,1423,1,3382038,3384836
p11,82,z,1234,1,3385191,3388107
p11,83,y,1424,1,3388475,3391417
p11,84,u,1342,1,3391783,3394628
p11,85,x,1423,1,3394994,3397713
p11,86,u,1342,1,3398026,3401376
p11,87,b,1343,1,3401816,3404173
p11,88,y,1424,1,3404455,3406947
