id,orientation,armpose,trial#,realPattern,userAnswer,correct,playstamp,playendstamp,enterstamp
p1,handNorth,armFront,1,x,x,1,131733,133736,135698
p1,handNorth,armFront,2,p,p,1,147947,149952,152063
p1,handNorth,armFront,3,u,u,1,160379,162381,163665
p1,handNorth,armFront,4,y,u,0,165641,167645,181746
p1,handNorth,armFront,5,b,x,0,186613,188617,192487
p1,handNorth,armFront,6,z,z,1,194740,196744,198730
p1,handNorth,armFront,7,x,z,0,200708,202712,209964
p1,handNorth,armFront,8,u,u,1,211821,213828,215745
p1,handNorth,armFront,9,x,x,1,217597,219600,220800
p1,handNorth,armFront,10,z,z,1,222721,224725,225946
p1,handNorth,armFront,11,n,n,1,227843,229846,233212
p1,handNorth,armFront,12,n,n,1,235184,237187,237880
p1,handNorth,armFront,13,e,e,1,271035,273038,281133
p1,handNorth,armFront,14,s,s,1,283070,285072,288641
p1,handNorth,armFront,15,u,u,1,290442,292445,293546
p1,handNorth,armFront,16,s,s,1,295492,297494,298752
p1,handNorth,armFront,17,z,z,1,300713,302716,303772
p1,handNorth,armFront,18,h,h,1,305799,307803,310852
p1,handNorth,armFront,19,d,d,1,312350,314354,316360
p1,handNorth,armFront,20,p,p,1,318226,320230,322916
p1,handNorth,armFront,21,d,d,1,324416,326419,327760
p1,handNorth,armFront,22,y,y,1,329371,331380,333929
p1,handNorth,armFront,23,b,b,1,335845,337848,339458
p1,handNorth,armFront,24,e,e,1,341470,343473,344875
p1,handNorth,armFront,25,b,b,1,346706,348710,350153
p1,handNorth,armFront,26,h,h,1,351948,353951,355193
p1,handNorth,armFront,27,y,y,1,357091,359095,360560
p1,handNorth,armFront,28,d,d,1,362141,364143,372827
p1,handNorth,armFront,29,n,n,1,374682,376686,378964
p1,handNorth,armFront,30,e,e,1,380780,382783,384101
p1,handNorth,armFront,31,s,s,1,385911,387913,389352
p1,handNorth,armFront,32,h,h,1,391168,393171,394891
p1,handNorth,armFront,33,p,p,1,396797,398800,400486
