id,orientation,armpose,trial#,realPattern,userAnswer,correct,playstamp,playendstamp,enterstamp
p1,watchNorth,armFront,1,b,b,1,3975,5981,7124
p1,watchNorth,armFront,2,d,d,1,9615,11619,12617
p1,watchNorth,armFront,3,s,s,1,14438,16441,17653
p1,watchNorth,armFront,4,p,p,1,19485,21489,22406
p1,watchNorth,armFront,5,p,p,1,24027,26030,26822
p1,watchNorth,armFront,6,n,n,1,28637,30640,34088
p1,watchNorth,armFront,7,d,d,1,35672,37675,39320
p1,watchNorth,armFront,8,x,x,1,41160,43163,44264
p1,watchNorth,armFront,9,e,e,1,46060,48063,49259
p1,watchNorth,armFront,10,y,y,1,51080,53083,54939
p1,watchNorth,armFront,11,p,p,1,56462,58465,59491
p1,watchNorth,armFront,12,n,n,1,62580,64584,66329
p1,watchNorth,armFront,13,x,x,1,68011,70014,70997
p1,watchNorth,armFront,14,z,h,0,72828,74831,80126
p1,watchNorth,armFront,15,n,n,1,82787,84796,86435
p1,watchNorth,armFront,16,n,n,1,88055,90058,90473
p1,watchNorth,armFront,17,p,p,1,92138,94149,95448
p1,watchNorth,armFront,18,b,b,1,97042,99045,100206
p1,watchNorth,armFront,19,h,h,1,102032,104034,106133
p1,watchNorth,armFront,20,n,n,1,107817,109820,111249
p1,watchNorth,armFront,21,s,s,1,132023,134028,135469
p1,watchNorth,armFront,22,d,d,1,137264,139267,140907
p1,watchNorth,armFront,23,s,s,1,142480,144483,145745
p1,watchNorth,armFront,24,y,y,1,147577,149581,151078
p1,watchNorth,armFront,25,p,p,1,152779,154782,155801
p1,watchNorth,armFront,26,y,y,1,157647,159650,161113
p1,watchNorth,armFront,27,e,e,1,163055,165058,166038
p1,watchNorth,armFront,28,z,z,1,167888,169890,171054
p1,watchNorth,armFront,29,s,s,1,172853,174857,176808
p1,watchNorth,armFront,30,u,u,1,178649,180652,182186
p1,watchNorth,armFront,31,u,u,1,183952,185956,187080
p1,watchNorth,armFront,32,h,h,1,188936,190938,192578
p1,watchNorth,armFront,33,u,u,1,194445,196451,197473
p1,watchNorth,armFront,34,x,x,1,199530,201533,202495
p1,watchNorth,armFront,35,x,x,1,204334,206337,207433
p1,watchNorth,armFront,36,x,x,1,209334,211337,212247
p1,watchNorth,armFront,37,d,d,1,214062,216065,217206
p1,watchNorth,armFront,38,e,e,1,219032,221035,222202
p1,watchNorth,armFront,39,z,z,1,224072,226076,228244
p1,watchNorth,armFront,40,d,d,1,230019,232022,234070
p1,watchNorth,armFront,41,s,s,1,254849,256855,258511
p1,watchNorth,armFront,42,h,h,1,260407,262410,265229
p1,watchNorth,armFront,43,b,b,1,267024,269026,270052
p1,watchNorth,armFront,44,h,h,1,271908,273911,276024
p1,watchNorth,armFront,45,z,z,1,277714,279721,281930
p1,watchNorth,armFront,46,y,y,1,283500,285503,287047
p1,watchNorth,armFront,47,b,b,1,288902,290904,291840
p1,watchNorth,armFront,48,y,y,1,293862,295865,297303
p1,watchNorth,armFront,49,u,u,1,299099,301102,302107
p1,watchNorth,armFront,50,h,h,1,303973,305976,308396
p1,watchNorth,armFront,51,e,e,1,309970,311972,315239
p1,watchNorth,armFront,52,e,e,1,316757,318764,320823
p1,watchNorth,armFront,53,u,u,1,322725,324728,325647
p1,watchNorth,armFront,54,b,b,1,327603,329606,330818
p1,watchNorth,armFront,55,z,z,1,332674,334677,337077
