id,orientation,armpose,trial#,realPattern,userAnswer,correct,playstamp,playendstamp,enterstamp
p3,handNorth,armBody,1,e,e,1,158369,160376,162387
p3,handNorth,armBody,2,n,x,0,166048,168051,186196
p3,handNorth,armBody,3,b,b,1,192972,194979,198140
p3,handNorth,armBody,4,z,z,1,200710,202714,208805
p3,handNorth,armBody,5,s,s,1,210908,212915,216313
p3,handNorth,armBody,6,b,b,1,218445,220448,223539
p3,handNorth,armBody,7,b,b,1,225540,227543,228744
p3,handNorth,armBody,8,u,u,1,230877,232880,234465
p3,handNorth,armBody,9,p,p,1,238118,240121,244636
p3,handNorth,armBody,10,d,d,1,247041,249044,259173
p3,handNorth,armBody,11,s,z,0,261412,263415,276102
p3,handNorth,armBody,12,n,n,1,281200,283207,285855
p3,handNorth,armBody,13,z,z,1,288184,290187,292462
p3,handNorth,armBody,14,d,z,0,294569,296572,304697
p3,handNorth,armBody,15,x,p,0,311604,313612,322246
p3,handNorth,armBody,16,d,d,1,324675,326678,330624
p3,handNorth,armBody,17,x,y,0,332692,334696,346183
p3,handNorth,armBody,18,e,z,0,350833,352838,357180
p3,handNorth,armBody,19,s,s,1,362611,364613,366747
p3,handNorth,armBody,20,e,e,1,368875,370877,373716
p3,handNorth,armBody,21,u,n,0,375739,377741,380946
p3,handNorth,armBody,22,h,h,1,385982,387987,389799
p3,handNorth,armBody,23,p,p,1,391851,393854,395182
p3,handNorth,armBody,24,h,h,1,397420,399424,401033
p3,handNorth,armBody,25,p,p,1,402894,404896,405947
p3,handNorth,armBody,26,y,y,1,407839,409842,411521
p3,handNorth,armBody,27,u,u,1,413449,415451,416910
p3,handNorth,armBody,28,h,b,0,418690,420697,422277
p3,handNorth,armBody,29,z,z,1,424203,426206,428299
p3,handNorth,armBody,30,x,x,1,430126,432129,434336
p3,handNorth,armBody,31,y,s,0,436213,438220,442091
p3,handNorth,armBody,32,y,z,0,444572,446576,449120
p3,handNorth,armBody,33,n,x,0,451852,453855,459675
