id,orientation,armpose,trial#,realPattern,userAnswer,correct,playstamp,playendstamp,enterstamp
p3,handNorth,armDown,1,u,u,1,3714,5724,8066
p3,handNorth,armDown,2,x,x,1,10199,12203,15408
p3,handNorth,armDown,3,y,y,1,17430,19434,20388
p3,handNorth,armDown,4,b,b,1,22551,24553,26762
p3,handNorth,armDown,5,n,n,1,28572,30575,33077
p3,handNorth,armDown,6,y,y,1,34943,36946,38354
p3,handNorth,armDown,7,n,n,1,41292,43294,45242
p3,handNorth,armDown,8,d,e,0,47123,49126,57594
p3,handNorth,armDown,9,d,z,0,60411,62419,68782
p3,handNorth,armDown,10,b,b,1,72543,74546,77598
p3,handNorth,armDown,11,u,u,1,80069,82077,84084
p3,handNorth,armDown,12,z,x,0,86610,88613,94492
p3,handNorth,armDown,13,h,h,1,96716,98719,105842
p3,handNorth,armDown,14,e,e,1,107763,109770,111658
p3,handNorth,armDown,15,p,n,0,113765,115768,123295
p3,handNorth,armDown,16,n,h,0,125155,127158,128788
p3,handNorth,armDown,17,h,h,1,132144,134148,136039
p3,handNorth,armDown,18,p,p,1,137900,139904,150480
p3,handNorth,armDown,19,h,h,1,152994,154997,156880
p3,handNorth,armDown,20,z,b,0,159466,161469,164292
p3,handNorth,armDown,21,n,n,1,186360,188368,190692
p3,handNorth,armDown,22,p,p,1,192886,194889,204065
p3,handNorth,armDown,23,z,h,0,206145,208148,218043
p3,handNorth,armDown,24,h,h,1,220202,222218,224610
p3,handNorth,armDown,25,s,d,0,226470,228474,230773
p3,handNorth,armDown,26,e,e,1,232735,234737,235768
p3,handNorth,armDown,27,b,b,1,237518,239521,242626
p3,handNorth,armDown,28,b,b,1,244522,246525,247722
p3,handNorth,armDown,29,s,s,1,250700,252705,259107
p3,handNorth,armDown,30,u,u,1,261648,263651,264887
p3,handNorth,armDown,31,y,y,1,266839,268852,271121
p3,handNorth,armDown,32,z,x,0,272986,274992,282999
p3,handNorth,armDown,33,y,y,1,285677,287681,290079
p3,handNorth,armDown,34,y,y,1,292249,294255,303921
p3,handNorth,armDown,35,u,u,1,306134,308137,309208
p3,handNorth,armDown,36,x,x,1,311215,313218,314999
p3,handNorth,armDown,37,d,d,1,316774,318778,320764
p3,handNorth,armDown,38,e,e,1,322509,324513,326751
p3,handNorth,armDown,39,e,e,1,328974,330985,332013
p3,handNorth,armDown,40,x,x,1,334080,336083,337829
p3,handNorth,armDown,41,x,z,0,359866,361872,367869
p3,handNorth,armDown,42,d,d,1,369937,371940,374858
p3,handNorth,armDown,43,p,s,0,377134,379139,393430
p3,handNorth,armDown,44,u,u,1,395299,397307,398161
p3,handNorth,armDown,45,d,d,1,400270,402273,404551
p3,handNorth,armDown,46,x,x,1,406704,408709,410619
p3,handNorth,armDown,47,p,p,1,412565,414568,420760
p3,handNorth,armDown,48,h,h,1,423655,425660,428278
p3,handNorth,armDown,49,b,b,1,430456,432463,434496
p3,handNorth,armDown,50,s,s,1,436307,438310,440942
p3,handNorth,armDown,51,e,z,0,443019,445022,448545
p3,handNorth,armDown,52,z,z,1,451005,453008,455000
p3,handNorth,armDown,53,n,u,0,457208,459212,464864
p3,handNorth,armDown,54,s,z,0,468277,470279,473469
p3,handNorth,armDown,55,s,s,1,475311,477318,479180
