id,orientation,armpose,trial#,realPattern,userAnswer,correct,playstamp,playendstamp,enterstamp
p3,watchNorth,armBody,1,z,z,1,138485,140489,148316
p3,watchNorth,armBody,2,n,p,0,157308,159314,169253
p3,watchNorth,armBody,3,p,p,1,173552,175558,189359
p3,watchNorth,armBody,4,z,z,1,191865,193870,196338
p3,watchNorth,armBody,5,b,h,0,199030,201033,202521
p3,watchNorth,armBody,6,h,h,1,207297,209301,211499
p3,watchNorth,armBody,7,u,y,0,214113,216116,228554
p3,watchNorth,armBody,8,e,u,0,231376,233383,235850
p3,watchNorth,armBody,9,y,h,0,238457,240460,244098
p3,watchNorth,armBody,10,d,s,0,246649,248652,252929
p3,watchNorth,armBody,11,h,h,1,256563,258567,260045
p3,watchNorth,armBody,12,d,s,0,263965,265968,273272
p3,watchNorth,armBody,13,x,x,1,277152,279156,283569
p3,watchNorth,armBody,14,b,h,0,285220,287223,294657
p3,watchNorth,armBody,15,n,n,1,298408,300412,303675
p3,watchNorth,armBody,16,p,h,0,306282,308287,311178
p3,watchNorth,armBody,17,e,u,0,315612,317615,321042
p3,watchNorth,armBody,18,p,s,0,324942,326946,334995
p3,watchNorth,armBody,19,z,x,0,339605,341616,344044
p3,watchNorth,armBody,20,d,s,0,352265,354268,361516
p3,watchNorth,armBody,21,h,h,1,365301,367303,368913
p3,watchNorth,armBody,22,x,x,1,370851,372857,375630
p3,watchNorth,armBody,23,s,d,0,377929,379933,384820
p3,watchNorth,armBody,24,e,d,0,388327,390330,393319
p3,watchNorth,armBody,25,u,u,1,395907,397911,403228
p3,watchNorth,armBody,26,n,n,1,405432,407435,414699
p3,watchNorth,armBody,27,b,h,0,417048,419051,425511
p3,watchNorth,armBody,28,y,p,0,428691,430693,437272
p3,watchNorth,armBody,29,s,h,0,442809,444816,449981
p3,watchNorth,armBody,30,x,y,0,453644,455648,457408
p3,watchNorth,armBody,31,s,d,0,463549,465557,468567
p3,watchNorth,armBody,32,y,x,0,473403,475406,480002
p3,watchNorth,armBody,33,u,d,0,482537,484540,494760
