id,orientation,armpose,trial#,realPattern,userAnswer,correct,playstamp,playendstamp,enterstamp
p5,handNorth,armBody,1,s,z,0,1178,3182,7585
p5,handNorth,armBody,2,u,u,1,9159,11162,11316
p5,handNorth,armBody,3,u,u,1,12970,14973,15470
p5,handNorth,armBody,4,b,b,1,17140,19143,19755
p5,handNorth,armBody,5,b,b,1,22013,24017,24549
p5,handNorth,armBody,6,h,h,1,26294,28296,29378
p5,handNorth,armBody,7,z,z,1,31198,33200,33869
p5,handNorth,armBody,8,d,d,1,35579,37582,40269
p5,handNorth,armBody,9,p,p,1,42180,44183,44861
p5,handNorth,armBody,10,x,x,1,46677,48680,49609
p5,handNorth,armBody,11,d,d,1,51218,53221,53880
p5,handNorth,armBody,12,h,h,1,55630,57633,59101
p5,handNorth,armBody,13,h,h,1,60766,62768,66417
p5,handNorth,armBody,14,y,y,1,67951,69954,70536
p5,handNorth,armBody,15,n,z,0,72066,74069,75123
p5,handNorth,armBody,16,z,z,1,77065,79068,81528
p5,handNorth,armBody,17,x,x,1,83077,85080,85663
p5,handNorth,armBody,18,e,e,1,87332,89335,89952
p5,handNorth,armBody,19,p,p,1,91718,93721,94343
p5,handNorth,armBody,20,e,e,1,96043,98046,98749
p5,handNorth,armBody,21,s,s,1,119599,121605,125588
p5,handNorth,armBody,22,b,b,1,127730,129733,130377
p5,handNorth,armBody,23,p,p,1,132159,134162,134858
p5,handNorth,armBody,24,e,e,1,136679,138681,139495
p5,handNorth,armBody,25,s,s,1,141245,143247,145084
p5,handNorth,armBody,26,u,u,1,146724,148727,150809
p5,handNorth,armBody,27,u,u,1,152494,154497,155351
p5,handNorth,armBody,28,n,n,1,157268,159271,160201
p5,handNorth,armBody,29,n,n,1,161840,163843,164299
p5,handNorth,armBody,30,s,s,1,166069,168072,170598
p5,handNorth,armBody,31,s,s,1,172273,174276,175533
p5,handNorth,armBody,32,x,x,1,177117,179119,179621
p5,handNorth,armBody,33,u,b,0,181312,183315,186011
p5,handNorth,armBody,34,z,z,1,188114,190119,192024
p5,handNorth,armBody,35,d,d,1,193890,195893,197563
p5,handNorth,armBody,36,h,h,1,199268,201270,202174
p5,handNorth,armBody,37,e,e,1,203824,205827,206621
p5,handNorth,armBody,38,y,y,1,208598,210600,211238
p5,handNorth,armBody,39,n,n,1,213100,215103,216148
p5,handNorth,armBody,40,n,n,1,217939,219942,221681
p5,handNorth,armBody,41,e,e,1,242757,244762,245207
p5,handNorth,armBody,42,b,b,1,246856,248859,249501
p5,handNorth,armBody,43,z,z,1,251340,253343,255282
p5,handNorth,armBody,44,d,d,1,256982,258984,259980
p5,handNorth,armBody,45,x,x,1,261786,263789,264673
p5,handNorth,armBody,46,d,d,1,266307,268310,268747
p5,handNorth,armBody,47,p,p,1,270467,272471,273118
p5,handNorth,armBody,48,h,h,1,274842,276845,277941
p5,handNorth,armBody,49,b,b,1,279586,281589,282066
p5,handNorth,armBody,50,y,y,1,283826,285828,286808
p5,handNorth,armBody,51,p,p,1,288367,290370,290872
p5,handNorth,armBody,52,y,y,1,292487,294489,295127
p5,handNorth,armBody,53,y,y,1,296681,298685,299120
p5,handNorth,armBody,54,z,z,1,300669,302671,304151
p5,handNorth,armBody,55,x,x,1,305714,307717,308250
