id,orientation,armpose,trial#,realPattern,userAnswer,correct,playstamp,playendstamp,enterstamp
p5,watchNorth,armDown,1,s,s,1,1713,3728,5132
p5,watchNorth,armDown,2,u,u,1,6938,8941,9232
p5,watchNorth,armDown,3,d,d,1,10775,12778,13975
p5,watchNorth,armDown,4,z,z,1,15639,17642,18763
p5,watchNorth,armDown,5,x,b,0,20670,22671,33215
p5,watchNorth,armDown,6,p,p,1,35156,37159,37630
p5,watchNorth,armDown,7,x,x,1,39266,41272,42001
p5,watchNorth,armDown,8,h,h,1,43540,45544,46838
p5,watchNorth,armDown,9,s,s,1,48701,50705,57636
p5,watchNorth,armDown,10,e,e,1,59256,61259,61761
p5,watchNorth,armDown,11,p,p,1,63466,65469,66192
p5,watchNorth,armDown,12,x,x,1,67936,69938,71217
p5,watchNorth,armDown,13,z,z,1,72810,74812,76704
p5,watchNorth,armDown,14,n,n,1,78238,80241,81544
p5,watchNorth,armDown,15,e,e,1,83223,85226,86549
p5,watchNorth,armDown,16,h,h,1,88122,90125,92174
p5,watchNorth,armDown,17,b,b,1,93788,95791,96564
p5,watchNorth,armDown,18,u,u,1,98339,100342,100885
p5,watchNorth,armDown,19,s,s,1,102508,104512,106156
p5,watchNorth,armDown,20,d,d,1,107791,109794,110839
p5,watchNorth,armDown,21,p,p,1,131930,133943,136358
p5,watchNorth,armDown,22,s,s,1,138118,140121,141676
p5,watchNorth,armDown,23,u,u,1,143184,145187,145523
p5,watchNorth,armDown,24,d,d,1,147293,149295,150291
p5,watchNorth,armDown,25,s,s,1,152106,154110,155402
p5,watchNorth,armDown,26,y,y,1,156975,158978,159777
p5,watchNorth,armDown,27,u,u,1,161709,163711,164254
p5,watchNorth,armDown,28,h,h,1,166110,168113,168806
p5,watchNorth,armDown,29,b,b,1,170420,172423,173157
p5,watchNorth,armDown,30,p,p,1,174776,176779,177653
p5,watchNorth,armDown,31,p,p,1,179181,181184,183464
p5,watchNorth,armDown,32,e,e,1,184962,186965,187502
p5,watchNorth,armDown,33,u,u,1,189253,191258,191585
p5,watchNorth,armDown,34,b,b,1,193220,195223,195821
p5,watchNorth,armDown,35,n,n,1,197500,199503,200876
p5,watchNorth,armDown,36,x,x,1,202431,204434,205156
p5,watchNorth,armDown,37,b,b,1,207047,209051,209703
p5,watchNorth,armDown,38,e,e,1,211458,213461,213928
p5,watchNorth,armDown,39,h,h,1,215664,217666,218273
p5,watchNorth,armDown,40,d,d,1,220063,222067,223434
p5,watchNorth,armDown,41,z,z,1,244293,246305,247659
p5,watchNorth,armDown,42,y,y,1,249540,251543,253374
p5,watchNorth,armDown,43,y,y,1,255321,257325,258838
p5,watchNorth,armDown,44,h,h,1,261458,263462,264785
p5,watchNorth,armDown,45,z,z,1,266408,268410,269427
p5,watchNorth,armDown,46,b,b,1,271000,273003,273661
p5,watchNorth,armDown,47,x,x,1,276268,278272,279447
p5,watchNorth,armDown,48,n,n,1,281474,283478,284205
p5,watchNorth,armDown,49,y,y,1,285789,287793,289523
p5,watchNorth,armDown,50,n,n,1,291308,293311,294175
p5,watchNorth,armDown,51,e,e,1,295961,297964,298294
p5,watchNorth,armDown,52,n,n,1,299989,301992,302942
p5,watchNorth,armDown,53,d,d,1,304551,306554,307489
p5,watchNorth,armDown,54,z,z,1,309270,311273,311995
p5,watchNorth,armDown,55,y,y,1,313831,315835,316870
