id,orientation,armpose,trial#,realPattern,userAnswer,correct,playstamp,playendstamp,enterstamp
p6,handNorth,armFront,1,b,x,0,1868,3878,6723
p6,handNorth,armFront,2,n,b,0,9042,11045,14945
p6,handNorth,armFront,3,h,b,0,17743,19746,20922
p6,handNorth,armFront,4,u,x,0,23298,25301,41562
p6,handNorth,armFront,5,p,n,0,44274,46279,57280
p6,handNorth,armFront,6,d,y,0,59435,61438,66670
p6,handNorth,armFront,7,b,y,0,68771,70774,76341
p6,handNorth,armFront,8,s,n,0,78630,80636,90954
p6,handNorth,armFront,9,y,y,1,93686,95699,97294
p6,handNorth,armFront,10,s,s,1,99381,101385,107042
p6,handNorth,armFront,11,b,b,1,108681,110684,112127
p6,handNorth,armFront,12,e,s,0,114547,116550,127827
p6,handNorth,armFront,13,u,n,0,129951,131960,137757
p6,handNorth,armFront,14,d,s,0,140112,142116,153427
p6,handNorth,armFront,15,n,n,1,155645,157649,159837
p6,handNorth,armFront,16,d,p,0,162026,164029,175567
p6,handNorth,armFront,17,z,x,0,177725,179728,182073
p6,handNorth,armFront,18,y,y,1,184256,186259,187788
p6,handNorth,armFront,19,u,u,1,189774,191776,194847
p6,handNorth,armFront,20,p,n,0,196653,198656,210653
p6,handNorth,armFront,21,z,x,0,236774,238782,258181
p6,handNorth,armFront,22,h,x,0,260953,262960,264576
p6,handNorth,armFront,23,p,n,0,266603,268606,271832
p6,handNorth,armFront,24,x,x,1,274025,276028,278146
p6,handNorth,armFront,25,z,z,1,280325,282328,289994
p6,handNorth,armFront,26,s,n,0,291830,293833,298212
p6,handNorth,armFront,27,h,u,0,300466,302470,304128
p6,handNorth,armFront,28,e,e,1,305996,307999,313972
p6,handNorth,armFront,29,n,n,1,315470,317474,320120
p6,handNorth,armFront,30,s,n,0,321967,323970,329613
p6,handNorth,armFront,31,p,n,0,332168,334171,337922
p6,handNorth,armFront,32,x,x,1,340028,342031,346717
p6,handNorth,armFront,33,n,b,0,349580,351583,355020
p6,handNorth,armFront,34,y,z,0,357054,359058,372019
p6,handNorth,armFront,35,x,x,1,373553,375558,381853
p6,handNorth,armFront,36,d,d,1,383841,385843,401718
p6,handNorth,armFront,37,n,n,1,403518,405524,409648
p6,handNorth,armFront,38,z,d,0,411484,413485,432468
p6,handNorth,armFront,39,y,h,0,434777,436783,439679
p6,handNorth,armFront,40,x,x,1,441833,443836,446285
p6,handNorth,armFront,41,x,h,0,467845,469850,482625
p6,handNorth,armFront,42,e,s,0,484869,486876,500707
p6,handNorth,armFront,43,y,x,0,503303,505308,525712
p6,handNorth,armFront,44,e,e,1,527823,529829,532354
p6,handNorth,armFront,45,b,b,1,534210,536213,538054
p6,handNorth,armFront,46,s,b,0,539935,541938,545123
p6,handNorth,armFront,47,e,d,0,546989,548993,564484
p6,handNorth,armFront,48,p,n,0,566748,568754,580698
p6,handNorth,armFront,49,u,u,1,583838,585844,599001
p6,handNorth,armFront,50,z,z,1,600837,602848,619520
p6,handNorth,armFront,51,h,h,1,621396,623402,626987
p6,handNorth,armFront,52,b,n,0,629039,631042,634238
p6,handNorth,armFront,53,d,s,0,636125,638127,654340
p6,handNorth,armFront,54,u,u,1,656406,658412,665368
p6,handNorth,armFront,55,h,h,1,668608,670612,674083
