id,orientation,armpose,trial#,realPattern,userAnswer,correct,playstamp,playendstamp,enterstamp
p8,handNorth,armDown,1,x,x,1,116628,118635,121468
p8,handNorth,armDown,2,u,u,1,123550,125553,126997
p8,handNorth,armDown,3,e,e,1,129160,131163,133250
p8,handNorth,armDown,4,x,x,1,135015,137018,137868
p8,handNorth,armDown,5,e,e,1,139739,141741,142430
p8,handNorth,armDown,6,p,n,0,144381,146384,154928
p8,handNorth,armDown,7,n,n,1,163827,165831,172385
p8,handNorth,armDown,8,z,d,0,174216,176219,177612
p8,handNorth,armDown,9,s,s,1,192267,194270,195794
p8,handNorth,armDown,10,h,d,0,197615,199618,203004
p8,handNorth,armDown,11,n,u,0,209286,211288,212562
p8,handNorth,armDown,12,d,d,1,223370,225372,226484
p8,handNorth,armDown,13,x,x,1,228219,230222,231218
p8,handNorth,armDown,14,n,n,1,233002,235005,236741
p8,handNorth,armDown,15,u,u,1,238365,240369,240911
p8,handNorth,armDown,16,p,p,1,242781,244785,247522
p8,handNorth,armDown,17,e,e,1,249468,251472,252199
p8,handNorth,armDown,18,u,u,1,254181,256184,256968
p8,handNorth,armDown,19,b,b,1,258810,260812,262522
p8,handNorth,armDown,20,b,b,1,264292,266296,267910
p8,handNorth,armDown,21,d,d,1,269954,271957,272805
p8,handNorth,armDown,22,b,d,0,274695,276698,283444
p8,handNorth,armDown,23,y,y,1,290572,292575,295458
p8,handNorth,armDown,24,y,y,1,297601,299604,300166
p8,handNorth,armDown,25,d,d,1,302012,304014,309894
p8,handNorth,armDown,26,s,s,1,311775,313778,316858
p8,handNorth,armDown,27,p,p,1,318608,320610,323066
p8,handNorth,armDown,28,h,h,1,324923,326928,330796
p8,handNorth,armDown,29,y,x,0,332687,334690,337473
p8,handNorth,armDown,30,z,z,1,339920,341924,343430
p8,handNorth,armDown,31,h,h,1,345351,347354,348716
p8,handNorth,armDown,32,s,s,1,350502,352506,353525
p8,handNorth,armDown,33,z,h,0,356171,358175,363027
