id,orientation,armpose,trial#,realPattern,userAnswer,correct,playstamp,playendstamp,enterstamp
p8,watchNorth,armDown,1,p,x,0,141975,143986,149439
p8,watchNorth,armDown,2,d,d,1,164943,166945,170461
p8,watchNorth,armDown,3,u,n,0,172720,174723,180215
p8,watchNorth,armDown,4,y,x,0,184957,186960,190285
p8,watchNorth,armDown,5,x,z,0,194291,196295,205134
p8,watchNorth,armDown,6,h,z,0,211659,213662,218096
p8,watchNorth,armDown,7,b,z,0,222504,224507,227808
p8,watchNorth,armDown,8,e,e,1,231519,233522,234371
p8,watchNorth,armDown,9,x,x,1,236150,238154,239666
p8,watchNorth,armDown,10,u,y,0,241397,243399,247084
p8,watchNorth,armDown,11,p,y,0,256014,258017,262773
p8,watchNorth,armDown,12,e,e,1,287082,289085,290619
p8,watchNorth,armDown,13,z,z,1,292197,294200,295538
p8,watchNorth,armDown,14,s,s,1,297480,299482,301641
p8,watchNorth,armDown,15,n,x,0,303562,305566,306873
p8,watchNorth,armDown,16,s,s,1,311115,313119,315378
p8,watchNorth,armDown,17,y,n,0,317249,319252,324376
p8,watchNorth,armDown,18,z,z,1,328638,330641,337573
p8,watchNorth,armDown,19,e,e,1,339475,341484,342210
p8,watchNorth,armDown,20,p,h,0,344026,346030,350106
p8,watchNorth,armDown,21,s,s,1,354243,356247,359517
p8,watchNorth,armDown,22,d,d,1,361383,363385,365847
p8,watchNorth,armDown,23,z,z,1,367732,369735,372408
p8,watchNorth,armDown,24,n,n,1,374264,376267,379170
p8,watchNorth,armDown,25,x,y,0,381001,383005,387825
p8,watchNorth,armDown,26,b,p,0,403317,405320,406592
p8,watchNorth,armDown,27,h,h,1,410190,412194,413903
p8,watchNorth,armDown,28,h,h,1,415724,417727,418309
p8,watchNorth,armDown,29,y,h,0,419955,421959,422399
p8,watchNorth,armDown,30,b,p,0,430960,432963,433915
p8,watchNorth,armDown,31,u,n,0,438333,440337,446073
p8,watchNorth,armDown,32,n,x,0,449748,451752,453597
p8,watchNorth,armDown,33,d,d,1,465070,467073,468733
