id,orientation,armpose,trial#,realPattern,userAnswer,correct,playstamp,playendstamp,enterstamp
p8,watchNorth,armFront,1,n,y,0,88102,90113,95116
p8,watchNorth,armFront,2,y,h,0,99429,101432,105494
p8,watchNorth,armFront,3,n,n,1,109475,111478,114069
p8,watchNorth,armFront,4,p,p,1,115810,117814,121078
p8,watchNorth,armFront,5,u,n,0,122913,124916,127977
p8,watchNorth,armFront,6,e,e,1,131847,133849,134497
p8,watchNorth,armFront,7,s,s,1,136389,138392,141295
p8,watchNorth,armFront,8,d,d,1,143137,145140,146602
p8,watchNorth,armFront,9,h,h,1,148523,150526,152972
p8,watchNorth,armFront,10,b,d,0,154958,156961,161854
p8,watchNorth,armFront,11,h,h,1,165683,167686,169492
p8,watchNorth,armFront,12,z,z,1,171373,173376,175339
p8,watchNorth,armFront,13,y,y,1,177190,179193,181628
p8,watchNorth,armFront,14,d,d,1,186364,188367,194734
p8,watchNorth,armFront,15,x,x,1,196470,198473,199865
p8,watchNorth,armFront,16,y,y,1,201686,203699,205711
p8,watchNorth,armFront,17,s,s,1,207588,209591,211910
p8,watchNorth,armFront,18,b,b,1,213682,215685,216784
p8,watchNorth,armFront,19,p,p,1,218786,220788,222958
p8,watchNorth,armFront,20,e,e,1,224849,226852,228355
p8,watchNorth,armFront,21,e,e,1,230226,232228,233109
p8,watchNorth,armFront,22,d,d,1,234995,236999,237776
p8,watchNorth,armFront,23,h,h,1,239695,241698,243496
p8,watchNorth,armFront,24,u,u,1,245256,247259,248381
p8,watchNorth,armFront,25,p,y,0,250231,252235,255757
p8,watchNorth,armFront,26,u,u,1,267246,269249,269952
p8,watchNorth,armFront,27,x,x,1,271656,273660,274615
p8,watchNorth,armFront,28,s,s,1,276460,278463,279444
p8,watchNorth,armFront,29,b,p,0,281229,283233,286165
p8,watchNorth,armFront,30,x,x,1,288314,290318,291896
p8,watchNorth,armFront,31,n,n,1,293565,295568,297661
p8,watchNorth,armFront,32,z,z,1,299331,301334,302183
p8,watchNorth,armFront,33,z,z,1,304069,306072,307852
