id,cond,trial#,realPattern,userAnswer,correct,c1,c2,c3,playstamp,playendstamp,enterstamp,reactionTime
p4,armFront,1,314,234,0,0,0,1,217124,218632,226128,7496
p4,armFront,2,243,243,1,1,1,1,228901,230403,232475,2072
p4,armFront,3,412,412,1,1,1,1,233615,235155,238475,3320
p4,armFront,4,142,241,0,0,1,0,251489,253001,254932,1931
p4,armFront,5,231,231,1,1,1,1,255613,257115,259130,2015
p4,armFront,6,321,241,0,0,0,1,259811,261312,263348,2036
p4,armFront,7,312,241,0,0,0,0,263977,265478,267895,2417
p4,armFront,8,423,241,0,0,0,0,268514,270059,272174,2115
p4,armFront,9,431,231,0,0,1,1,272826,274328,276554,2226
p4,armFront,10,421,431,0,1,0,1,277183,278685,280751,2066
p4,armFront,11,123,243,0,0,0,1,281384,282885,284789,1904
p4,armFront,12,234,432,0,0,1,0,285421,286923,289604,2681
