id,cond,trial#,realPattern,userAnswer,correct,c1,c2,c3,playstamp,playendstamp,enterstamp,reactionTime
p5,armBody,1,413,413,1,1,1,1,2708,4211,6022,1811
p5,armBody,2,314,412,0,0,1,0,6771,8275,10402,2127
p5,armBody,3,312,412,0,0,1,1,11120,12623,14665,2042
p5,armBody,4,314,214,0,0,1,1,15359,16862,19195,2333
p5,armBody,5,143,143,1,1,1,1,20331,21834,24105,2271
p5,armBody,6,412,412,1,1,1,1,24888,26391,28690,2299
p5,armBody,7,214,214,1,1,1,1,29449,30951,33799,2848
p5,armBody,8,234,241,0,1,0,0,34521,36024,39696,3672
p5,armBody,9,312,412,0,0,1,1,40476,41980,44606,2626
p5,armBody,10,123,123,1,1,1,1,45408,46911,49448,2537
p5,armBody,11,423,413,0,1,0,1,50156,51659,53738,2079
p5,armBody,12,342,342,1,1,1,1,54458,55961,58541,2580
p5,armBody,13,321,321,1,1,1,1,59264,60768,62959,2191
p5,armBody,14,431,431,1,1,1,1,63657,65161,67549,2388
p5,armBody,15,431,231,0,0,1,1,68321,69824,72098,2274
p5,armBody,16,143,143,1,1,1,1,72795,74299,75832,1533
p5,armBody,17,234,234,1,1,1,1,76542,78044,80106,2062
p5,armBody,18,321,421,0,0,1,1,80747,82250,85910,3660
p5,armBody,19,342,342,1,1,1,1,86574,88077,89805,1728
p5,armBody,20,312,312,1,1,1,1,90614,92117,97366,5249
p5,armBody,21,214,234,0,1,0,1,119237,120744,122938,2194
p5,armBody,22,231,241,0,1,0,1,124121,125627,127343,1716
p5,armBody,23,324,423,0,0,1,0,128105,129608,131394,1786
p5,armBody,24,421,213,0,0,0,0,132091,133594,135196,1602
p5,armBody,25,142,241,0,0,1,0,135903,137406,139001,1595
p5,armBody,26,214,214,1,1,1,1,139748,141251,145937,4686
p5,armBody,27,321,421,0,0,1,1,147001,148504,150858,2354
p5,armBody,28,243,243,1,1,1,1,151596,153100,156167,3067
p5,armBody,29,123,123,1,1,1,1,156874,158377,164163,5786
p5,armBody,30,143,143,1,1,1,1,164965,166468,169207,2739
p5,armBody,31,241,241,1,1,1,1,170286,171789,173821,2032
