id,cond,trial#,realPattern,userAnswer,correct,c1,c2,c3,playstamp,playendstamp,enterstamp,reactionTime
p6,armFront,1,234,432,0,0,1,0,6030,7533,11359,3826
p6,armFront,2,432,214,0,0,0,0,12154,13657,17451,3794
p6,armFront,3,412,432,0,1,0,1,18334,19837,22629,2792
p6,armFront,4,423,423,1,1,1,1,23989,25492,30275,4783
p6,armFront,5,341,341,1,1,1,1,31232,32735,34897,2162
p6,armFront,6,231,231,1,1,1,1,35666,37169,41080,3911
p6,armFront,7,314,314,1,1,1,1,42037,43541,45696,2155
p6,armFront,8,134,134,1,1,1,1,46479,47982,49936,1954
p6,armFront,9,421,421,1,1,1,1,50659,52163,55114,2951
p6,armFront,10,413,413,1,1,1,1,55897,57400,59660,2260
p6,armFront,11,432,432,1,1,1,1,60361,61864,64234,2370
p6,armFront,12,312,124,0,0,0,0,64972,66475,68368,1893
p6,armFront,13,431,431,1,1,1,1,69066,70570,73486,2916
p6,armFront,14,412,412,1,1,1,1,74152,75656,78354,2698
p6,armFront,15,342,342,1,1,1,1,79484,80987,83367,2380
p6,armFront,16,123,123,1,1,1,1,84148,85651,87930,2279
p6,armFront,17,124,124,1,1,1,1,88805,90308,92294,1986
p6,armFront,18,143,123,0,1,0,1,93220,94723,96684,1961
p6,armFront,19,421,421,1,1,1,1,97376,98879,100663,1784
p6,armFront,20,412,214,0,0,1,0,101585,103089,105723,2634
p6,armFront,21,134,134,1,1,1,1,126647,128156,131901,3745
p6,armFront,22,234,234,1,1,1,1,132765,134273,136573,2300
p6,armFront,23,413,413,1,1,1,1,137322,138825,140963,2138
p6,armFront,24,314,314,1,1,1,1,141746,143250,145677,2427
p6,armFront,25,132,134,0,1,1,0,146393,147897,150795,2898
p6,armFront,26,142,142,1,1,1,1,151625,153128,155780,2652
p6,armFront,27,432,231,0,0,1,0,156454,157958,160768,2810
p6,armFront,28,214,214,1,1,1,1,161940,163442,165605,2163
p6,armFront,29,412,412,1,1,1,1,166389,167892,171502,3610
p6,armFront,30,431,431,1,1,1,1,172274,173777,176687,2910
p6,armFront,31,213,213,1,1,1,1,177764,179268,181194,1926
p6,armFront,32,431,431,1,1,1,1,181894,183398,185587,2189
p6,armFront,33,213,213,1,1,1,1,186278,187781,190339,2558
p6,armFront,34,341,342,0,1,1,0,191010,192513,195744,3231
p6,armFront,35,123,123,1,1,1,1,196939,198442,200471,2029
p6,armFront,36,134,134,1,1,1,1,201202,202705,204516,1811
p6,armFront,37,142,142,1,1,1,1,205491,206994,209775,2781
p6,armFront,38,231,213,0,1,0,0,210673,212177,214398,2221
p6,armFront,39,243,243,1,1,1,1,216712,218215,220280,2065
p6,armFront,40,214,214,1,1,1,1,221040,222543,224743,2200
p6,armFront,41,324,124,0,0,1,1,245578,247090,249164,2074
p6,armFront,42,321,341,0,1,0,1,249941,251445,255152,3707
p6,armFront,43,143,143,1,1,1,1,255905,257408,259308,1900
