id,cond,trial#,realPattern,userAnswer,correct,c1,c2,c3,playstamp,playendstamp,enterstamp,reactionTime
p9,armBody,1,134,143,0,1,0,0,206954,208465,212578,4113
p9,armBody,2,421,423,0,1,1,0,213666,215169,217909,2740
p9,armBody,3,431,431,1,1,1,1,218680,220183,222572,2389
p9,armBody,4,241,241,1,1,1,1,230350,231852,234011,2159
p9,armBody,5,213,213,1,1,1,1,234688,236190,238857,2667
p9,armBody,6,214,214,1,1,1,1,239636,241138,243202,2064
p9,armBody,7,143,143,1,1,1,1,243995,245498,247125,1627
p9,armBody,8,412,412,1,1,1,1,247856,249357,251496,2139
p9,armBody,9,132,132,1,1,1,1,252354,253857,255791,1934
p9,armBody,10,342,342,1,1,1,1,256483,257986,259756,1770
p9,armBody,11,321,421,0,0,1,1,260592,262094,263714,1620
p9,armBody,12,124,124,1,1,1,1,264654,266156,268157,2001
