id,cond,trial#,realPattern,userAnswer,correct,c1,c2,playstamp,playendstamp,enterstamp
p5,Body,1,32,42,0,0,1,12430,13436,15212
p5,Body,2,24,24,1,1,1,16340,17344,19260
p5,Body,3,31,31,1,1,1,20076,21079,23157
p5,Body,4,21,21,1,1,1,23884,24886,26508
p5,Body,5,32,42,0,0,1,27508,28510,30955
p5,Body,6,21,21,1,1,1,31700,32702,34620
p5,Body,7,23,23,1,1,1,35541,36543,38364
p5,Body,8,41,41,1,1,1,39197,40199,41892
p5,Body,9,23,24,0,1,0,42692,43694,45372
p5,Body,10,42,42,1,1,1,46071,47073,48740
p5,Body,11,31,41,0,0,1,49684,50686,53220
p5,Body,12,23,24,0,1,0,53989,54991,56684
p5,Body,13,21,21,1,1,1,57964,58967,60644
p5,Body,14,13,13,1,1,1,61581,62583,66627
p5,Body,15,34,34,1,1,1,67373,68378,70116
p5,Body,16,13,13,1,1,1,70828,71830,74108
p5,Body,17,14,24,0,0,1,74949,75956,77708
p5,Body,18,43,23,0,0,1,78436,79438,84820
p5,Body,19,24,24,1,1,1,85716,86718,88572
p5,Body,20,12,12,1,1,1,89461,90463,92428
p5,Body,21,43,43,1,1,1,124493,125503,128004
p5,Body,22,41,41,1,1,1,128989,129991,132884
p5,Body,23,24,24,1,1,1,133645,134647,136444
p5,Body,24,12,12,1,1,1,137180,138182,140172
p5,Body,25,42,42,1,1,1,140909,141911,144052
p5,Body,26,32,32,1,1,1,144804,145806,148053
p5,Body,27,41,41,1,1,1,148797,149799,151332
p5,Body,28,12,12,1,1,1,152188,153190,154804
p5,Body,29,14,14,1,1,1,155565,156567,159292
p5,Body,30,23,23,1,1,1,160028,161030,162652
p5,Body,31,31,31,1,1,1,163333,164335,165836
p5,Body,32,42,41,0,1,0,166605,167607,169124
p5,Body,33,31,31,1,1,1,169869,170870,172404
p5,Body,34,32,32,1,1,1,173206,174208,176021
p5,Body,35,13,13,1,1,1,176748,177751,179773
p5,Body,36,31,31,1,1,1,180468,181471,182828
p5,Body,37,24,13,0,0,0,183541,184543,186548
p5,Body,38,24,24,1,1,1,187205,188207,192476
p5,Body,39,12,12,1,1,1,193156,194159,195668
p5,Body,40,34,42,0,0,0,196453,197455,201180
p5,Body,41,34,32,0,1,0,232228,233234,236500
p5,Body,42,21,21,1,1,1,237213,238214,239773
p5,Body,43,32,32,1,1,1,240510,241515,245628
p5,Body,44,42,41,0,1,0,246269,247271,249020
p5,Body,45,14,14,1,1,1,249789,250792,252988
p5,Body,46,14,14,1,1,1,253694,254696,257284
p5,Body,47,41,41,1,1,1,257958,258960,260252
p5,Body,48,12,12,1,1,1,261021,262023,264484
p5,Body,49,23,23,1,1,1,265204,266207,267740
p5,Body,50,41,41,1,1,1,268453,269456,271148
p5,Body,51,34,34,1,1,1,271844,272847,274389
p5,Body,52,42,41,0,1,0,275044,276046,282084
p5,Body,53,13,13,1,1,1,282885,283887,286548
p5,Body,54,13,34,0,0,0,287260,288263,292244
p5,Body,55,43,43,1,1,1,292956,293962,295564
p5,Body,56,14,14,1,1,1,296349,297351,299580
p5,Body,57,43,43,1,1,1,300364,301366,304420
p5,Body,58,21,21,1,1,1,305204,306206,308188
p5,Body,59,43,43,1,1,1,308948,309951,311828
p5,Body,60,34,42,0,0,0,312685,313686,315188
