id,cond,trial#,realPattern,userAnswer,correct,c1,c2,playstamp,playendstamp,enterstamp
p5,Distal,1,42,41,0,1,0,38340,39354,46931
p5,Distal,2,43,43,1,1,1,49276,50278,56459
p5,Distal,3,21,21,1,1,1,57301,58306,61260
p5,Distal,4,34,34,1,1,1,63468,64472,67804
p5,Distal,5,43,43,1,1,1,68596,69599,73491
p5,Distal,6,31,31,1,1,1,74325,75333,77940
p5,Distal,7,13,13,1,1,1,78852,79855,81364
p5,Distal,8,13,13,1,1,1,83836,84839,86836
p5,Distal,9,14,14,1,1,1,87732,88736,90651
p5,Distal,10,24,44,0,0,1,91900,92902,99299
p5,Distal,11,43,43,1,1,1,101133,102135,106619
p5,Distal,12,42,42,1,1,1,107756,108765,111403
p5,Distal,13,32,32,1,1,1,112748,113750,115859
p5,Distal,14,31,31,1,1,1,117156,118158,120637
p5,Distal,15,41,41,1,1,1,121628,122630,124396
p5,Distal,16,23,43,0,0,1,125652,126654,128700
p5,Distal,17,31,31,1,1,1,129572,130575,132028
p5,Distal,18,34,34,1,1,1,133804,134808,138668
p5,Distal,19,42,42,1,1,1,139453,140455,143508
p5,Distal,20,24,24,1,1,1,144300,145303,148220
p5,Distal,21,21,41,0,0,1,179180,180191,186924
p5,Distal,22,24,24,1,1,1,187715,188718,190460
p5,Distal,23,21,41,0,0,1,191700,192702,194595
p5,Distal,24,41,41,1,1,1,195396,196399,198364
p5,Distal,25,32,12,0,0,1,199188,200190,203347
p5,Distal,26,24,24,1,1,1,204140,205142,206899
p5,Distal,27,12,14,0,1,0,207781,208785,210812
p5,Distal,28,41,41,1,1,1,211852,212854,214932
p5,Distal,29,32,12,0,0,1,215901,216903,219091
p5,Distal,30,31,31,1,1,1,219804,220807,222844
p5,Distal,31,13,13,1,1,1,223716,224718,226844
p5,Distal,32,13,13,1,1,1,227740,228743,230235
p5,Distal,33,42,42,1,1,1,231101,232103,234580
p5,Distal,34,31,31,1,1,1,235260,236262,239444
p5,Distal,35,12,14,0,1,0,240212,241214,242827
p5,Distal,36,34,34,1,1,1,243780,244783,247099
p5,Distal,37,23,43,0,0,1,247869,248871,250637
p5,Distal,38,21,43,0,0,0,251540,252542,254763
p5,Distal,39,34,34,1,1,1,255620,256622,258420
p5,Distal,40,14,14,1,1,1,259164,260167,261523
p5,Distal,41,34,34,1,1,1,292996,294002,296940
p5,Distal,42,41,41,1,1,1,297876,298881,301476
p5,Distal,43,12,14,0,1,0,302333,303335,305748
p5,Distal,44,43,43,1,1,1,306508,307510,310268
p5,Distal,45,32,34,0,1,0,311061,312063,313699
p5,Distal,46,12,14,0,1,0,314444,315446,317316
p5,Distal,47,14,14,1,1,1,318093,319095,321075
p5,Distal,48,23,43,0,0,1,321900,322902,324628
p5,Distal,49,41,41,1,1,1,325381,326383,329436
p5,Distal,50,14,14,1,1,1,330173,331175,332820
p5,Distal,51,23,43,0,0,1,334532,335535,338172
p5,Distal,52,21,21,1,1,1,338916,339919,341796
p5,Distal,53,12,12,1,1,1,342516,343519,344819
p5,Distal,54,24,24,1,1,1,345596,346599,348508
p5,Distal,55,13,13,1,1,1,349236,350238,351500
p5,Distal,56,14,12,0,1,0,352349,353351,357171
p5,Distal,57,42,42,1,1,1,358076,359086,361196
p5,Distal,58,32,34,0,1,0,361933,362937,365348
p5,Distal,59,43,43,1,1,1,366028,367031,369300
p5,Distal,60,23,43,0,0,1,370084,371087,372324
