id,cond,trial#,realPattern,userAnswer,correct,c1,c2,playstamp,playendstamp,enterstamp
p3,Distal,1,21,21,1,1,1,21951,22962,25206
p3,Distal,2,32,12,0,0,1,26406,27410,32061
p3,Distal,3,43,41,0,1,0,34406,35408,38349
p3,Distal,4,42,42,1,1,1,40190,41192,51005
p3,Distal,5,12,14,0,1,0,52974,53979,57694
p3,Distal,6,41,41,1,1,1,58774,59776,64693
p3,Distal,7,12,14,0,1,0,65934,66938,69358
p3,Distal,8,42,42,1,1,1,71806,72808,77782
p3,Distal,9,42,42,1,1,1,79301,80303,82925
p3,Distal,10,23,23,1,1,1,85518,86520,90405
p3,Distal,11,31,12,0,0,0,92063,93068,97870
p3,Distal,12,12,12,1,1,1,99470,100472,104245
p3,Distal,13,43,43,1,1,1,105662,106664,108982
p3,Distal,14,32,34,0,1,0,110414,111416,113669
p3,Distal,15,24,24,1,1,1,115366,116368,118901
p3,Distal,16,43,43,1,1,1,121005,122014,124549
p3,Distal,17,41,41,1,1,1,126006,127011,129837
p3,Distal,18,23,43,0,0,1,131494,132497,136797
p3,Distal,19,14,34,0,0,1,138446,139447,144989
p3,Distal,20,31,31,1,1,1,146998,148001,156918
p3,Distal,21,34,14,0,0,1,188719,189726,192589
p3,Distal,22,13,13,1,1,1,194102,195110,197141
p3,Distal,23,14,14,1,1,1,199414,200417,202509
p3,Distal,24,34,34,1,1,1,203951,204953,207437
p3,Distal,25,21,21,1,1,1,208694,209695,212390
p3,Distal,26,23,23,1,1,1,214110,215112,217229
p3,Distal,27,31,31,1,1,1,218478,219485,222173
p3,Distal,28,32,32,1,1,1,223342,224344,226469
p3,Distal,29,14,14,1,1,1,229063,230068,233205
p3,Distal,30,24,24,1,1,1,234735,235737,237845
p3,Distal,31,24,24,1,1,1,239398,240403,242965
p3,Distal,32,31,12,0,0,0,244222,245225,248141
p3,Distal,33,13,13,1,1,1,249710,250712,253630
p3,Distal,34,13,13,1,1,1,254671,255676,257613
p3,Distal,35,14,14,1,1,1,261190,262195,264141
p3,Distal,36,32,12,0,0,1,265207,266208,268261
p3,Distal,37,43,41,0,1,0,269822,270824,275237
p3,Distal,38,23,23,1,1,1,277319,278321,281734
p3,Distal,39,41,21,0,0,1,283895,284897,287069
p3,Distal,40,42,42,1,1,1,288534,289544,291509
p3,Distal,41,34,12,0,0,0,324318,325324,327557
p3,Distal,42,14,14,1,1,1,328966,329968,332125
p3,Distal,43,31,12,0,0,0,334582,335584,337501
p3,Distal,44,21,21,1,1,1,338687,339691,341406
p3,Distal,45,12,14,0,1,0,342518,343520,348589
p3,Distal,46,34,34,1,1,1,349806,350808,352878
p3,Distal,47,24,24,1,1,1,354686,355693,358157
p3,Distal,48,34,34,1,1,1,359542,360544,364342
p3,Distal,49,24,24,1,1,1,365718,366721,369134
p3,Distal,50,41,41,1,1,1,370598,371601,374045
p3,Distal,51,41,41,1,1,1,375071,376073,377997
p3,Distal,52,21,21,1,1,1,379494,380496,383005
p3,Distal,53,23,23,1,1,1,384366,385369,387574
p3,Distal,54,13,13,1,1,1,388799,389801,392733
p3,Distal,55,43,43,1,1,1,393854,394856,403925
p3,Distal,56,32,34,0,1,0,405022,406027,408957
p3,Distal,57,13,13,1,1,1,410462,411464,414293
p3,Distal,58,42,42,1,1,1,415471,416480,419254
p3,Distal,59,21,41,0,0,1,420878,421880,424222
p3,Distal,60,12,14,0,1,0,426943,427945,432621
