id,cond,trial#,realPattern,userAnswer,correct,c1,c2,playstamp,playendstamp,enterstamp
p6,Body,1,34,42,0,0,0,22959,23966,27494
p6,Body,2,23,24,0,1,0,28360,29362,32190
p6,Body,3,34,24,0,0,1,33416,34423,40079
p6,Body,4,31,41,0,0,1,41007,42010,45711
p6,Body,5,32,41,0,0,0,46816,47823,51966
p6,Body,6,23,24,0,1,0,53463,54465,57623
p6,Body,7,12,12,1,1,1,58624,59626,62670
p6,Body,8,41,41,1,1,1,63655,64663,68822
p6,Body,9,24,24,1,1,1,69855,70861,74031
p6,Body,10,34,42,0,0,0,74879,75881,79246
p6,Body,11,23,24,0,1,0,79976,80978,83646
p6,Body,12,24,24,1,1,1,84607,85609,89167
p6,Body,13,32,41,0,0,0,90095,91097,95670
p6,Body,14,34,24,0,0,1,96575,97583,100390
p6,Body,15,14,14,1,1,1,101496,102497,107622
p6,Body,16,32,41,0,0,0,108775,109783,114710
p6,Body,17,41,43,0,1,0,115719,116722,130479
p6,Body,18,42,41,0,1,0,131431,132440,136295
p6,Body,19,12,34,0,0,0,137160,138166,143343
p6,Body,20,31,41,0,0,1,144607,145610,148351
p6,Body,21,42,41,0,1,0,180390,181396,185462
p6,Body,22,13,14,0,1,0,186343,187346,193478
p6,Body,23,41,43,0,1,0,194295,195302,199702
p6,Body,24,24,14,0,0,1,200519,201521,203887
p6,Body,25,32,41,0,0,0,204775,205784,208927
p6,Body,26,23,24,0,1,0,209695,210697,214886
p6,Body,27,21,13,0,0,0,215815,216818,218591
p6,Body,28,23,13,0,0,1,219319,220321,224343
p6,Body,29,41,43,0,1,0,225071,226077,229406
p6,Body,30,32,41,0,0,0,230176,231178,233606
p6,Body,31,43,43,1,1,1,234335,235345,238782
p6,Body,32,34,42,0,0,0,239703,240706,244168
p6,Body,33,31,41,0,0,1,245039,246041,248014
p6,Body,34,13,14,0,1,0,249679,250682,253798
p6,Body,35,43,43,1,1,1,254687,255689,258391
p6,Body,36,42,41,0,1,0,259167,260170,262254
p6,Body,37,12,12,1,1,1,263015,264018,266966
p6,Body,38,31,43,0,0,0,268079,269081,272398
p6,Body,39,21,21,1,1,1,273344,274351,279767
p6,Body,40,13,24,0,0,0,280583,281592,284374
p6,Body,41,21,23,0,1,0,315135,316140,318751
p6,Body,42,42,41,0,1,0,319584,320585,323118
p6,Body,43,31,41,0,0,1,323887,324892,327694
p6,Body,44,13,24,0,0,0,328503,329506,331982
p6,Body,45,43,21,0,0,0,332734,333737,338494
p6,Body,46,13,24,0,0,0,339304,340306,342759
p6,Body,47,43,24,0,0,0,343535,344537,347119
p6,Body,48,14,14,1,1,1,347847,348849,352959
p6,Body,49,41,41,1,1,1,353775,354777,358262
p6,Body,50,21,23,0,1,0,359255,360257,363855
p6,Body,51,14,24,0,0,1,364839,365841,368542
p6,Body,52,21,21,1,1,1,369423,370426,372558
p6,Body,53,43,43,1,1,1,373351,374353,377295
p6,Body,54,24,24,1,1,1,378303,379305,381527
p6,Body,55,14,12,0,1,0,382375,383378,386366
p6,Body,56,24,24,1,1,1,387191,388194,390478
p6,Body,57,42,21,0,0,0,391320,392322,395263
p6,Body,58,12,12,1,1,1,396095,397097,399006
p6,Body,59,14,24,0,0,1,400263,401271,403855
p6,Body,60,12,14,0,1,0,404727,405732,410366
