id,cond,trial#,realPattern,userAnswer,correct,c1,c2,playstamp,playendstamp,enterstamp,reactionTime
p6,A(Baseline1),1,14,14,1,1,1,3599,4601,6982,2381
p6,A(Baseline1),2,14,14,1,1,1,7935,8938,10894,1956
p6,A(Baseline1),3,24,23,0,1,0,11646,12648,15998,3350
p6,A(Baseline1),4,41,41,1,1,1,16814,17816,20206,2390
p6,A(Baseline1),5,21,21,1,1,1,21007,22009,24206,2197
p6,A(Baseline1),6,12,12,1,1,1,25167,26169,28054,1885
p6,A(Baseline1),7,14,12,0,1,0,29023,30025,31822,1797
p6,A(Baseline1),8,23,21,0,1,0,32719,33721,36878,3157
p6,A(Baseline1),9,23,23,1,1,1,37969,38970,40766,1796
p6,A(Baseline1),10,24,24,1,1,1,41663,42664,44597,1933
p6,A(Baseline1),11,23,23,1,1,1,45431,46432,48462,2030
p6,A(Baseline1),12,24,43,0,0,0,49351,50353,52094,1741
p6,A(Baseline1),13,21,21,1,1,1,53215,54218,55806,1588
p6,A(Baseline1),14,23,23,1,1,1,56686,57688,59942,2254
p6,A(Baseline1),15,41,41,1,1,1,60855,61857,63782,1925
p6,A(Baseline1),16,31,32,0,1,0,64680,65681,67725,2044
p6,A(Baseline1),17,34,34,1,1,1,68639,69640,71630,1990
p6,A(Baseline1),18,31,31,1,1,1,72406,73408,75190,1782
p6,A(Baseline1),19,42,42,1,1,1,76006,77008,79278,2270
p6,A(Baseline1),20,32,32,1,1,1,80079,81080,83134,2054
p6,A(Baseline1),21,31,31,1,1,1,114711,115716,117470,1754
p6,A(Baseline1),22,41,41,1,1,1,118375,119382,121454,2072
p6,A(Baseline1),23,32,32,1,1,1,122287,123289,124838,1549
p6,A(Baseline1),24,32,32,1,1,1,125726,126728,128286,1558
p6,A(Baseline1),25,43,43,1,1,1,129175,130177,133367,3190
p6,A(Baseline1),26,43,41,0,1,0,134255,135257,139086,3829
p6,A(Baseline1),27,34,34,1,1,1,139903,140906,142774,1868
p6,A(Baseline1),28,14,34,0,0,1,143599,144601,146790,2189
p6,A(Baseline1),29,12,34,0,0,0,147631,148633,150438,1805
p6,A(Baseline1),30,43,43,1,1,1,151239,152241,154038,1797
p6,A(Baseline1),31,13,13,1,1,1,154959,155961,157654,1693
p6,A(Baseline1),32,31,31,1,1,1,158567,159569,161446,1877
p6,A(Baseline1),33,24,23,0,1,0,162351,163353,165838,2485
p6,A(Baseline1),34,13,13,1,1,1,166759,167761,169645,1884
p6,A(Baseline1),35,34,34,1,1,1,170646,171648,173255,1607
p6,A(Baseline1),36,32,32,1,1,1,174055,175057,177054,1997
p6,A(Baseline1),37,42,41,0,1,0,177918,178920,183030,4110
p6,A(Baseline1),38,42,41,0,1,0,183886,184888,186886,1998
p6,A(Baseline1),39,42,31,0,0,0,187815,188825,192318,3493
p6,A(Baseline1),40,14,14,1,1,1,193534,194536,196566,2030
p6,A(Baseline1),41,34,14,0,0,1,227727,228734,231006,2272
p6,A(Baseline1),42,21,21,1,1,1,231904,232911,234566,1655
p6,A(Baseline1),43,31,31,1,1,1,235535,236537,238998,2461
p6,A(Baseline1),44,42,43,0,1,0,240006,241008,242670,1662
p6,A(Baseline1),45,13,13,1,1,1,243536,244537,246062,1525
p6,A(Baseline1),46,12,12,1,1,1,246894,247896,250725,2829
p6,A(Baseline1),47,43,43,1,1,1,251511,252513,254974,2461
p6,A(Baseline1),48,21,41,0,0,1,255814,256817,259006,2189
p6,A(Baseline1),49,21,41,0,0,1,259862,260864,262750,1886
p6,A(Baseline1),50,34,32,0,1,0,264094,265096,267638,2542
p6,A(Baseline1),51,23,43,0,0,1,268575,269577,271221,1644
p6,A(Baseline1),52,24,23,0,1,0,272095,273097,274902,1805
p6,A(Baseline1),53,32,32,1,1,1,275863,276864,279174,2310
p6,A(Baseline1),54,13,13,1,1,1,280096,281098,282933,1835
p6,A(Baseline1),55,12,12,1,1,1,284158,285160,286949,1789
p6,A(Baseline1),56,43,43,1,1,1,287822,288824,290510,1686
p6,A(Baseline1),57,12,14,0,1,0,291439,292441,294390,1949
p6,A(Baseline1),58,13,13,1,1,1,295327,296329,298150,1821
p6,A(Baseline1),59,41,41,1,1,1,298984,299986,301726,1740
p6,A(Baseline1),60,41,41,1,1,1,302598,303600,305365,1765
