"id","cond","trial.","realPattern","userAnswer","correct","playstamp","playendstamp","enterstamp","reaction_time","diffCount_1","diffCount_2","diffCount_3"
"p1","Baseline2",1,432,432,1,7695,9202,13070,3868,0,0,0
"p1","Baseline2",2,213,213,1,14039,15544,17863,2319,0,0,0
"p1","Baseline2",3,123,123,1,18559,20062,22598,2536,0,0,0
"p1","Baseline2",4,142,142,1,23391,24894,26598,1704,0,0,0
"p1","Baseline2",5,342,342,1,27350,28855,32982,4127,0,0,0
"p1","Baseline2",6,141,131,0,33942,35446,43974,8528,1,0,0
"p1","Baseline2",7,212,212,1,45078,46588,50366,3778,0,0,0
"p1","Baseline2",8,324,124,0,51174,52678,54606,1928,1,0,0
"p1","Baseline2",9,121,121,1,55343,56847,59318,2471,0,0,0
"p1","Baseline2",10,431,431,1,60023,61525,63814,2289,0,0,0
"p1","Baseline2",11,134,134,1,64678,66182,68382,2200,0,0,0
"p1","Baseline2",12,432,432,1,69199,70703,72878,2175,0,0,0
"p1","Baseline2",13,241,241,1,73775,75278,78590,3312,0,0,0
"p1","Baseline2",14,343,341,0,79326,80829,82886,2057,1,0,0
"p1","Baseline2",15,141,141,1,83671,85175,89006,3831,0,0,0
"p1","Baseline2",16,134,134,1,89839,91342,93814,2472,0,0,0
"p1","Baseline2",17,132,134,0,94567,96070,99031,2961,1,0,0
"p1","Baseline2",18,214,413,0,99694,101198,103614,2416,0,1,0
"p1","Baseline2",19,143,142,0,104303,105806,109246,3440,1,0,0
"p1","Baseline2",20,212,214,0,110119,111622,113798,2176,1,0,0
"p1","Baseline2",21,424,423,0,145094,146606,149263,2657,1,0,0
"p1","Baseline2",22,421,421,1,150134,151637,154862,3225,0,0,0
"p1","Baseline2",23,124,124,1,156079,157582,159518,1936,0,0,0
"p1","Baseline2",24,412,212,0,160247,161751,164559,2808,1,0,0
"p1","Baseline2",25,343,341,0,165318,166821,169382,2561,1,0,0
"p1","Baseline2",26,312,312,1,170247,171750,175222,3472,0,0,0
"p1","Baseline2",27,232,234,0,176198,177701,179982,2281,1,0,0
"p1","Baseline2",28,341,341,1,180951,182455,185366,2911,0,0,0
"p1","Baseline2",29,243,124,0,186311,187814,192814,5000,0,0,1
"p1","Baseline2",30,243,241,0,193598,195101,197486,2385,1,0,0
"p1","Baseline2",31,434,434,1,198326,199830,201710,1880,0,0,0
"p1","Baseline2",32,431,431,1,202486,203989,206117,2128,0,0,0
"p1","Baseline2",33,231,232,0,207086,208589,211046,2457,1,0,0
"p1","Baseline2",34,321,342,0,211902,213406,216054,2648,0,1,0
"p1","Baseline2",35,313,313,1,216919,218422,220757,2335,0,0,0
"p1","Baseline2",36,242,242,1,221591,223095,226294,3199,0,0,0
"p1","Baseline2",37,241,241,1,226998,228502,230854,2352,0,0,0
"p1","Baseline2",38,141,131,0,231646,233149,235262,2113,1,0,0
"p1","Baseline2",39,142,141,0,236063,237567,241685,4118,1,0,0
"p1","Baseline2",40,321,141,0,242550,244053,247413,3360,0,1,0
"p1","Baseline2",41,323,342,0,280510,282018,286350,4332,0,1,0
"p1","Baseline2",42,412,434,0,287463,288966,292214,3248,0,1,0
"p1","Baseline2",43,243,241,0,293167,294671,296797,2126,1,0,0
"p1","Baseline2",44,341,141,0,297607,299110,301630,2520,1,0,0
"p1","Baseline2",45,131,131,1,302622,304125,306886,2761,0,0,0
"p1","Baseline2",46,143,143,1,307974,309478,314621,5143,0,0,0
"p1","Baseline2",47,413,413,1,315429,316933,319069,2136,0,0,0
"p1","Baseline2",48,323,143,0,319862,321372,335894,14522,0,1,0
"p1","Baseline2",49,143,143,1,336672,338182,340309,2127,0,0,0
"p1","Baseline2",50,314,323,0,341150,342656,348029,5373,0,1,0
"p1","Baseline2",51,421,421,1,349054,350558,353085,2527,0,0,0
"p1","Baseline2",52,123,123,1,354222,355726,357662,1936,0,0,0
"p1","Baseline2",53,324,124,0,358534,360037,362301,2264,1,0,0
"p1","Baseline2",54,234,434,0,363190,364693,366821,2128,1,0,0
"p1","Baseline2",55,313,123,0,367727,369230,371309,2079,0,1,0
"p1","Baseline2",56,431,431,1,372159,373663,376766,3103,0,0,0
"p1","Baseline2",57,323,341,0,377726,379229,381430,2201,0,1,0
"p1","Baseline2",58,131,131,1,382222,383726,385917,2191,0,0,0
"p1","Baseline2",59,314,314,1,386886,388389,390317,1928,0,0,0
"p1","Baseline2",60,321,341,0,391038,392542,394574,2032,1,0,0
"p1","Baseline2",61,132,132,1,426223,427736,430446,2710,0,0,0
"p1","Baseline2",62,242,242,1,431206,432709,435278,2569,0,0,0
"p1","Baseline2",63,312,324,0,435999,437509,440389,2880,0,1,0
"p1","Baseline2",64,414,414,1,442407,443911,446239,2328,0,0,0
"p1","Baseline2",65,424,424,1,447014,448517,450437,1920,0,0,0
"p1","Baseline2",66,434,414,0,451198,452701,456381,3680,1,0,0
"p1","Baseline2",67,242,242,1,457342,458845,462254,3409,0,0,0
"p1","Baseline2",68,124,143,0,462998,464502,467134,2632,0,1,0
"p1","Baseline2",69,213,413,0,467989,469493,471965,2472,1,0,0
"p1","Baseline2",70,424,424,1,472758,474261,476173,1912,0,0,0
"p1","Baseline2",71,124,234,0,477014,478518,487029,8511,0,1,0
"p1","Baseline2",72,341,341,1,487830,489333,492541,3208,0,0,0
"p1","Baseline2",73,432,432,1,493333,494836,497381,2545,0,0,0
"p1","Baseline2",74,232,234,0,498223,499726,501733,2007,1,0,0
"p1","Baseline2",75,413,434,0,502446,503949,507589,3640,0,1,0
"p1","Baseline2",76,413,413,1,508478,509982,516621,6639,0,0,0
"p1","Baseline2",77,232,234,0,517526,519030,520878,1848,1,0,0
"p1","Baseline2",78,213,214,0,521662,523165,525053,1888,1,0,0
"p1","Baseline2",79,212,214,0,525830,527332,529733,2401,1,0,0
"p1","Baseline2",80,214,214,1,530534,532037,534533,2496,0,0,0
"p1","Baseline2",81,342,142,0,565853,567362,569733,2371,1,0,0
"p1","Baseline2",82,312,342,0,570574,572078,574685,2607,1,0,0
"p1","Baseline2",83,434,434,1,575565,577072,579653,2581,0,0,0
"p1","Baseline2",84,234,234,1,580389,581893,584909,3016,0,0,0
"p1","Baseline2",85,342,141,0,585742,587245,590045,2800,0,1,0
"p1","Baseline2",86,234,234,1,590814,592318,594277,1959,0,0,0
"p1","Baseline2",87,313,141,0,595094,596598,601133,4535,0,0,1
"p1","Baseline2",88,131,131,1,601869,603374,605389,2015,0,0,0
"p1","Baseline2",89,231,231,1,606142,607645,609197,1552,0,0,0
"p1","Baseline2",90,343,324,0,609982,611486,613813,2327,0,1,0
"p1","Baseline2",91,142,343,0,614478,615981,617757,1776,0,1,0
"p1","Baseline2",92,314,314,1,618502,620004,622221,2217,0,0,0
"p1","Baseline2",93,231,431,0,622998,624501,627829,3328,1,0,0
"p1","Baseline2",94,324,324,1,628814,630318,632493,2175,0,0,0
"p1","Baseline2",95,414,412,0,633862,635365,637829,2464,1,0,0
"p1","Baseline2",96,123,142,0,638821,640324,644558,4234,0,1,0
"p1","Baseline2",97,241,241,1,645893,647400,651364,3964,0,0,0
"p1","Baseline2",98,134,134,1,653966,655469,659884,4415,0,0,0
"p1","Baseline2",99,414,434,0,660861,662368,664580,2212,1,0,0
"p1","Baseline2",100,421,421,1,666077,667581,669869,2288,0,0,0
